sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm,delta,status
0.0,0.0,0.0,0.0,0.0,SKIP
2555.19,0.0,822.69,0.0,0.0,SKIP
2570.96,0.0,860.91,0.0,0.0,SKIP
2577.4,0.0,886.78,0.0,0.0,SKIP
2577.4,0.0,911.31,0.0,0.0,SKIP
2563.97,0.0,859.01,0.0,0.0,SKIP
2573.04,0.0,888.68,0.0,0.0,SKIP
2575.84,0.0,912.12,0.0,0.0,SKIP
2571.77,0.0,930.41,0.0,0.0,SKIP
2567.0,0.0,947.69,0.0,0.0,SKIP
2559.98,0.0,962.66,0.0,0.0,SKIP
2550.69,0.0,975.45,0.0,0.0,SKIP
2537.6,0.0,986.74,0.0,0.0,SKIP
2519.98,0.0,1001.71,0.0,0.0,SKIP
2497.48,0.0,1010.79,0.0,0.0,SKIP
2474.41,0.0,1022.83,0.0,0.0,SKIP
2455.98,0.0,1041.32,0.0,0.0,SKIP
2435.09,0.0,1062.84,0.0,0.0,SKIP
2415.46,0.0,1085.66,0.0,0.0,SKIP
2400.11,0.0,1119.79,0.0,0.0,SKIP
2390.85,0.0,1174.18,0.0,0.0,SKIP
2390.81,0.0,1242.0,0.0,0.0,SKIP
2403.16,0.0,1325.38,0.0,0.0,SKIP
2422.49,0.0,1432.24,0.0,0.0,SKIP
2442.17,0.0,1557.54,0.0,0.0,SKIP
2468.61,0.0,1692.9,0.0,0.0,SKIP
2496.39,0.0,1842.3,0.0,0.0,SKIP
2517.34,0.0,1994.23,0.0,0.0,SKIP
2520.81,0.0,2141.18,0.0,0.0,SKIP
2515.58,0.0,2274.48,0.0,0.0,SKIP
2496.08,0.0,2396.68,0.0,0.0,SKIP
2473.11,0.0,2502.3,0.0,0.0,SKIP
2434.31,0.0,2582.89,0.0,0.0,SKIP
2380.52,0.0,2639.52,0.0,0.0,SKIP
2315.8,0.0,2679.81,0.0,0.0,SKIP
2259.57,0.0,2698.21,0.0,0.0,SKIP
2200.22,0.0,2697.12,0.0,0.0,SKIP
2135.24,0.0,2685.5,0.0,0.0,SKIP
2067.7,0.0,2659.19,0.0,0.0,SKIP
2004.54,0.0,2623.36,0.0,0.0,SKIP
1937.64,0.0,2584.2,0.0,0.0,SKIP
1871.66,0.0,2542.1,0.0,0.0,SKIP
1807.4,0.0,2497.03,0.0,0.0,SKIP
1739.76,0.0,2444.37,0.0,0.0,SKIP
1668.19,0.0,2391.43,0.0,0.0,SKIP
1597.0,0.0,2338.69,0.0,0.0,SKIP
1529.99,0.0,2288.05,0.0,0.0,SKIP
1463.21,0.0,2228.32,0.0,0.0,SKIP
1395.2,0.0,2174.42,0.0,0.0,SKIP
1325.7,0.0,2124.14,0.0,0.0,SKIP
1259.91,0.0,2077.32,0.0,0.0,SKIP
1195.36,0.0,2027.98,0.0,0.0,SKIP
1134.71,0.0,1987.79,0.0,0.0,SKIP
1067.67,0.0,1947.88,0.0,0.0,SKIP
1000.65,0.0,1910.22,0.0,0.0,SKIP
940.28,0.0,1868.11,0.0,0.0,SKIP
882.98,0.0,1828.06,0.0,0.0,SKIP
823.37,0.0,1786.69,0.0,0.0,SKIP
765.86,0.0,1738.78,0.0,0.0,SKIP
710.97,0.0,1683.53,0.0,0.0,SKIP
660.5,0.0,1628.22,0.0,0.0,SKIP
