wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-29T19:19:54,14.140,none,620,639,0.000,0.000,1,1,1
2025-10-29T19:19:55,14.172,none,576,549,-11.000,-22.500,2,2,1
2025-10-29T19:19:55,14.187,none,640,619,2.000,-9.444,3,3,1
2025-10-29T19:19:55,14.203,none,901,1001,55.688,67.667,4,4,1
2025-10-29T19:19:55,14.234,none,1410,1719,160.670,216.853,5,5,1
2025-10-29T19:19:55,14.250,none,2045,2544,363.270,489.953,6,6,1
2025-10-29T19:19:55,14.265,none,2669,3306,648.299,863.668,7,7,1
2025-10-29T19:19:55,14.297,none,3216,4042,983.974,1308.259,8,8,1
2025-10-29T19:19:55,14.312,none,3600,4095,1312.246,1656.037,9,9,1
2025-10-29T19:19:55,14.328,none,3726,4095,1553.266,1860.137,10,10,1
2025-10-29T19:19:55,14.343,none,3565,4095,1646.066,1920.510,11,11,1
2025-10-29T19:19:55,14.359,none,3267,4095,1581.587,1861.479,12,12,1
2025-10-29T19:19:55,14.375,none,2955,3824,1382.235,1645.692,13,13,1
2025-10-29T19:19:55,14.406,none,2672,3328,1089.842,1361.557,14,14,1
2025-10-29T19:19:55,14.422,none,2387,2922,753.448,1034.164,15,15,1
2025-10-29T19:19:55,14.437,none,2149,2601,432.873,677.466,16,16,1
2025-10-29T19:19:55,14.468,none,1965,2378,158.394,307.948,17,17,1
2025-10-29T19:19:55,14.484,none,1834,2243,-63.363,-9.980,18,18,1
2025-10-29T19:19:55,14.515,none,1764,2186,-231.486,-225.496,19,19,1
2025-10-29T19:19:55,14.531,none,1730,2193,-343.142,-351.063,20,20,1
2025-10-29T19:19:55,14.547,none,1706,2211,-409.120,-406.447,21,21,1
2025-10-29T19:19:55,14.562,none,1655,2199,-447.536,-419.939,22,22,1
2025-10-29T19:19:55,14.593,none,1600,2162,-470.763,-415.194,23,23,1
2025-10-29T19:19:55,14.609,none,1495,2058,-500.760,-420.720,24,24,1
2025-10-29T19:19:55,14.625,none,1371,1898,-547.794,-458.996,25,25,1
2025-10-29T19:19:55,14.656,none,1243,1730,-613.896,-532.325,26,26,1
2025-10-29T19:19:55,14.672,none,1103,1535,-695.543,-638.865,27,27,1
2025-10-29T19:19:55,14.687,none,962,1345,-791.696,-771.764,28,28,1
2025-10-29T19:19:55,14.718,none,838,1172,-889.094,-914.136,29,29,1
2025-10-29T19:19:55,14.718,none,726,984,-981.884,-1058.040,30,30,1
2025-10-29T19:19:55,14.734,none,636,819,-1065.340,-1197.702,31,31,1
2025-10-29T19:19:55,14.765,none,589,715,-1129.241,-1316.473,32,32,1
2025-10-29T19:19:55,14.781,none,626,758,-1157.802,-1387.657,33,33,1
2025-10-29T19:19:55,14.797,none,878,1119,-1113.671,-1354.349,34,34,1
2025-10-29T19:19:55,14.828,none,1367,1792,-955.172,-1156.035,35,35,1
2025-10-29T19:19:55,14.859,none,2000,2592,-661.607,-776.941,36,36,1
2025-10-29T19:19:55,14.859,none,2631,3344,-245.097,-242.838,37,37,1
2025-10-29T19:19:55,14.890,none,3184,4063,260.000,407.678,38,38,1
2025-10-29T19:19:55,14.906,none,3613,4095,785.969,976.599,39,39,1
2025-10-29T19:19:55,14.922,none,3792,4095,1238.073,1399.805,40,40,1
