wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,HSI,risk
2025-10-27T17:43:45,13.344,none,1,533,536,534,537,60.0,60.0,0.0,46.975,76.743,1.634,20.0,12.674,HIGH
2025-10-27T17:43:59,26.953,none,2,1216,1217,1212,1215,20.0,60.0,40.0,2.737,2.953,1.079,40.0,3.238,HIGH
2025-10-27T17:44:05,33.016,none,3,1515,1518,1511,1514,60.0,60.0,0.0,7.589,1.422,0.187,80.0,21.252,HIGH
2025-10-27T17:44:24,51.985,none,4,2466,2469,2462,2465,60.0,60.0,0.0,4.194,21.896,5.220,80.0,89.408,HIGH
2025-10-27T17:44:26,54.016,none,5,2566,2569,2567,2570,60.0,60.0,0.0,17.394,47.496,2.731,20.0,34.613,HIGH
2025-10-27T17:44:28,55.766,none,6,2651,2654,2655,2658,60.0,60.0,0.0,6.734,11.972,1.778,80.0,20.559,HIGH
2025-10-27T17:44:40,67.938,none,7,3261,3264,3264,3267,60.0,60.0,0.0,8.496,1.742,0.205,60.0,19.234,HIGH
2025-10-27T17:44:43,71.063,none,8,3417,3420,3420,3423,60.0,60.0,0.0,14.411,6.540,0.454,60.0,14.257,HIGH
2025-10-27T17:44:44,72.563,none,9,3491,3494,3495,3498,60.0,60.0,0.0,0.671,10.214,15.225,80.0,289.496,HIGH
2025-10-27T17:44:48,75.750,none,10,3650,3653,3654,3657,60.0,60.0,0.0,6.144,6.485,1.056,80.0,6.112,HIGH
2025-10-27T17:44:53,81.250,none,11,3927,3930,3929,3932,60.0,60.0,0.0,1.241,16.258,13.101,40.0,243.682,HIGH
2025-10-27T17:44:56,84.500,none,12,4085,4088,4089,4092,60.0,60.0,0.0,1.970,14.875,7.551,80.0,136.019,HIGH
2025-10-27T17:44:57,85.219,none,13,4128,4131,4124,4127,60.0,60.0,0.0,2.623,2.152,0.820,80.0,8.591,HIGH
2025-10-27T17:45:04,92.172,none,14,4472,4475,4472,4475,60.0,60.0,0.0,8.781,6.640,0.756,0.0,4.877,HIGH
2025-10-27T17:45:09,96.625,none,15,4694,4697,4698,4701,60.0,60.0,0.0,0.939,5.926,6.312,80.0,111.241,HIGH
2025-10-27T17:45:12,99.735,none,16,4848,4851,4850,4853,60.0,60.0,0.0,7.743,4.442,0.574,40.0,10.191,HIGH
2025-10-27T17:45:15,103.047,none,17,5017,5020,5016,5019,60.0,60.0,0.0,40.476,71.707,1.772,20.0,15.432,HIGH
