wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR
2025-10-27T17:43:34,2.532,none,2059,2249,0,0
2025-10-27T17:43:34,2.547,none,1982,2317,-19.25,17
2025-10-27T17:43:35,2.578,none,1936,2378,-31.611,32.444
2025-10-27T17:43:35,2.594,none,1885,2410,-43.833,42.208
2025-10-27T17:43:35,2.61,none,1809,2439,-60.107,49.847
2025-10-27T17:43:35,2.641,none,1737,2478,-92.973,69.747
2025-10-27T17:43:35,2.657,none,1683,2482,-122.702,80.69
2025-10-27T17:43:35,2.672,none,1655,2485,-149.085,84.073
2025-10-27T17:43:35,2.703,none,1678,2499,-162.363,86.528
2025-10-27T17:43:35,2.719,none,1694,2493,-160.883,84.448
2025-10-27T17:43:35,2.735,none,1680,2480,-151.98,74.912
2025-10-27T17:43:35,2.766,none,1663,2482,-139.635,67.036
2025-10-27T17:43:35,2.782,none,1663,2471,-125.139,58.063
2025-10-27T17:43:35,2.797,none,1683,2448,-113.547,43.607
2025-10-27T17:43:35,2.813,none,1696,2453,-104.16,32.687
2025-10-27T17:43:35,2.828,none,1679,2439,-96.671,22.586
2025-10-27T17:43:35,2.844,none,1645,2423,-93.494,9.955
2025-10-27T17:43:35,2.875,none,1647,2433,-90.651,2.156
2025-10-27T17:43:35,2.891,none,1664,2415,-88.886,-4.239
2025-10-27T17:43:35,2.907,none,1680,2381,-86.893,-17.669
2025-10-27T17:43:35,2.938,none,1693,2357,-79.542,-32.36
2025-10-27T17:43:35,2.953,none,1691,2337,-66.727,-47.186
2025-10-27T17:43:35,2.969,none,1700,2325,-53.39,-65.586
2025-10-27T17:43:35,3,none,1727,2347,-38.877,-75.6
2025-10-27T17:43:35,3.016,none,1728,2359,-27.953,-76.49
2025-10-27T17:43:35,3.032,none,1721,2339,-21.383,-76.715
2025-10-27T17:43:35,3.063,none,1778,2257,-3.774,-89.028
2025-10-27T17:43:35,3.078,none,1843,2154,23.95,-118.606
2025-10-27T17:43:35,3.094,none,1911,2062,58.624,-169.284
2025-10-27T17:43:35,3.125,none,1974,1994,104.12,-233.817
2025-10-27T17:43:35,3.141,none,1990,1968,152.584,-297.525
2025-10-27T17:43:35,3.157,none,1985,1985,187.571,-340.24
2025-10-27T17:43:35,3.172,none,2017,2054,215.215,-348.576
2025-10-27T17:43:35,3.188,none,2060,2118,237.368,-326.725
2025-10-27T17:43:35,3.203,none,2070,2187,248.808,-279.255
2025-10-27T17:43:35,3.235,none,2054,2286,253.92,-209.16
2025-10-27T17:43:35,3.25,none,1983,2384,246.241,-125.514
2025-10-27T17:43:35,3.266,none,1936,2441,223.578,-46.641
2025-10-27T17:43:35,3.297,none,1934,2492,192.943,27.51
2025-10-27T17:43:35,3.313,none,1920,2494,158.598,86.638
2025-10-27T17:43:35,3.328,none,1907,2479,125.854,122.051
