wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,HSI,risk
2025-10-27T19:23:51,3.125,none,1,33,36,32,35,60.0,60.0,0.0,4.946,5.842,1.181,20.0,3.623,HIGH
2025-10-27T19:23:51,3.812,none,2,67,70,66,69,60.0,60.0,0.0,7.725,11.554,1.496,20.0,9.916,HIGH
2025-10-27T19:23:52,4.547,none,3,102,105,101,104,60.0,60.0,0.0,16.023,25.781,1.609,20.0,12.180,HIGH
2025-10-27T19:23:53,5.250,none,4,138,141,138,141,60.0,60.0,0.0,22.233,21.733,0.978,0.0,0.450,OK
2025-10-27T19:23:54,5.984,none,5,176,179,175,178,60.0,60.0,0.0,12.420,14.888,1.199,20.0,3.975,HIGH
2025-10-27T19:23:54,6.765,none,6,214,217,214,217,60.0,60.0,0.0,4.149,16.856,4.062,0.0,61.247,HIGH
2025-10-27T19:23:55,7.531,none,7,252,255,252,255,60.0,60.0,0.0,8.326,10.425,1.252,0.0,5.041,HIGH
2025-10-27T19:23:56,8.265,none,8,289,292,289,292,60.0,60.0,0.0,4.153,8.570,2.063,0.0,21.268,HIGH
2025-10-27T19:23:57,8.984,none,9,326,329,326,329,60.0,60.0,0.0,11.613,4.361,0.376,0.0,12.489,HIGH
2025-10-27T19:23:57,9.703,none,10,361,364,361,364,60.0,60.0,0.0,12.673,7.846,0.619,0.0,7.618,HIGH
2025-10-27T19:23:58,10.422,none,11,396,399,396,399,60.0,60.0,0.0,9.807,12.448,1.269,0.0,5.387,HIGH
2025-10-27T19:23:59,11.078,none,12,429,432,430,433,60.0,60.0,0.0,6.202,13.964,2.252,20.0,25.032,HIGH
2025-10-27T19:23:59,11.734,none,13,462,465,463,466,60.0,60.0,0.0,1.788,11.627,6.502,20.0,110.044,HIGH
2025-10-27T19:24:00,12.390,none,14,494,497,495,498,60.0,60.0,0.0,3.726,11.954,3.208,20.0,44.165,HIGH
2025-10-27T19:24:01,13.000,none,15,525,528,526,529,60.0,60.0,0.0,7.862,15.543,1.977,20.0,19.541,HIGH
2025-10-27T19:24:01,13.593,none,16,556,559,556,559,60.0,60.0,0.0,12.205,9.286,0.761,0.0,4.783,HIGH
2025-10-27T19:24:02,14.250,none,17,588,591,588,591,60.0,60.0,0.0,15.832,6.876,0.434,0.0,11.314,HIGH
2025-10-27T19:24:02,14.859,none,18,619,622,619,622,60.0,60.0,0.0,5.328,10.785,2.024,0.0,20.485,HIGH
2025-10-27T19:24:05,17.078,none,19,728,731,727,730,60.0,60.0,0.0,6.295,6.398,1.016,20.0,0.327,OK
2025-10-27T19:24:05,17.797,none,20,767,770,767,770,60.0,60.0,0.0,8.378,13.501,1.611,0.0,12.230,HIGH
2025-10-27T19:24:06,18.578,none,21,805,808,805,808,60.0,60.0,0.0,11.130,16.068,1.444,0.0,8.873,HIGH
2025-10-27T19:24:09,20.922,none,22,919,922,918,921,60.0,60.0,0.0,14.553,12.403,0.852,20.0,2.954,HIGH
2025-10-27T19:24:09,21.640,none,23,957,960,958,961,60.0,60.0,0.0,10.195,10.840,1.063,20.0,1.265,WARN
2025-10-27T19:24:10,22.359,none,24,995,998,994,997,60.0,60.0,0.0,5.849,7.947,1.359,20.0,7.176,HIGH
2025-10-27T19:24:11,23.859,none,25,1068,1071,1067,1070,60.0,60.0,0.0,10.593,0.850,0.080,20.0,18.396,HIGH
2025-10-27T19:24:12,24.578,none,26,1103,1106,1101,1104,60.0,60.0,0.0,11.757,6.802,0.579,40.0,10.095,HIGH
2025-10-27T19:24:13,25.843,none,27,1169,1172,1168,1171,60.0,60.0,0.0,7.744,10.074,1.301,20.0,6.017,HIGH
2025-10-27T19:24:14,26.500,none,28,1201,1204,1201,1204,60.0,60.0,0.0,2.407,17.427,7.239,0.0,124.776,HIGH
2025-10-27T19:24:15,27.093,none,29,1231,1234,1232,1235,60.0,60.0,0.0,4.823,13.548,2.809,20.0,36.184,HIGH
2025-10-27T19:24:15,27.703,none,30,1262,1265,1262,1265,60.0,60.0,0.0,6.873,15.642,2.276,0.0,25.518,HIGH
2025-10-27T19:24:16,28.359,none,31,1292,1295,1292,1295,60.0,60.0,0.0,11.233,17.326,1.542,0.0,10.850,HIGH
2025-10-27T19:24:17,28.953,none,32,1323,1326,1323,1326,60.0,60.0,0.0,14.822,9.999,0.675,0.0,6.508,HIGH
2025-10-27T19:24:19,31.297,none,33,1441,1444,1438,1441,60.0,60.0,0.0,15.894,25.765,1.621,60.0,15.753,HIGH
2025-10-27T19:24:20,32.140,none,34,1481,1484,1480,1483,60.0,60.0,0.0,19.816,39.210,1.979,20.0,19.574,HIGH
2025-10-27T19:24:21,32.922,none,35,1523,1526,1520,1523,60.0,60.0,0.0,35.975,27.015,0.751,60.0,8.315,HIGH
2025-10-27T19:24:21,33.812,none,36,1563,1566,1564,1567,60.0,60.0,0.0,31.146,13.583,0.436,20.0,11.278,HIGH
2025-10-27T19:24:24,36.343,none,37,1693,1696,1691,1694,60.0,60.0,0.0,10.591,14.898,1.407,40.0,9.799,HIGH
2025-10-27T19:24:25,37.125,none,38,1733,1736,1733,1736,60.0,60.0,0.0,21.228,0.489,0.023,0.0,19.540,HIGH
2025-10-27T19:24:26,37.953,none,39,1774,1777,1774,1777,60.0,60.0,0.0,10.461,21.749,2.079,0.0,21.582,HIGH
2025-10-27T19:24:26,38.734,none,40,1813,1816,1812,1815,60.0,60.0,0.0,10.062,24.059,2.391,20.0,27.821,HIGH
2025-10-27T19:24:27,39.453,none,41,1849,1852,1848,1851,60.0,60.0,0.0,18.115,10.174,0.562,20.0,8.767,HIGH
2025-10-27T19:24:28,40.125,none,42,1883,1886,1882,1885,60.0,60.0,0.0,13.653,17.001,1.245,20.0,4.905,HIGH
2025-10-27T19:24:28,40.843,none,43,1918,1921,1916,1919,60.0,60.0,0.0,17.637,26.478,1.501,40.0,11.694,HIGH
2025-10-27T19:24:29,41.500,none,44,1951,1954,1950,1953,60.0,60.0,0.0,24.108,9.640,0.400,20.0,12.003,HIGH
2025-10-27T19:24:30,42.156,none,45,1985,1988,1984,1987,60.0,60.0,0.0,3.362,11.390,3.388,20.0,47.765,HIGH
2025-10-27T19:24:31,42.937,none,46,2023,2026,2020,2023,60.0,60.0,0.0,3.208,10.965,3.418,60.0,51.687,HIGH
2025-10-27T19:24:31,43.656,none,47,2059,2062,2059,2062,60.0,60.0,0.0,21.061,19.662,0.934,0.0,1.329,WARN
2025-10-27T19:24:32,44.437,none,48,2097,2100,2096,2099,60.0,60.0,0.0,21.451,30.499,1.422,20.0,8.436,HIGH
2025-10-27T19:24:33,45.156,none,49,2135,2138,2134,2137,60.0,60.0,0.0,10.624,39.504,3.718,20.0,54.364,HIGH
2025-10-27T19:24:33,45.875,none,50,2170,2173,2170,2173,60.0,60.0,0.0,15.019,16.233,1.081,0.0,1.616,WARN
2025-10-27T19:24:34,46.593,none,51,2207,2210,2206,2209,60.0,60.0,0.0,26.296,28.368,1.079,20.0,1.576,WARN
2025-10-27T19:24:35,47.375,none,52,2242,2245,2242,2245,60.0,60.0,0.0,28.863,19.533,0.677,0.0,6.465,HIGH
2025-10-27T19:24:36,47.984,none,53,2276,2279,2276,2279,60.0,60.0,0.0,10.702,27.193,2.541,0.0,30.820,HIGH
2025-10-27T19:24:36,48.703,none,54,2310,2313,2309,2312,60.0,60.0,0.0,20.514,20.889,1.018,20.0,0.365,OK
2025-10-27T19:24:37,49.359,none,55,2344,2347,2343,2346,60.0,60.0,0.0,16.802,26.178,1.558,20.0,11.160,HIGH
2025-10-27T19:24:38,50.078,none,56,2379,2382,2378,2381,60.0,60.0,0.0,18.318,13.550,0.740,20.0,5.206,HIGH
2025-10-27T19:24:38,50.797,none,57,2416,2419,2416,2419,60.0,60.0,0.0,7.693,16.026,2.083,0.0,21.666,HIGH
2025-10-27T19:24:39,51.515,none,58,2452,2455,2451,2454,60.0,60.0,0.0,11.050,17.547,1.588,20.0,11.759,HIGH
2025-10-27T19:24:40,52.297,none,59,2490,2493,2488,2491,60.0,60.0,0.0,27.206,25.202,0.926,40.0,3.140,HIGH
2025-10-27T19:24:41,53.078,none,60,2530,2533,2527,2530,60.0,60.0,0.0,32.225,36.658,1.138,60.0,6.085,HIGH
2025-10-27T19:24:41,53.859,none,61,2568,2571,2567,2570,60.0,60.0,0.0,32.386,19.592,0.605,20.0,7.901,HIGH
2025-10-27T19:24:42,54.640,none,62,2608,2611,2605,2608,60.0,60.0,0.0,20.553,20.866,1.015,60.0,3.638,HIGH
2025-10-27T19:24:43,55.359,none,63,2645,2648,2644,2647,60.0,60.0,0.0,11.875,19.556,1.647,20.0,12.935,HIGH
2025-10-27T19:24:44,56.140,none,64,2682,2685,2682,2685,60.0,60.0,0.0,8.443,8.047,0.953,0.0,0.937,OK
2025-10-27T19:24:44,56.859,none,65,2719,2722,2719,2722,60.0,60.0,0.0,3.037,11.517,3.792,0.0,55.846,HIGH
2025-10-27T19:24:45,57.515,none,66,2753,2756,2753,2756,60.0,60.0,0.0,23.909,16.492,0.690,0.0,6.205,HIGH
2025-10-27T19:24:46,58.172,none,67,2786,2789,2786,2789,60.0,60.0,0.0,25.622,16.582,0.647,0.0,7.057,HIGH
2025-10-27T19:24:46,58.890,none,68,2820,2823,2821,2824,60.0,60.0,0.0,13.854,16.927,1.222,20.0,4.437,HIGH
2025-10-27T19:24:47,59.562,none,69,2854,2857,2854,2857,60.0,60.0,0.0,2.065,15.971,7.735,0.0,134.691,HIGH
2025-10-27T19:24:48,60.218,none,70,2888,2891,2886,2889,60.0,60.0,0.0,2.298,19.383,8.434,40.0,150.351,HIGH
2025-10-27T19:24:48,60.875,none,71,2920,2923,2921,2924,60.0,60.0,0.0,5.991,12.894,2.152,20.0,23.048,HIGH
2025-10-27T19:24:49,61.593,none,72,2956,2959,2954,2957,60.0,60.0,0.0,9.774,6.401,0.655,40.0,8.569,HIGH
2025-10-27T19:24:51,63.031,none,73,3028,3031,3028,3031,60.0,60.0,0.0,15.058,15.479,1.028,0.0,0.559,OK
2025-10-27T19:24:52,64.422,none,74,3097,3100,3096,3099,60.0,60.0,0.0,27.172,9.140,0.336,20.0,13.273,HIGH
2025-10-27T19:24:54,66.468,none,75,3200,3203,3199,3202,60.0,60.0,0.0,18.373,1.999,0.109,20.0,17.824,HIGH
2025-10-27T19:24:55,67.172,none,76,3235,3238,3235,3238,60.0,60.0,0.0,9.728,20.813,2.139,0.0,22.789,HIGH
2025-10-27T19:24:55,67.906,none,77,3271,3274,3270,3273,60.0,60.0,0.0,10.103,17.504,1.733,20.0,14.653,HIGH
2025-10-27T19:24:56,68.562,none,78,3305,3308,3305,3308,60.0,60.0,0.0,11.575,16.277,1.406,0.0,8.125,HIGH
2025-10-27T19:24:57,69.281,none,79,3341,3344,3339,3342,60.0,60.0,0.0,16.862,16.311,0.967,40.0,2.320,HIGH
2025-10-27T19:24:58,70.062,none,80,3376,3379,3375,3378,60.0,60.0,0.0,17.868,19.860,1.111,20.0,2.230,HIGH
2025-10-27T19:24:58,70.718,none,81,3413,3416,3410,3413,60.0,60.0,0.0,12.554,15.908,1.267,60.0,8.676,HIGH
2025-10-27T19:24:59,71.437,none,82,3448,3451,3447,3450,60.0,60.0,0.0,8.391,12.539,1.494,20.0,9.888,HIGH
2025-10-27T19:25:00,72.093,none,83,3481,3484,3481,3484,60.0,60.0,0.0,9.658,17.102,1.771,0.0,15.413,HIGH
2025-10-27T19:25:00,72.812,none,84,3517,3520,3517,3520,60.0,60.0,0.0,13.395,27.567,2.058,0.0,21.161,HIGH
2025-10-27T19:25:01,73.531,none,85,3552,3555,3552,3555,60.0,60.0,0.0,16.801,14.507,0.863,0.0,2.731,HIGH
2025-10-27T19:25:02,74.375,none,86,3589,3592,3588,3591,60.0,60.0,0.0,9.598,4.340,0.452,20.0,10.957,HIGH
2025-10-27T19:25:03,74.922,none,87,3622,3625,3621,3624,60.0,60.0,0.0,24.295,21.464,0.883,20.0,2.330,HIGH
2025-10-27T19:25:03,75.578,none,88,3656,3659,3655,3658,60.0,60.0,0.0,27.263,35.748,1.311,20.0,6.225,HIGH
2025-10-27T19:25:04,76.297,none,89,3690,3693,3689,3692,60.0,60.0,0.0,24.743,24.944,1.008,20.0,0.162,OK
2025-10-27T19:25:05,76.953,none,90,3725,3728,3724,3727,60.0,60.0,0.0,20.891,17.102,0.819,20.0,3.628,HIGH
2025-10-27T19:25:05,77.672,none,91,3761,3764,3759,3762,60.0,60.0,0.0,16.931,19.756,1.167,40.0,5.003,HIGH
2025-10-27T19:25:06,78.390,none,92,3797,3800,3796,3799,60.0,60.0,0.0,19.684,18.947,0.963,20.0,0.749,OK
2025-10-27T19:25:07,79.062,none,93,3830,3833,3830,3833,60.0,60.0,0.0,12.494,20.007,1.601,0.0,12.028,HIGH
2025-10-27T19:25:07,79.781,none,94,3865,3868,3865,3868,60.0,60.0,0.0,21.462,20.888,0.973,0.0,0.535,OK
2025-10-27T19:25:08,80.500,none,95,3900,3903,3900,3903,60.0,60.0,0.0,26.796,30.014,1.120,0.0,2.402,HIGH
2025-10-27T19:25:09,81.281,none,96,3936,3939,3934,3937,60.0,60.0,0.0,24.800,17.372,0.700,40.0,7.657,HIGH
2025-10-27T19:25:09,81.875,none,97,3971,3974,3971,3974,60.0,60.0,0.0,5.836,11.873,2.035,0.0,20.691,HIGH
2025-10-27T19:25:10,82.593,none,98,4007,4010,4006,4009,60.0,60.0,0.0,15.609,11.701,0.750,20.0,5.007,HIGH
2025-10-27T19:25:11,83.328,none,99,4042,4045,4041,4044,60.0,60.0,0.0,25.860,24.559,0.950,20.0,1.006,WARN
2025-10-27T19:25:12,84.031,none,100,4078,4081,4078,4081,60.0,60.0,0.0,31.592,23.696,0.750,0.0,4.999,HIGH
2025-10-27T19:25:12,84.765,none,101,4114,4117,4114,4117,60.0,60.0,0.0,16.187,20.937,1.293,0.0,5.868,HIGH
2025-10-27T19:25:13,85.484,none,102,4150,4153,4150,4153,60.0,60.0,0.0,11.022,19.112,1.734,0.0,14.678,HIGH
2025-10-27T19:25:14,86.203,none,103,4187,4190,4186,4189,60.0,60.0,0.0,18.047,17.664,0.979,20.0,0.425,OK
2025-10-27T19:25:15,86.922,none,104,4222,4225,4221,4224,60.0,60.0,0.0,26.107,25.925,0.993,20.0,0.139,OK
2025-10-27T19:25:15,87.578,none,105,4256,4259,4255,4258,60.0,60.0,0.0,25.245,24.139,0.956,20.0,0.876,OK
2025-10-27T19:25:16,88.297,none,106,4291,4294,4290,4293,60.0,60.0,0.0,20.021,22.337,1.116,20.0,2.314,HIGH
2025-10-27T19:25:17,89.015,none,107,4324,4327,4324,4327,60.0,60.0,0.0,15.202,19.208,1.263,0.0,5.269,HIGH
2025-10-27T19:25:17,89.734,none,108,4357,4360,4357,4360,60.0,60.0,0.0,12.189,19.969,1.638,0.0,12.764,HIGH
2025-10-27T19:25:18,90.281,none,109,4390,4393,4390,4393,60.0,60.0,0.0,11.639,25.241,2.169,0.0,23.375,HIGH
2025-10-27T19:25:19,91.000,none,110,4424,4427,4423,4426,60.0,60.0,0.0,15.323,18.338,1.197,20.0,3.935,HIGH
2025-10-27T19:25:19,91.656,none,111,4458,4461,4457,4460,60.0,60.0,0.0,13.803,20.694,1.499,20.0,9.984,HIGH
2025-10-27T19:25:20,92.390,none,112,4494,4497,4493,4496,60.0,60.0,0.0,8.260,11.242,1.361,20.0,7.221,HIGH
2025-10-27T19:25:21,93.093,none,113,4531,4534,4530,4533,60.0,60.0,0.0,3.972,9.604,2.418,20.0,28.358,HIGH
2025-10-27T19:25:21,93.875,none,114,4570,4573,4569,4572,60.0,60.0,0.0,12.464,15.386,1.234,20.0,4.689,HIGH
2025-10-27T19:25:22,94.656,none,115,4608,4611,4608,4611,60.0,60.0,0.0,20.553,16.333,0.795,0.0,4.107,HIGH
