wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR
2025-10-27T19:23:50,2.343,none,1777,1851,0.000,0.000
2025-10-27T19:23:50,2.359,none,1761,1791,-4.000,-15.000
2025-10-27T19:23:50,2.375,none,1744,1723,-8.222,-31.778
2025-10-27T19:23:50,2.406,none,1714,1666,-14.917,-46.771
2025-10-27T19:23:50,2.422,none,1665,1611,-25.373,-60.897
2025-10-27T19:23:50,2.437,none,1627,1617,-42.907,-79.463
2025-10-27T19:23:50,2.468,none,1613,1669,-58.735,-80.463
2025-10-27T19:23:50,2.484,none,1601,1670,-72.752,-73.347
2025-10-27T19:23:50,2.500,none,1595,1648,-82.241,-64.197
2025-10-27T19:23:50,2.531,none,1574,1635,-87.421,-51.337
2025-10-27T19:23:50,2.547,none,1525,1648,-95.724,-40.061
2025-10-27T19:23:50,2.562,none,1488,1667,-108.762,-36.261
2025-10-27T19:23:50,2.593,none,1464,1663,-123.966,-34.003
2025-10-27T19:23:50,2.593,none,1408,1618,-148.105,-36.589
2025-10-27T19:23:50,2.609,none,1366,1568,-175.245,-46.302
2025-10-27T19:23:50,2.640,none,1329,1535,-199.247,-64.261
2025-10-27T19:23:50,2.656,none,1271,1534,-226.603,-85.014
2025-10-27T19:23:50,2.672,none,1214,1530,-259.427,-104.700
2025-10-27T19:23:50,2.703,none,1153,1535,-292.294,-114.114
2025-10-27T19:23:50,2.718,none,1095,1535,-327.374,-113.921
2025-10-27T19:23:50,2.734,none,1070,1534,-359.288,-108.042
2025-10-27T19:23:50,2.765,none,1072,1531,-379.119,-103.153
2025-10-27T19:23:50,2.781,none,1058,1502,-390.698,-103.558
2025-10-27T19:23:50,2.797,none,1043,1456,-393.828,-113.966
2025-10-27T19:23:50,2.828,none,1041,1425,-386.932,-130.122
2025-10-27T19:23:50,2.843,none,1040,1391,-376.472,-152.189
2025-10-27T19:23:50,2.859,none,1041,1377,-367.277,-175.725
2025-10-27T19:23:50,2.890,none,1053,1392,-354.021,-190.129
2025-10-27T19:23:50,2.906,none,1090,1402,-331.754,-193.458
2025-10-27T19:23:51,2.922,none,1171,1474,-294.697,-177.015
2025-10-27T19:23:51,2.953,none,1286,1623,-236.843,-125.951
2025-10-27T19:23:51,2.968,none,1387,1733,-161.834,-52.714
2025-10-27T19:23:51,2.968,none,1470,1770,-75.686,22.357
2025-10-27T19:23:51,3.000,none,1510,1747,8.226,88.630
2025-10-27T19:23:51,3.015,none,1505,1687,72.850,127.266
2025-10-27T19:23:51,3.031,none,1485,1657,109.366,130.068
2025-10-27T19:23:51,3.062,none,1468,1652,121.962,110.550
2025-10-27T19:23:51,3.078,none,1423,1642,109.393,82.544
2025-10-27T19:23:51,3.093,none,1364,1610,77.968,53.624
2025-10-27T19:23:51,3.125,none,1328,1604,41.386,36.026
2025-10-27T19:23:51,3.140,none,1297,1611,3.630,26.120
2025-10-27T19:23:51,3.156,none,1308,1629,-27.697,20.977
2025-10-27T19:23:51,3.187,none,1360,1619,-39.315,15.982
2025-10-27T19:23:51,3.203,none,1391,1584,-33.084,10.521
2025-10-27T19:23:51,3.218,none,1408,1573,-16.653,4.208
2025-10-27T19:23:51,3.250,none,1428,1586,9.360,-0.788
2025-10-27T19:23:51,3.265,none,1431,1584,33.222,-9.577
2025-10-27T19:23:51,3.281,none,1411,1554,42.482,-22.090
2025-10-27T19:23:51,3.312,none,1392,1511,41.768,-35.922
2025-10-27T19:23:51,3.328,none,1354,1472,30.305,-54.977
2025-10-27T19:23:51,3.343,none,1311,1476,6.739,-75.429
2025-10-27T19:23:51,3.359,none,1264,1535,-26.157,-83.528
2025-10-27T19:23:51,3.375,none,1227,1555,-61.753,-81.680
2025-10-27T19:23:51,3.390,none,1194,1533,-99.432,-75.776
2025-10-27T19:23:51,3.422,none,1183,1531,-131.130,-62.760
2025-10-27T19:23:51,3.437,none,1178,1535,-154.820,-50.016
2025-10-27T19:23:51,3.453,none,1166,1574,-171.254,-41.445
2025-10-27T19:23:51,3.484,none,1147,1595,-183.913,-32.836
2025-10-27T19:23:51,3.500,none,1106,1583,-197.985,-22.425
2025-10-27T19:23:51,3.515,none,1102,1535,-210.500,-21.251
2025-10-27T19:23:51,3.547,none,1111,1517,-220.110,-24.439
2025-10-27T19:23:51,3.562,none,1125,1498,-224.503,-38.992
2025-10-27T19:23:51,3.578,none,1145,1515,-221.206,-54.099
2025-10-27T19:23:51,3.609,none,1200,1582,-199.126,-53.418
2025-10-27T19:23:51,3.625,none,1298,1659,-157.362,-28.145
2025-10-27T19:23:51,3.640,none,1424,1759,-93.243,19.971
2025-10-27T19:23:51,3.672,none,1507,1874,-16.539,93.748
2025-10-27T19:23:51,3.687,none,1520,1919,57.614,171.942
2025-10-27T19:23:51,3.703,none,1506,1887,117.062,229.490
2025-10-27T19:23:51,3.718,none,1505,1825,156.137,258.830
2025-10-27T19:23:51,3.765,none,1498,1757,168.456,254.668
2025-10-27T19:23:51,3.812,none,1456,1723,155.988,221.237
2025-10-27T19:23:51,3.812,none,1413,1683,132.681,171.564
2025-10-27T19:23:51,3.812,none,1339,1638,97.885,120.054
2025-10-27T19:23:51,3.812,none,1261,1613,48.390,76.575
2025-10-27T19:23:51,3.875,none,1245,1643,-1.045,53.688
2025-10-27T19:23:51,3.875,none,1267,1682,-36.050,46.022
2025-10-27T19:23:51,3.875,none,1281,1697,-58.234,49.637
2025-10-27T19:23:52,3.937,none,1298,1735,-61.128,69.752
2025-10-27T19:23:52,3.937,none,1328,1737,-41.749,94.947
2025-10-27T19:23:52,3.937,none,1335,1728,-18.411,111.491
2025-10-27T19:23:52,4.000,none,1350,1729,2.912,119.984
2025-10-27T19:23:52,4.000,none,1341,1717,19.093,122.883
2025-10-27T19:23:52,4.000,none,1302,1675,23.747,109.893
2025-10-27T19:23:52,4.062,none,1292,1646,20.253,91.011
2025-10-27T19:23:52,4.062,none,1300,1639,16.781,72.848
2025-10-27T19:23:52,4.062,none,1297,1607,9.517,48.405
2025-10-27T19:23:52,4.125,none,1296,1600,3.608,25.256
2025-10-27T19:23:52,4.125,none,1289,1597,3.635,10.035
2025-10-27T19:23:52,4.125,none,1263,1571,-0.016,-4.565
2025-10-27T19:23:52,4.187,none,1279,1584,-2.533,-15.320
2025-10-27T19:23:52,4.187,none,1296,1598,-1.627,-17.205
2025-10-27T19:23:52,4.187,none,1264,1607,-7.501,-16.264
2025-10-27T19:23:52,4.234,none,1232,1646,-18.904,-7.275
2025-10-27T19:23:52,4.234,none,1204,1681,-31.272,13.533
2025-10-27T19:23:52,4.234,none,1168,1712,-54.435,37.597
2025-10-27T19:23:52,4.297,none,1168,1771,-81.187,70.192
2025-10-27T19:23:52,4.297,none,1207,1835,-94.003,113.104
2025-10-27T19:23:52,4.297,none,1264,1894,-89.397,159.144
2025-10-27T19:23:52,4.359,none,1392,1991,-54.237,216.464
2025-10-27T19:23:52,4.359,none,1525,2096,13.691,287.179
2025-10-27T19:23:52,4.359,none,1616,2151,98.541,355.669
2025-10-27T19:23:52,4.422,none,1663,2180,183.763,415.947
2025-10-27T19:23:52,4.422,none,1663,2160,256.645,459.571
2025-10-27T19:23:52,4.422,none,1631,2099,297.237,471.437
2025-10-27T19:23:52,4.484,none,1627,2065,310.813,456.205
2025-10-27T19:23:52,4.484,none,1632,2037,308.069,425.627
2025-10-27T19:23:52,4.484,none,1606,2000,291.989,383.336
2025-10-27T19:23:52,4.547,none,1587,1981,273.432,342.643
2025-10-27T19:23:52,4.547,none,1568,1974,258.533,313.651
2025-10-27T19:23:52,4.547,none,1535,1964,238.611,289.819
2025-10-27T19:23:52,4.593,none,1535,1973,218.163,273.341
2025-10-27T19:23:52,4.593,none,1567,1981,209.293,265.573
2025-10-27T19:23:52,4.593,none,1565,1962,203.493,257.491
2025-10-27T19:23:52,4.656,none,1583,1968,204.581,251.803
2025-10-27T19:23:52,4.656,none,1616,1984,218.152,251.139
2025-10-27T19:23:52,4.656,none,1619,1977,231.672,247.203
2025-10-27T19:23:52,4.718,none,1616,1971,237.893,240.432
2025-10-27T19:23:52,4.718,none,1589,1958,239.123,234.803
2025-10-27T19:23:52,4.718,none,1535,1910,226.293,218.445
2025-10-27T19:23:52,4.781,none,1531,1905,206.640,198.032
2025-10-27T19:23:52,4.781,none,1531,1890,186.949,176.131
2025-10-27T19:23:52,4.781,none,1515,1842,165.064,146.000
2025-10-27T19:23:52,4.843,none,1499,1808,145.621,111.875
2025-10-27T19:23:52,4.843,none,1495,1793,136.141,84.392
