wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active
2025-10-27T21:33:52,1.718,none,1,3,6,2,5,60.0,60.0,0.0,0.089856,0.090606,1.008346,20.0,0.037,OK,153.9528,89.4397,0.10,1
2025-10-27T21:33:55,4.531,none,2,142,145,141,144,60.0,60.0,0.0,0.319332,0.283185,0.886804,20.0,0.538,OK,602.1960,446.1392,0.10,1
2025-10-27T21:33:55,5.140,none,3,173,176,173,176,60.0,60.0,0.0,0.102128,0.130390,1.276740,0.0,1.095,WARN,763.3090,537.2849,0.10,1
2025-10-27T21:33:58,7.468,none,4,285,288,284,287,60.0,60.0,0.0,0.143238,0.080711,0.563475,20.0,2.571,HIGH,653.8162,364.4127,0.10,1
2025-10-27T21:33:58,8.187,none,5,326,329,324,327,60.0,60.0,0.0,0.003455,0.137191,39.705460,40.0,16.998,HIGH,598.4425,340.2659,0.10,1
2025-10-27T21:33:59,8.968,none,6,365,368,362,365,60.0,60.0,0.0,0.032256,0.100328,3.110408,60.0,6.585,HIGH,540.7135,324.5746,0.10,1
2025-10-27T21:34:00,9.750,none,7,404,407,401,404,60.0,60.0,0.0,0.088211,0.130420,1.478503,60.0,3.252,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:01,10.531,none,8,443,446,440,443,60.0,60.0,0.0,0.131959,0.130597,0.989686,60.0,1.546,WARN,505.4584,306.2050,0.10,0
2025-10-27T21:34:02,11.375,none,9,482,485,479,482,60.0,60.0,0.0,0.065278,0.123912,1.898219,60.0,4.372,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:02,12.156,none,10,522,525,518,521,60.0,60.0,0.0,0.042371,0.083150,1.962426,80.0,5.521,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:03,12.812,none,11,557,560,555,558,60.0,60.0,0.0,0.019994,0.073959,3.699099,40.0,6.362,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:04,13.531,none,12,593,596,591,594,60.0,60.0,0.0,0.041172,0.112638,2.735758,40.0,5.010,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:04,14.312,none,13,630,633,627,630,60.0,60.0,0.0,0.099255,0.136395,1.374185,60.0,2.924,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:05,15.093,none,14,666,669,663,666,60.0,60.0,0.0,0.087736,0.142226,1.621057,60.0,3.665,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:06,15.750,none,15,702,705,698,701,60.0,60.0,0.0,0.062545,0.072183,1.154101,80.0,3.142,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:07,16.422,none,16,737,740,734,737,60.0,60.0,0.0,0.002433,0.049770,20.458503,60.0,15.027,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:08,17.859,none,17,807,810,804,807,60.0,60.0,0.0,0.040971,0.079639,1.943788,60.0,4.479,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:09,18.515,none,18,840,843,838,841,60.0,60.0,0.0,0.086636,0.110400,1.274298,40.0,1.586,WARN,505.4584,306.2050,0.10,0
2025-10-27T21:34:09,19.234,none,19,872,875,871,874,60.0,60.0,0.0,0.059713,0.126458,2.117758,20.0,3.363,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:10,19.781,none,20,905,908,903,906,60.0,60.0,0.0,0.067088,0.135155,2.014588,40.0,3.639,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:11,20.500,none,21,939,942,936,939,60.0,60.0,0.0,0.093585,0.108188,1.156036,60.0,2.150,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:11,21.156,none,22,973,976,971,974,60.0,60.0,0.0,0.063404,0.115724,1.825192,40.0,3.196,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:12,21.875,none,23,1010,1013,1007,1010,60.0,60.0,0.0,0.072147,0.107942,1.496127,60.0,3.305,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:14,23.437,none,24,1087,1090,1084,1087,60.0,60.0,0.0,0.070802,0.089059,1.257865,60.0,2.528,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:14,24.156,none,25,1124,1127,1121,1124,60.0,60.0,0.0,0.115347,0.129161,1.119762,60.0,2.007,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:15,24.937,none,26,1163,1166,1160,1163,60.0,60.0,0.0,0.129225,0.173555,1.343044,60.0,2.822,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:16,25.718,none,27,1200,1203,1198,1201,60.0,60.0,0.0,0.105926,0.128790,1.215856,40.0,1.376,WARN,505.4584,306.2050,0.10,0
2025-10-27T21:34:17,26.500,none,28,1240,1243,1237,1240,60.0,60.0,0.0,0.106956,0.134131,1.254079,60.0,2.515,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:17,27.218,none,29,1276,1279,1273,1276,60.0,60.0,0.0,0.080841,0.128595,1.590700,60.0,3.580,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:18,27.937,none,30,1313,1316,1311,1314,60.0,60.0,0.0,0.088520,0.142882,1.614126,40.0,2.646,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:19,28.718,none,31,1350,1353,1348,1351,60.0,60.0,0.0,0.089922,0.103197,1.147631,40.0,1.117,WARN,505.4584,306.2050,0.10,0
2025-10-27T21:34:19,29.015,none,32,1367,1370,1365,1368,60.0,60.0,0.0,0.289168,0.395260,1.366884,40.0,1.901,WARN,505.4584,306.2050,0.10,0
2025-10-27T21:34:20,30.156,none,33,1424,1427,1422,1425,60.0,60.0,0.0,0.274110,0.494730,1.804858,40.0,3.146,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:21,30.578,none,34,1444,1447,1444,1447,60.0,60.0,0.0,0.124133,0.207005,1.667604,0.0,2.292,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:25,34.890,none,35,1657,1660,1660,1663,60.0,60.0,0.0,0.251564,0.633279,2.517364,60.0,5.637,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:26,35.609,pressure_start,36,1696,1699,1696,1699,60.0,60.0,0.0,0.165150,0.325960,1.973724,0.0,3.047,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:27,36.453,pressure_start,37,1737,1740,1737,1740,60.0,60.0,0.0,0.261238,0.588119,2.251282,0.0,3.637,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:27,36.812,pressure_start,38,1757,1759,1757,1760,40.0,60.0,20.0,0.100699,0.040156,0.398773,20.0,4.120,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:28,37.359,pressure_start,39,1782,1785,1782,1785,60.0,60.0,0.0,0.090425,0.057053,0.630945,0.0,2.064,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:30,40.172,pressure_start,40,1925,1928,1921,1924,60.0,60.0,0.0,0.377462,0.525131,1.391215,80.0,3.980,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:32,41.859,pressure_start,41,2009,2012,2009,2012,60.0,60.0,0.0,0.130517,0.037885,0.290271,0.0,5.543,HIGH,505.4584,306.2050,0.10,0
2025-10-27T21:34:32,42.281,pressure_start,42,2027,2030,2028,2031,60.0,60.0,0.0,0.140619,0.235418,1.674161,20.0,2.309,HIGH,505.4584,306.2050,0.10,0
