wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-27T21:33:52,1.547,none,1378,1743,0.000,0.000,1,1,1
2025-10-27T21:33:52,1.562,none,1584,1942,51.500,49.750,2,2,1
2025-10-27T21:33:52,1.593,none,1759,2100,96.111,90.389,3,3,1
2025-10-27T21:33:52,1.609,none,1905,2179,134.208,114.792,4,4,1
2025-10-27T21:33:52,1.625,none,2022,2213,165.847,127.353,5,5,1
2025-10-27T21:33:52,1.656,none,2083,2210,224.747,156.453,6,6,1
2025-10-27T21:33:52,1.672,none,2078,2163,253.775,153.439,7,7,1
2025-10-27T21:33:52,1.687,none,2020,2093,249.984,121.631,8,8,1
2025-10-27T21:33:52,1.718,none,1927,2003,213.328,70.275,9,9,1
2025-10-27T21:33:52,1.718,none,1835,1936,150.028,10.315,10,10,1
2025-10-27T21:33:52,1.734,none,1751,1898,71.473,-47.912,11,11,1
2025-10-27T21:33:52,1.765,none,1649,1873,-14.872,-96.081,12,12,1
2025-10-27T21:33:52,1.781,none,1507,1845,-108.254,-132.652,13,13,1
2025-10-27T21:33:52,1.797,none,1355,1849,-205.342,-149.768,14,14,1
2025-10-27T21:33:52,1.828,none,1195,1859,-308.828,-152.275,15,15,1
2025-10-27T21:33:52,1.843,none,1052,1862,-417.524,-147.848,16,16,1
2025-10-27T21:33:52,1.859,none,907,1843,-528.901,-143.388,17,17,1
2025-10-27T21:33:52,1.890,none,751,1821,-638.127,-138.831,18,18,1
2025-10-27T21:33:52,1.906,none,576,1754,-747.663,-148.591,19,19,1
2025-10-27T21:33:52,1.922,none,402,1690,-856.316,-172.404,20,20,1
2025-10-27T21:33:52,1.953,none,247,1626,-964.119,-208.237,21,21,1
2025-10-27T21:33:52,1.968,none,150,1562,-1059.961,-251.414,22,22,1
2025-10-27T21:33:52,1.984,none,94,1494,-1134.671,-301.890,23,23,1
2025-10-27T21:33:52,2.015,none,73,1427,-1178.992,-350.734,24,24,1
2025-10-27T21:33:52,2.031,none,74,1370,-1190.224,-396.814,25,25,1
2025-10-27T21:33:52,2.047,none,71,1316,-1174.064,-439.780,26,26,1
2025-10-27T21:33:52,2.078,none,70,1255,-1142.165,-481.195,27,27,1
2025-10-27T21:33:52,2.093,none,69,1180,-1102.778,-523.130,28,28,1
2025-10-27T21:33:52,2.109,none,185,1104,-1040.078,-566.027,29,29,1
2025-10-27T21:33:52,2.125,none,1075,1045,-809.180,-608.554,30,30,1
2025-10-27T21:33:52,2.140,none,2155,1015,-377.536,-645.731,31,31,1
2025-10-27T21:33:52,2.156,none,2970,1046,197.445,-664.591,32,32,1
2025-10-27T21:33:52,2.187,none,3667,1127,889.223,-653.310,33,33,1
2025-10-27T21:33:52,2.203,none,3874,1283,1577.400,-598.020,34,34,1
