wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-28T19:54:08,13.594,none,1605,1769,0.000,0.000,1,1,1
2025-10-28T19:54:08,13.625,none,1819,2065,53.500,74.000,2,2,1
2025-10-28T19:54:08,13.641,none,2003,2311,100.333,136.889,3,3,1
2025-10-28T19:54:08,13.656,none,2128,2445,135.062,177.042,4,4,1
2025-10-28T19:54:08,13.688,none,2202,2498,158.170,197.713,5,5,1
2025-10-28T19:54:08,13.703,none,2255,2512,208.770,246.780,6,6,1
2025-10-28T19:54:08,13.703,none,2267,2475,232.799,252.894,7,7,1
2025-10-28T19:54:08,13.734,none,2224,2392,226.224,217.086,8,8,1
2025-10-28T19:54:08,13.750,none,2146,2289,193.151,154.142,9,9,1
2025-10-28T19:54:08,13.766,none,2064,2180,141.571,75.342,10,10,1
2025-10-28T19:54:08,13.797,none,2009,2096,79.644,-9.652,11,11,1
2025-10-28T19:54:08,13.813,none,1982,2054,18.882,-86.000,12,12,1
2025-10-28T19:54:08,13.828,none,1954,2022,-32.666,-146.140,13,13,1
2025-10-28T19:54:08,13.859,none,1904,1993,-74.672,-188.396,14,14,1
2025-10-28T19:54:08,13.875,none,1886,2000,-101.986,-207.023,15,15,1
2025-10-28T19:54:08,13.891,none,1878,2017,-119.133,-206.670,16,16,1
2025-10-28T19:54:09,13.922,none,1882,2035,-129.847,-196.131,17,17,1
2025-10-28T19:54:09,13.938,none,1868,2019,-137.768,-184.160,18,18,1
2025-10-28T19:54:09,13.953,none,1809,1951,-147.529,-181.134,19,19,1
2025-10-28T19:54:09,13.984,none,1748,1872,-165.486,-195.337,20,20,1
2025-10-28T19:54:09,14.000,none,1722,1808,-186.468,-224.857,21,21,1
2025-10-28T19:54:09,14.016,none,1697,1745,-212.403,-268.927,22,22,1
2025-10-28T19:54:09,14.047,none,1637,1667,-246.358,-323.343,23,23,1
2025-10-28T19:54:09,14.063,none,1562,1585,-282.394,-378.670,24,24,1
