wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active
2025-10-28T20:00:07,14.390,none,1,20,27,19,26,140.0,140.0,0.0,0.211773,0.168192,0.794211,20.0,0.878,OK,486.4118,386.2371,0.10,1
2025-10-28T20:00:07,15.187,none,2,59,66,58,65,140.0,140.0,0.0,0.167625,0.125826,0.772426,20.0,0.984,OK,442.5494,339.3367,0.10,1
2025-10-28T20:00:08,15.968,none,3,97,104,96,103,140.0,140.0,0.0,0.138376,0.111599,0.794211,20.0,0.878,OK,417.9328,320.6172,0.10,1
2025-10-28T20:00:09,16.687,none,4,133,140,132,139,140.0,140.0,0.0,0.138193,0.125261,0.800351,20.0,0.849,OK,402.1100,318.0979,0.10,1
2025-10-28T20:00:10,17.343,none,5,166,173,165,172,140.0,140.0,0.0,0.099692,0.092297,0.806491,20.0,0.820,OK,373.7756,303.9383,0.10,1
2025-10-28T20:00:10,18.062,none,6,200,207,199,206,140.0,140.0,0.0,0.118788,0.098745,0.831269,20.0,0.704,OK,356.8549,290.5012,0.10,1
2025-10-28T20:00:11,18.734,none,7,235,242,234,241,140.0,140.0,0.0,0.126936,0.084301,0.831269,20.0,0.704,OK,350.4595,276.5047,0.10,1
2025-10-28T20:00:12,19.515,none,8,273,280,272,279,140.0,140.0,0.0,0.140887,0.101963,0.831269,20.0,0.704,OK,346.9741,266.0626,0.10,1
2025-10-28T20:00:12,20.281,none,9,313,320,312,319,140.0,140.0,0.0,0.150418,0.134935,0.831269,20.0,0.704,OK,343.8863,262.5171,0.10,1
2025-10-28T20:00:13,21.015,none,10,350,357,349,356,140.0,140.0,0.0,0.155466,0.135300,0.831269,20.0,0.704,OK,346.5726,263.7500,0.10,1
2025-10-28T20:00:14,21.734,none,11,387,394,387,394,140.0,140.0,0.0,0.128568,0.153680,0.870287,0.0,0.530,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:15,22.453,none,12,423,430,423,430,140.0,140.0,0.0,0.106128,0.139305,0.897063,0.0,0.414,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:15,23.234,none,13,459,466,458,465,140.0,140.0,0.0,0.072686,0.064836,0.897063,20.0,0.414,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:16,23.843,none,14,492,499,492,499,140.0,140.0,0.0,0.083720,0.122259,1.195317,0.0,0.680,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:17,24.484,none,15,524,531,523,530,140.0,140.0,0.0,0.141049,0.122022,1.195317,20.0,0.680,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:17,25.093,none,16,555,562,555,562,140.0,140.0,0.0,0.149839,0.166541,1.111468,0.0,0.403,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:18,25.750,none,17,587,594,587,594,140.0,140.0,0.0,0.122845,0.143355,1.111468,0.0,0.403,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:19,26.406,none,18,621,628,620,627,140.0,140.0,0.0,0.079761,0.047798,1.111468,20.0,0.403,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:19,27.125,none,19,655,662,654,661,140.0,140.0,0.0,0.052176,0.027112,0.865105,20.0,0.552,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:20,27.796,none,20,689,696,688,695,140.0,140.0,0.0,0.139751,0.110989,0.794187,20.0,0.878,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:21,28.515,none,21,724,731,722,729,140.0,140.0,0.0,0.175064,0.114946,0.656591,40.0,1.603,WARN,344.7067,261.4344,0.10,0
2025-10-28T20:00:21,29.234,none,22,762,769,760,767,140.0,140.0,0.0,0.154524,0.118169,0.656591,40.0,1.603,WARN,344.7067,261.4344,0.10,0
2025-10-28T20:00:22,30.062,pressure_start,23,802,809,800,807,140.0,140.0,0.0,0.143036,0.096184,0.672446,40.0,1.513,WARN,344.7067,261.4344,0.10,0
2025-10-28T20:00:23,30.796,pressure_start,24,839,846,838,845,140.0,140.0,0.0,0.133301,0.113481,0.764729,20.0,1.022,WARN,344.7067,261.4344,0.10,0
2025-10-28T20:00:24,31.562,pressure_start,25,877,884,876,883,140.0,140.0,0.0,0.130193,0.113868,0.764729,20.0,1.022,WARN,344.7067,261.4344,0.10,0
2025-10-28T20:00:24,32.296,pressure_start,26,914,921,913,920,140.0,140.0,0.0,0.093186,0.072358,0.776483,20.0,0.964,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:25,33.015,pressure_start,27,949,956,948,955,140.0,140.0,0.0,0.062132,0.052783,0.849527,20.0,0.622,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:26,33.671,pressure_start,28,982,989,981,988,140.0,140.0,0.0,0.077895,0.073958,0.851313,20.0,0.614,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:27,34.328,pressure_start,29,1015,1022,1014,1021,140.0,140.0,0.0,0.068828,0.054296,0.849527,20.0,0.622,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:27,34.984,pressure_start,30,1049,1056,1048,1055,140.0,140.0,0.0,0.076627,0.034042,0.788863,20.0,0.904,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:28,35.718,pressure_start,31,1086,1093,1084,1091,140.0,140.0,0.0,0.090841,0.032953,0.788863,40.0,0.904,OK,344.7067,261.4344,0.10,0
2025-10-28T20:00:29,36.546,pressure_start,32,1127,1134,1123,1130,140.0,140.0,0.0,0.164773,0.088215,0.535372,80.0,3.981,HIGH,344.7067,261.4344,0.10,0
2025-10-28T20:00:51,58.687,peak_pressure,33,2235,2242,2231,2238,140.0,140.0,0.0,0.014498,0.124028,0.535372,80.0,3.981,HIGH,344.7067,261.4344,0.10,0
2025-10-28T20:01:01,68.703,peak_pressure,34,2731,2738,2734,2741,140.0,140.0,0.0,0.014723,0.070991,0.535372,60.0,3.181,HIGH,344.7067,261.4344,0.10,0
2025-10-28T20:01:12,80.296,peak_pressure,35,3315,3320,3309,3316,100.0,140.0,40.0,0.007423,0.145431,2.000000,80.0,4.242,HIGH,344.7067,261.4344,0.10,0
2025-10-28T20:01:16,83.593,peak_pressure,36,3475,3482,3480,3487,140.0,140.0,0.0,0.012663,0.150712,2.000000,100.0,5.042,HIGH,344.7067,261.4344,0.10,0
2025-10-28T20:01:17,84.375,peak_pressure,37,3513,3518,3516,3523,100.0,140.0,40.0,0.006988,0.150848,2.000000,100.0,5.042,HIGH,344.7067,261.4344,0.10,0
2025-10-28T20:01:35,102.671,peak_pressure,38,4434,4439,4428,4435,100.0,140.0,40.0,0.008224,0.123103,2.000000,80.0,4.242,HIGH,344.7067,261.4344,0.10,0
