wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active
2025-10-28T20:08:50,14.906,none,1,29,36,30,37,140.0,140.0,0.0,0.199934,0.227035,1.135546,20.0,0.484,OK,142.5657,187.4160,0.10,1
2025-10-28T20:08:51,15.547,none,2,60,67,60,67,140.0,140.0,0.0,0.181176,0.167880,1.031080,0.0,0.117,OK,163.2693,233.6400,0.10,1
2025-10-28T20:08:52,16.140,none,3,91,98,91,98,140.0,140.0,0.0,0.180146,0.113887,0.926614,0.0,0.291,OK,162.5204,227.6123,0.10,1
2025-10-28T20:08:52,16.797,none,4,123,130,123,130,140.0,140.0,0.0,0.138363,0.096327,0.811404,0.0,0.797,OK,153.3272,211.4604,0.10,1
2025-10-28T20:08:53,17.468,none,5,155,162,155,162,140.0,140.0,0.0,0.129226,0.125426,0.926614,0.0,0.291,OK,143.9668,204.1080,0.10,1
2025-10-28T20:08:54,18.062,none,6,186,193,186,193,140.0,140.0,0.0,0.158901,0.121053,0.761811,0.0,1.037,WARN,146.7405,205.7868,0.10,1
2025-10-28T20:08:54,18.718,none,7,219,226,218,225,140.0,140.0,0.0,0.210757,0.145253,0.696193,20.0,1.380,WARN,152.8553,213.8170,0.10,1
2025-10-28T20:08:55,19.390,none,8,251,258,251,258,140.0,140.0,0.0,0.126354,0.126237,0.761811,0.0,1.037,WARN,153.1738,213.0324,0.10,1
2025-10-28T20:08:56,20.047,none,9,284,291,284,291,140.0,140.0,0.0,0.115190,0.053039,0.761811,0.0,1.037,WARN,150.3773,195.6341,0.10,1
2025-10-28T20:08:56,20.703,none,10,318,325,317,324,140.0,140.0,0.0,0.094113,0.049458,0.689196,20.0,1.419,WARN,145.0309,184.8307,0.10,1
2025-10-28T20:08:57,21.359,none,11,350,357,350,357,140.0,140.0,0.0,0.127971,0.052297,0.525518,0.0,2.452,HIGH,148.2489,173.1753,0.10,1
2025-10-28T20:08:58,22.031,none,12,383,390,382,389,140.0,140.0,0.0,0.154928,0.124775,0.525518,20.0,2.452,HIGH,152.2822,171.9756,0.10,0
2025-10-28T20:08:58,22.687,none,13,416,423,415,422,140.0,140.0,0.0,0.129078,0.169813,0.525518,20.0,2.452,HIGH,152.2822,171.9756,0.10,0
2025-10-28T20:08:59,23.343,none,14,449,456,448,455,140.0,140.0,0.0,0.087276,0.155666,0.805379,20.0,0.825,OK,152.2822,171.9756,0.10,0
