wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-28T20:08:50,14.047,none,1968,1886,0.000,0.000,1,1,1
2025-10-28T20:08:50,14.062,none,2266,2258,74.500,93.000,2,2,1
2025-10-28T20:08:50,14.078,none,2433,2515,119.889,160.444,3,3,1
2025-10-28T20:08:50,14.109,none,2459,2608,134.292,193.146,4,4,1
2025-10-28T20:08:50,14.125,none,2398,2559,126.073,193.277,5,5,1
2025-10-28T20:08:50,14.125,none,2318,2498,128.273,215.410,6,6,1
2025-10-28T20:08:50,14.156,none,2189,2384,78.245,177.639,7,7,1
2025-10-28T20:08:50,14.172,none,2029,2224,-9.589,90.072,8,8,1
2025-10-28T20:08:50,14.187,none,1857,2011,-116.289,-31.378,9,9,1
2025-10-28T20:08:50,14.218,none,1711,1808,-225.289,-163.558,10,10,1
2025-10-28T20:08:50,14.234,none,1635,1668,-323.452,-296.073,11,11,1
2025-10-28T20:08:50,14.250,none,1617,1607,-394.490,-407.868,12,12,1
2025-10-28T20:08:50,14.281,none,1615,1584,-433.406,-487.338,13,13,1
2025-10-28T20:08:50,14.297,none,1606,1575,-442.449,-526.066,14,14,1
2025-10-28T20:08:50,14.312,none,1600,1584,-428.102,-526.100,15,15,1
2025-10-28T20:08:50,14.343,none,1595,1600,-404.338,-500.330,16,16,1
2025-10-28T20:08:50,14.359,none,1584,1602,-383.095,-467.222,17,17,1
2025-10-28T20:08:50,14.375,none,1533,1577,-374.246,-438.831,18,18,1
2025-10-28T20:08:50,14.406,none,1449,1499,-381.698,-427.071,19,19,1
2025-10-28T20:08:50,14.422,none,1358,1413,-406.285,-435.618,20,20,1
2025-10-28T20:08:50,14.437,none,1295,1342,-441.894,-461.672,21,21,1
2025-10-28T20:08:50,14.468,none,1228,1264,-487.571,-502.940,22,22,1
2025-10-28T20:08:50,14.484,none,1151,1179,-537.204,-554.910,23,23,1
2025-10-28T20:08:50,14.484,none,1074,1099,-584.443,-606.142,24,24,1
2025-10-28T20:08:50,14.515,none,1003,1033,-627.011,-652.558,25,25,1
2025-10-28T20:08:50,14.531,none,963,976,-664.555,-695.560,26,26,1
2025-10-28T20:08:50,14.547,none,959,953,-689.596,-727.440,27,27,1
2025-10-28T20:08:50,14.578,none,998,967,-692.389,-740.157,28,28,1
2025-10-28T20:08:50,14.593,none,1149,1071,-652.069,-717.964,29,29,1
2025-10-28T20:08:50,14.609,none,1429,1311,-546.228,-638.381,30,30,1
