wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-29T19:24:40,14.015,none,2160,2042,0.000,0.000,1,1,1
2025-10-29T19:24:40,14.031,none,2112,1946,-12.000,-24.000,2,2,1
2025-10-29T19:24:40,14.047,none,2078,1904,-20.889,-36.000,3,3,1
2025-10-29T19:24:40,14.078,none,2039,1893,-30.229,-40.312,4,4,1
2025-10-29T19:24:40,14.094,none,2019,1908,-36.703,-38.370,5,5,1
2025-10-29T19:24:40,14.109,none,2000,1923,-50.303,-40.970,6,6,1
2025-10-29T19:24:40,14.125,none,1970,1922,-62.303,-33.770,7,7,1
2025-10-29T19:24:40,14.140,none,1929,1887,-76.445,-29.995,8,8,1
2025-10-29T19:24:40,14.156,none,1886,1830,-91.884,-36.789,9,9,1
2025-10-29T19:24:40,14.187,none,1839,1749,-112.204,-60.949,10,10,1
2025-10-29T19:24:40,14.203,none,1795,1653,-136.458,-103.331,11,11,1
2025-10-29T19:24:40,14.219,none,1747,1562,-163.158,-158.848,12,12,1
2025-10-29T19:24:40,14.250,none,1691,1450,-191.776,-224.761,13,13,1
2025-10-29T19:24:40,14.265,none,1643,1346,-220.487,-295.474,14,14,1
2025-10-29T19:24:40,14.281,none,1605,1264,-246.820,-362.781,15,15,1
2025-10-29T19:24:40,14.312,none,1577,1207,-269.691,-419.974,16,16,1
2025-10-29T19:24:40,14.328,none,1535,1143,-291.249,-470.269,17,17,1
2025-10-29T19:24:40,14.344,none,1501,1093,-308.624,-507.775,18,18,1
2025-10-29T19:24:40,14.375,none,1479,1076,-321.287,-528.607,19,19,1
2025-10-29T19:24:40,14.390,none,1522,1180,-318.984,-514.801,20,20,1
2025-10-29T19:24:40,14.406,none,1663,1501,-285.563,-431.273,21,21,1
2025-10-29T19:24:40,14.437,none,1858,1971,-209.341,-251.134,22,22,1
2025-10-29T19:24:40,14.453,none,2069,2448,-90.431,20.562,23,23,1
2025-10-29T19:24:40,14.469,none,2230,2833,57.807,356.727,24,24,1
2025-10-29T19:24:40,14.484,none,2321,3070,208.733,704.099,25,25,1
2025-10-29T19:24:40,14.500,none,2372,3125,336.284,986.777,26,26,1
2025-10-29T19:24:40,14.515,none,2369,3019,421.076,1148.687,27,27,1
2025-10-29T19:24:40,14.547,none,2331,2838,455.233,1179.213,28,28,1
2025-10-29T19:24:40,14.562,none,2295,2640,450.768,1097.811,29,29,1
2025-10-29T19:24:41,14.578,none,2250,2444,420.812,937.239,30,30,1
2025-10-29T19:24:41,14.609,none,2190,2270,370.985,739.227,31,31,1
2025-10-29T19:24:41,14.625,none,2139,2122,313.992,540.672,32,32,1
2025-10-29T19:24:41,14.640,none,2091,2013,257.265,363.166,33,33,1
2025-10-29T19:24:41,14.672,none,2039,1937,199.496,215.329,34,34,1
2025-10-29T19:24:41,14.687,none,2016,1911,147.967,105.251,35,35,1
2025-10-29T19:24:41,14.703,none,1995,1922,105.687,34.510,36,36,1
2025-10-29T19:24:41,14.734,none,1971,1954,69.973,0.861,37,37,1
2025-10-29T19:24:41,14.750,none,1939,1975,38.432,-6.533,38,38,1
2025-10-29T19:24:41,14.765,none,1903,1967,10.885,-0.494,39,39,1
2025-10-29T19:24:41,14.797,none,1867,1931,-18.461,3.419,40,40,1
2025-10-29T19:24:41,14.812,none,1825,1857,-51.161,-9.367,41,41,1
2025-10-29T19:24:41,14.828,none,1789,1779,-85.414,-43.318,42,42,1
2025-10-29T19:24:41,14.859,none,1734,1681,-123.374,-99.709,43,43,1
2025-10-29T19:24:41,14.859,none,1683,1584,-163.432,-172.201,44,44,1
2025-10-29T19:24:41,14.875,none,1644,1490,-203.235,-254.434,45,45,1
2025-10-29T19:24:41,14.906,none,1603,1422,-242.044,-333.753,46,46,1
2025-10-29T19:24:41,14.922,none,1573,1346,-278.933,-411.076,47,47,1
2025-10-29T19:24:41,14.937,none,1525,1270,-313.784,-482.606,48,48,1
2025-10-29T19:24:41,14.969,none,1473,1197,-348.238,-548.137,49,49,1
2025-10-29T19:24:41,14.984,none,1443,1140,-380.369,-605.299,50,50,1
2025-10-29T19:24:41,15.000,none,1462,1193,-400.242,-637.826,51,51,1
2025-10-29T19:24:41,15.031,none,1566,1435,-393.591,-607.580,52,52,1
2025-10-29T19:24:41,15.047,none,1739,1849,-343.851,-481.998,53,53,1
2025-10-29T19:24:41,15.062,none,1936,2327,-246.318,-250.842,54,54,1
2025-10-29T19:24:41,15.094,none,2113,2753,-110.076,70.691,55,55,1
2025-10-29T19:24:41,15.109,none,2247,3062,46.175,436.536,56,56,1
2025-10-29T19:24:41,15.125,none,2306,3200,190.736,775.392,57,57,1
2025-10-29T19:24:41,15.156,none,2311,3152,299.741,1017.604,58,58,1
2025-10-29T19:24:41,15.172,none,2288,2979,363.665,1127.873,59,59,1
2025-10-29T19:24:41,15.187,none,2245,2791,383.331,1115.827,60,60,1
2025-10-29T19:24:41,15.219,none,2192,2599,365.996,1005.774,61,61,1
2025-10-29T19:24:41,15.234,none,2134,2415,326.038,834.508,62,62,1
2025-10-29T19:24:41,15.234,none,2065,2254,272.264,644.061,63,63,1
2025-10-29T19:24:41,15.265,none,2002,2122,211.560,464.941,64,64,1
2025-10-29T19:24:41,15.281,none,1975,2043,155.028,310.259,65,65,1
2025-10-29T19:24:41,15.297,none,1965,2019,107.892,191.171,66,66,1
2025-10-29T19:24:41,15.328,none,1949,2030,69.787,112.386,67,67,1
2025-10-29T19:24:41,15.344,none,1931,2052,42.328,70.887,68,68,1
2025-10-29T19:24:41,15.359,none,1906,2065,22.774,58.602,69,69,1
2025-10-29T19:24:41,15.437,none,1882,2064,4.104,61.883,70,70,1
2025-10-29T19:24:41,15.500,none,1847,2017,-19.224,60.591,71,71,1
2025-10-29T19:24:41,15.500,none,1792,1920,-49.914,38.026,72,72,1
2025-10-29T19:24:41,15.500,none,1713,1791,-92.215,-14.002,73,73,1
2025-10-29T19:24:41,15.500,none,1663,1693,-138.880,-87.210,74,74,1
2025-10-29T19:24:41,15.500,none,1615,1588,-189.666,-179.951,75,75,1
2025-10-29T19:24:41,15.500,none,1555,1475,-244.051,-284.293,76,76,1
2025-10-29T19:24:41,15.562,none,1531,1409,-291.044,-381.188,77,77,1
2025-10-29T19:24:41,15.562,none,1500,1340,-327.461,-465.113,78,78,1
