wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T19:42:57,0.000,none,1877,2170,0.000,0.000,1,1,1
2025-10-31T19:42:57,0.015,baseline,1786,2032,-22.750,-34.500,2,2,0
2025-10-31T19:42:57,0.047,baseline,1701,1890,-44.167,-69.889,3,3,0
2025-10-31T19:42:57,0.062,baseline,1634,1762,-62.000,-102.792,4,4,0
2025-10-31T19:42:57,0.078,baseline,1600,1664,-73.520,-130.153,5,5,0
2025-10-31T19:42:57,0.109,baseline,1557,1579,-100.620,-184.253,6,6,0
2025-10-31T19:42:57,0.125,baseline,1499,1488,-124.691,-232.425,7,7,0
2025-10-31T19:42:57,0.140,baseline,1437,1408,-147.166,-272.516,8,8,0
2025-10-31T19:42:57,0.172,baseline,1360,1334,-173.200,-306.016,9,9,0
2025-10-31T19:42:57,0.187,baseline,1277,1233,-208.440,-342.696,10,10,0
2025-10-31T19:42:57,0.203,baseline,1194,1141,-250.212,-382.233,11,11,0
2025-10-31T19:42:57,0.234,baseline,1098,1042,-297.774,-424.245,12,12,0
2025-10-31T19:42:57,0.250,baseline,990,944,-352.361,-470.097,13,13,0
2025-10-31T19:42:57,0.265,baseline,899,858,-407.842,-518.197,14,14,0
2025-10-31T19:42:57,0.297,baseline,816,785,-461.815,-560.997,15,15,0
2025-10-31T19:42:57,0.312,baseline,747,720,-511.942,-598.985,16,16,0
2025-10-31T19:42:57,0.328,baseline,688,669,-554.315,-628.484,17,17,0
2025-10-31T19:42:57,0.344,baseline,635,613,-586.131,-651.052,18,18,0
2025-10-31T19:42:57,0.359,baseline,592,569,-609.296,-666.941,19,19,0
2025-10-31T19:42:57,0.375,baseline,576,545,-620.593,-675.001,20,20,0
2025-10-31T19:42:57,0.406,baseline,567,526,-621.812,-676.005,21,21,0
2025-10-31T19:42:57,0.422,baseline,556,498,-615.560,-674.468,22,22,0
2025-10-31T19:42:57,0.437,baseline,544,487,-603.352,-666.137,23,23,0
2025-10-31T19:42:57,0.469,baseline,550,498,-583.740,-649.205,24,24,0
2025-10-31T19:42:57,0.484,baseline,641,606,-545.678,-609.033,25,25,0
2025-10-31T19:42:57,0.500,baseline,861,867,-466.197,-517.836,26,26,0
2025-10-31T19:42:57,0.531,baseline,1168,1259,-329.446,-350.290,27,27,0
2025-10-31T19:42:57,0.547,baseline,1520,1702,-128.305,-102.213,28,28,0
2025-10-31T19:42:57,0.562,baseline,1830,2096,123.792,210.363,29,29,0
2025-10-31T19:42:57,0.594,baseline,2054,2362,392.600,542.404,30,30,0
2025-10-31T19:42:57,0.609,baseline,2166,2485,631.571,836.757,31,31,0
2025-10-31T19:42:57,0.625,baseline,2187,2502,807.781,1049.470,32,32,0
2025-10-31T19:42:57,0.656,baseline,2141,2432,901.952,1156.918,33,33,0
2025-10-31T19:42:57,0.672,baseline,2064,2322,918.986,1164.377,34,34,0
2025-10-31T19:42:57,0.687,baseline,2000,2215,880.477,1100.321,35,35,0
2025-10-31T19:42:57,0.719,baseline,1918,2082,806.234,989.437,36,36,0
2025-10-31T19:42:57,0.734,baseline,1824,1940,712.473,851.692,37,37,0
2025-10-31T19:42:57,0.734,baseline,1723,1809,611.215,706.627,38,38,0
2025-10-31T19:42:57,0.765,baseline,1631,1698,510.256,565.861,39,39,0
2025-10-31T19:42:57,0.781,baseline,1579,1616,414.689,434.124,40,40,0
2025-10-31T19:42:57,0.797,baseline,1561,1571,334.373,323.266,41,41,0
2025-10-31T19:42:57,0.828,baseline,1530,1535,268.608,236.108,42,42,0
2025-10-31T19:42:57,0.844,baseline,1488,1499,216.150,169.793,43,43,0
2025-10-31T19:42:57,0.875,baseline,1418,1466,169.363,120.405,44,44,0
2025-10-31T19:42:57,0.890,baseline,1333,1412,117.300,77.708,45,45,0
2025-10-31T19:42:57,0.906,baseline,1233,1345,50.444,31.718,46,46,0
2025-10-31T19:42:57,0.922,baseline,1141,1279,-26.834,-19.104,47,47,0
2025-10-31T19:42:57,0.953,baseline,1040,1201,-113.989,-77.053,48,48,0
2025-10-31T19:42:57,0.969,baseline,927,1123,-207.758,-142.615,49,49,0
2025-10-31T19:42:57,0.984,baseline,849,1056,-298.289,-209.417,50,50,0
2025-10-31T19:42:58,1.015,baseline,788,981,-379.447,-276.510,51,51,0
2025-10-31T19:42:58,1.031,baseline,747,917,-449.126,-341.978,52,52,0
2025-10-31T19:42:58,1.047,baseline,710,880,-505.052,-398.250,53,53,0
2025-10-31T19:42:58,1.078,baseline,688,835,-542.234,-447.111,54,54,0
2025-10-31T19:42:58,1.078,baseline,657,810,-569.686,-486.964,55,55,0
2025-10-31T19:42:58,1.094,baseline,629,787,-590.352,-516.037,56,56,0
2025-10-31T19:42:58,1.125,baseline,590,775,-610.452,-534.542,57,57,0
2025-10-31T19:42:58,1.140,baseline,588,815,-623.518,-537.757,58,58,0
