wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T17:30:06,0.281,baseline,1,0,7,0,7,140.0,140.0,0.0,0.114026,0.119750,1.050197,0.0,0.0,0.187,OK,163.1163,210.3073,0.10,0,381.358571,498.239524,1.306486,,,,L↓,0.0,+,
2025-10-31T17:30:07,0.985,baseline,2,35,42,34,41,140.0,140.0,0.0,0.180634,0.150186,0.940819,20.0,-20.0,0.233,OK,137.1901,215.4310,0.10,0,1111.324984,1617.847627,1.455783,,,,L↓,-20.0,-,
2025-10-31T17:30:08,1.656,baseline,3,69,76,69,76,140.0,140.0,0.0,0.182188,0.201569,1.050197,0.0,0.0,0.187,OK,144.7960,234.4501,0.10,0,1192.154248,1502.910735,1.260668,,,,BAL,0.0,+,9.428
2025-10-31T17:30:08,2.375,baseline,4,103,110,103,110,140.0,140.0,0.0,0.152505,0.149833,1.016336,0.0,0.0,0.062,OK,156.8010,244.0748,0.10,0,1212.709333,1607.258667,1.325345,,,,L↓,0.0,+,8.660
2025-10-31T17:30:09,3.047,baseline,5,138,145,138,145,140.0,140.0,0.0,0.131632,0.124922,0.982474,0.0,0.0,0.067,OK,155.7086,235.4435,0.10,0,1303.514667,1627.085333,1.248229,,,,BAL,0.0,+,8.000
2025-10-31T17:30:10,3.766,baseline,6,173,180,172,179,140.0,140.0,0.0,0.156708,0.101056,0.949023,20.0,-20.0,0.199,OK,151.9971,222.8611,0.10,0,1023.029333,1441.389333,1.408942,0.888247,0.926888,1.043502,BAL,-20.0,-,9.428
2025-10-31T17:30:10,4.422,baseline,7,206,213,206,213,140.0,140.0,0.0,0.176496,0.179773,0.982474,0.0,0.0,0.067,OK,154.0761,222.7782,0.10,0,1224.904000,1580.418667,1.290239,1.027471,1.000000,0.973263,BAL,0.0,+,9.035
2025-10-31T17:30:11,5.078,baseline,8,240,247,239,246,140.0,140.0,0.0,0.223042,0.180589,0.949023,20.0,-20.0,0.199,OK,158.6892,230.9229,0.10,0,1225.408000,1793.424000,1.463532,1.019108,1.125223,1.104125,BAL,-20.0,-,9.682
2025-10-31T17:30:12,5.750,baseline,9,273,280,272,279,140.0,140.0,0.0,0.200439,0.142720,0.809664,20.0,-20.0,0.805,OK,162.1053,233.1279,0.10,0,1274.229333,1825.072000,1.432295,1.050729,1.135519,1.080696,BAL,-20.0,-,9.938
2025-10-31T17:30:12,6.406,baseline,10,305,312,305,312,140.0,140.0,0.0,0.150585,0.112491,0.747026,0.0,0.0,1.112,OK,163.7665,227.2563,0.10,0,1255.517333,1705.506667,1.358409,1.030120,1.057644,1.026719,BAL,0.0,+,9.798
