wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T19:34:30,0.000,none,491,654,0.000,0.000,1,1,1
2025-10-31T19:34:30,0.015,baseline,432,592,-14.750,-15.500,2,2,0
2025-10-31T19:34:30,0.031,baseline,400,553,-23.500,-25.889,3,3,0
2025-10-31T19:34:30,0.047,baseline,383,511,-28.500,-36.042,4,4,0
2025-10-31T19:34:30,0.062,baseline,445,563,-19.840,-31.153,5,5,0
2025-10-31T19:34:30,0.078,baseline,669,772,19.960,1.747,6,6,0
2025-10-31T19:34:30,0.109,baseline,1073,1168,129.231,104.032,7,7,0
2025-10-31T19:34:30,0.125,baseline,1629,1712,325.181,292.641,8,8,0
2025-10-31T19:34:30,0.140,baseline,2222,2288,606.193,567.696,9,9,0
2025-10-31T19:34:30,0.172,baseline,2737,2797,941.013,897.216,10,10,0
2025-10-31T19:34:30,0.187,baseline,3122,3202,1278.285,1235.407,11,11,0
2025-10-31T19:34:30,0.203,baseline,3290,3398,1551.364,1515.421,12,12,0
2025-10-31T19:34:30,0.234,baseline,3210,3333,1696.337,1671.316,13,13,0
2025-10-31T19:34:30,0.250,baseline,2969,3071,1688.226,1672.132,14,14,0
2025-10-31T19:34:30,0.265,baseline,2684,2779,1543.832,1535.492,15,15,0
2025-10-31T19:34:30,0.297,baseline,2373,2474,1289.747,1285.863,16,16,0
2025-10-31T19:34:30,0.312,baseline,2101,2179,977.850,968.551,17,17,0
2025-10-31T19:34:30,0.328,baseline,1854,1934,659.438,642.627,18,18,0
2025-10-31T19:34:30,0.359,baseline,1665,1742,372.986,352.434,19,19,0
2025-10-31T19:34:30,0.375,baseline,1578,1643,141.929,116.824,20,20,0
2025-10-31T19:34:30,0.390,baseline,1535,1622,-25.125,-51.543,21,21,0
2025-10-31T19:34:30,0.422,baseline,1568,1657,-125.442,-148.422,22,22,0
2025-10-31T19:34:30,0.422,baseline,1601,1713,-167.649,-183.388,23,23,0
2025-10-31T19:34:30,0.437,baseline,1615,1755,-169.446,-172.367,24,24,0
2025-10-31T19:34:30,0.484,baseline,1589,1746,-159.856,-144.981,25,25,0
2025-10-31T19:34:30,0.484,baseline,1520,1706,-156.059,-122.754,26,26,0
