wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T20:00:33,0.000,none,1680,2234,0.000,0.000,1,1,1
2025-10-31T20:00:33,0.016,baseline,1695,2226,3.750,-2.000,2,2,0
2025-10-31T20:00:33,0.031,baseline,1695,2183,4.167,-11.778,3,3,0
2025-10-31T20:00:33,0.063,baseline,1660,2110,-2.500,-28.396,4,4,0
2025-10-31T20:00:33,0.078,baseline,1594,1995,-16.160,-53.637,5,5,0
2025-10-31T20:00:33,0.094,baseline,1523,1868,-39.793,-100.570,6,6,0
2025-10-31T20:00:33,0.125,baseline,1481,1746,-68.750,-160.913,7,7,0
2025-10-31T20:00:33,0.141,baseline,1445,1646,-100.075,-225.646,8,8,0
2025-10-31T20:00:33,0.156,baseline,1409,1535,-128.931,-292.841,9,9,0
2025-10-31T20:00:33,0.188,baseline,1386,1472,-148.931,-347.821,10,10,0
2025-10-31T20:00:33,0.203,baseline,1354,1383,-162.170,-395.160,11,11,0
2025-10-31T20:00:33,0.219,baseline,1318,1327,-175.113,-430.701,12,12,0
2025-10-31T20:00:33,0.250,baseline,1280,1286,-189.096,-456.516,13,13,0
2025-10-31T20:00:33,0.266,baseline,1245,1248,-203.383,-470.629,14,14,0
2025-10-31T20:00:33,0.281,baseline,1213,1214,-219.663,-481.569,15,15,0
2025-10-31T20:00:33,0.313,baseline,1200,1194,-232.516,-481.833,16,16,0
2025-10-31T20:00:33,0.313,baseline,1200,1203,-238.916,-472.432,17,17,0
2025-10-31T20:00:33,0.328,baseline,1276,1284,-224.452,-442.750,18,18,0
2025-10-31T20:00:33,0.359,baseline,1425,1479,-176.852,-372.446,19,19,0
2025-10-31T20:00:33,0.375,baseline,1632,1728,-87.122,-253.616,20,20,0
2025-10-31T20:00:33,0.391,baseline,1837,1989,39.070,-88.421,21,21,0
2025-10-31T20:00:33,0.422,baseline,2021,2231,193.988,112.507,22,22,0
2025-10-31T20:00:33,0.438,baseline,2144,2416,350.781,323.736,23,23,0
2025-10-31T20:00:33,0.453,baseline,2188,2518,480.914,508.030,24,24,0
2025-10-31T20:00:34,0.484,baseline,2192,2559,567.280,645.248,25,25,0
2025-10-31T20:00:34,0.500,baseline,2149,2559,603.368,727.675,26,26,0
2025-10-31T20:00:34,0.516,baseline,2083,2515,590.923,752.971,27,27,0
2025-10-31T20:00:34,0.547,baseline,2009,2463,541.961,732.825,28,28,0
2025-10-31T20:00:34,0.563,baseline,1913,2383,468.628,679.411,29,29,0
2025-10-31T20:00:34,0.578,baseline,1835,2306,382.759,606.070,30,30,0
2025-10-31T20:00:34,0.609,baseline,1777,2256,297.482,526.404,31,31,0
2025-10-31T20:00:34,0.625,baseline,1753,2217,223.583,451.032,32,32,0
2025-10-31T20:00:34,0.641,baseline,1760,2203,168.070,386.010,33,33,0
2025-10-31T20:00:34,0.672,baseline,1776,2206,136.229,339.559,34,34,0
2025-10-31T20:00:34,0.688,baseline,1776,2198,120.649,308.263,35,35,0
2025-10-31T20:00:34,0.703,baseline,1760,2174,113.793,283.233,36,36,0
2025-10-31T20:00:34,0.719,baseline,1741,2147,108.191,261.491,37,37,0
2025-10-31T20:00:34,0.734,baseline,1697,2087,92.898,231.606,38,38,0
2025-10-31T20:00:34,0.750,baseline,1657,2000,67.180,185.173,39,39,0
2025-10-31T20:00:34,0.781,baseline,1614,1923,33.809,126.647,40,40,0
2025-10-31T20:00:34,0.797,baseline,1558,1818,-6.481,53.911,41,41,0
2025-10-31T20:00:34,0.813,baseline,1511,1714,-51.226,-31.987,42,42,0
