wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T19:53:59,0.000,none,1635,2233,0.000,0.000,1,1,1
2025-10-31T19:53:59,0.016,baseline,1603,2192,-8.000,-10.250,2,2,0
2025-10-31T19:53:59,0.031,baseline,1587,2160,-12.444,-18.500,3,3,0
2025-10-31T19:53:59,0.062,baseline,1583,2138,-14.083,-24.562,4,4,0
2025-10-31T19:53:59,0.078,baseline,1575,2112,-15.587,-30.650,5,5,0
2025-10-31T19:53:59,0.094,baseline,1573,2095,-19.520,-42.650,6,6,0
2025-10-31T19:53:59,0.125,baseline,1567,2071,-20.720,-52.950,7,7,0
2025-10-31T19:53:59,0.141,baseline,1535,2035,-25.903,-64.850,8,8,0
2025-10-31T19:53:59,0.156,baseline,1522,2007,-32.814,-78.078,9,9,0
2025-10-31T19:53:59,0.187,baseline,1496,1973,-42.814,-92.798,10,10,0
2025-10-31T19:53:59,0.203,baseline,1470,1926,-56.627,-112.725,11,11,0
2025-10-31T19:53:59,0.219,baseline,1438,1887,-74.360,-134.742,12,12,0
2025-10-31T19:53:59,0.234,baseline,1409,1840,-90.695,-158.134,13,13,0
2025-10-31T19:53:59,0.250,baseline,1375,1795,-110.241,-183.985,14,14,0
2025-10-31T19:53:59,0.266,baseline,1360,1764,-126.961,-208.505,15,15,0
2025-10-31T19:53:59,0.297,baseline,1333,1730,-143.378,-230.053,16,16,0
2025-10-31T19:53:59,0.312,baseline,1311,1698,-157.538,-249.989,17,17,0
2025-10-31T19:53:59,0.328,baseline,1296,1670,-168.865,-266.208,18,18,0
2025-10-31T19:53:59,0.359,baseline,1282,1649,-176.418,-277.990,19,19,0
2025-10-31T19:53:59,0.375,baseline,1277,1627,-182.248,-288.370,20,20,0
2025-10-31T19:53:59,0.391,baseline,1265,1616,-185.486,-294.723,21,21,0
2025-10-31T19:53:59,0.422,baseline,1286,1628,-180.883,-293.188,22,22,0
2025-10-31T19:53:59,0.437,baseline,1353,1705,-161.267,-272.382,23,23,0
2025-10-31T19:53:59,0.453,baseline,1463,1840,-119.140,-223.229,24,24,0
2025-10-31T19:53:59,0.484,baseline,1581,1986,-55.470,-144.425,25,25,0
2025-10-31T19:53:59,0.500,baseline,1662,2114,23.276,-42.497,26,26,0
2025-10-31T19:53:59,0.516,baseline,1707,2203,103.449,70.003,27,27,0
2025-10-31T19:53:59,0.547,baseline,1708,2251,167.887,172.586,28,28,0
2025-10-31T19:53:59,0.562,baseline,1688,2258,205.033,246.837,29,29,0
2025-10-31T19:53:59,0.578,baseline,1675,2262,215.799,291.286,30,30,0
2025-10-31T19:53:59,0.594,baseline,1654,2240,206.743,305.541,31,31,0
2025-10-31T19:53:59,0.609,baseline,1627,2207,184.312,296.060,32,32,0
2025-10-31T19:53:59,0.625,baseline,1605,2181,158.363,272.878,33,33,0
2025-10-31T19:53:59,0.656,baseline,1584,2133,133.201,240.038,34,34,0
2025-10-31T19:53:59,0.672,baseline,1565,2097,107.777,200.673,35,35,0
2025-10-31T19:53:59,0.687,baseline,1534,2064,81.265,160.524,36,36,0
2025-10-31T19:53:59,0.719,baseline,1525,2028,59.085,121.086,37,37,0
2025-10-31T19:53:59,0.734,baseline,1514,1984,39.717,79.352,38,38,0
2025-10-31T19:53:59,0.750,baseline,1507,1957,23.638,42.902,39,39,0
2025-10-31T19:53:59,0.781,baseline,1506,1936,11.515,10.373,40,40,0
2025-10-31T19:53:59,0.797,baseline,1506,1899,5.757,-22.086,41,41,0
2025-10-31T19:54:00,0.812,baseline,1489,1859,-1.414,-54.524,42,42,0
2025-10-31T19:54:00,0.844,baseline,1466,1815,-10.756,-86.208,43,43,0
2025-10-31T19:54:00,0.859,baseline,1442,1771,-23.209,-120.511,44,44,0
2025-10-31T19:54:00,0.875,baseline,1424,1735,-38.709,-157.011,45,45,0
2025-10-31T19:54:00,0.906,baseline,1407,1705,-57.198,-191.392,46,46,0
2025-10-31T19:54:00,0.922,baseline,1381,1665,-77.064,-225.103,47,47,0
2025-10-31T19:54:00,0.937,baseline,1360,1631,-96.143,-256.232,48,48,0
2025-10-31T19:54:00,0.953,baseline,1348,1613,-112.511,-281.726,49,49,0
2025-10-31T19:54:00,0.969,baseline,1329,1589,-128.783,-304.462,50,50,0
2025-10-31T19:54:00,0.984,baseline,1331,1577,-141.051,-323.333,51,51,0
2025-10-31T19:54:00,1.016,baseline,1332,1569,-147.835,-335.684,52,52,0
2025-10-31T19:54:00,1.031,baseline,1330,1535,-150.817,-347.929,53,53,0
2025-10-31T19:54:00,1.047,baseline,1335,1555,-150.461,-352.612,54,54,0
2025-10-31T19:54:00,1.078,baseline,1344,1535,-144.673,-356.553,55,55,0
2025-10-31T19:54:00,1.094,baseline,1359,1559,-136.489,-353.476,56,56,0
2025-10-31T19:54:00,1.109,baseline,1414,1591,-117.890,-342.712,57,57,0
2025-10-31T19:54:00,1.141,baseline,1514,1680,-79.613,-308.084,58,58,0
2025-10-31T19:54:00,1.156,baseline,1636,1803,-19.026,-253.903,59,59,0
2025-10-31T19:54:00,1.172,baseline,1746,1924,60.375,-173.006,60,60,0
2025-10-31T19:54:00,1.203,baseline,1821,2021,150.243,-79.174,61,61,0
2025-10-31T19:54:00,1.219,baseline,1837,2078,230.971,17.979,62,62,0
2025-10-31T19:54:00,1.234,baseline,1826,2115,288.582,103.298,63,63,0
2025-10-31T19:54:00,1.266,baseline,1813,2128,318.759,165.607,64,64,0
2025-10-31T19:54:00,1.281,baseline,1798,2124,323.925,202.353,65,65,0
2025-10-31T19:54:00,1.297,baseline,1794,2125,313.538,219.668,66,66,0
2025-10-31T19:54:00,1.328,baseline,1774,2127,296.298,225.936,67,67,0
2025-10-31T19:54:00,1.328,baseline,1741,2083,275.054,216.202,68,68,0
2025-10-31T19:54:00,1.344,baseline,1723,2040,253.205,195.626,69,69,0
2025-10-31T19:54:00,1.375,baseline,1721,2007,234.296,169.677,70,70,0
2025-10-31T19:54:00,1.406,baseline,1715,1957,215.321,134.085,71,71,0
2025-10-31T19:54:00,1.422,baseline,1698,1901,197.256,87.596,72,72,0
2025-10-31T19:54:00,1.469,baseline,1677,1839,181.851,38.229,73,73,0
2025-10-31T19:54:00,1.531,baseline,1667,1803,168.274,-9.064,74,74,0
2025-10-31T19:54:00,1.531,baseline,1643,1744,150.574,-60.838,75,75,0
2025-10-31T19:54:00,1.547,baseline,1637,1716,133.411,-106.704,76,76,0
2025-10-31T19:54:00,1.547,baseline,1623,1702,117.275,-142.891,77,77,0
2025-10-31T19:54:00,1.547,baseline,1591,1669,99.337,-172.167,78,78,0
2025-10-31T19:54:00,1.594,baseline,1578,1665,81.184,-194.072,79,79,0
2025-10-31T19:54:00,1.594,baseline,1590,1680,70.488,-200.464,80,80,0
2025-10-31T19:54:00,1.594,baseline,1578,1648,58.584,-207.843,81,81,0
2025-10-31T19:54:00,1.656,baseline,1571,1616,48.123,-218.915,82,82,0
2025-10-31T19:54:00,1.656,baseline,1575,1600,44.765,-226.736,83,83,0
2025-10-31T19:54:00,1.656,baseline,1578,1569,44.445,-240.051,84,84,0
2025-10-31T19:54:00,1.719,baseline,1582,1557,42.336,-258.808,85,85,0
2025-10-31T19:54:00,1.719,baseline,1586,1561,43.131,-270.584,86,86,0
2025-10-31T19:54:00,1.719,baseline,1567,1533,41.192,-281.829,87,87,0
2025-10-31T19:54:00,1.766,baseline,1558,1526,36.363,-291.597,88,88,0
2025-10-31T19:54:00,1.781,baseline,1572,1534,33.357,-294.037,89,89,0
2025-10-31T19:54:00,1.781,baseline,1570,1511,28.821,-299.112,90,90,0
2025-10-31T19:54:01,1.828,baseline,1582,1511,25.531,-305.376,91,91,0
2025-10-31T19:54:01,1.828,baseline,1600,1522,29.213,-304.315,92,92,0
2025-10-31T19:54:01,1.828,baseline,1590,1505,32.309,-305.651,93,93,0
2025-10-31T19:54:01,1.891,baseline,1604,1511,35.072,-307.715,94,94,0
2025-10-31T19:54:01,1.891,baseline,1663,1575,49.565,-292.915,95,95,0
2025-10-31T19:54:01,1.891,baseline,1728,1644,74.088,-264.973,96,96,0
2025-10-31T19:54:01,1.953,baseline,1815,1761,111.771,-216.656,97,97,0
2025-10-31T19:54:01,1.953,baseline,1904,1888,168.568,-140.467,98,98,0
2025-10-31T19:54:01,1.953,baseline,1947,1966,230.733,-50.581,99,99,0
2025-10-31T19:54:01,2.016,baseline,1972,2025,286.085,38.061,100,100,0
2025-10-31T19:54:01,2.016,baseline,1984,2068,331.213,121.701,101,101,0
2025-10-31T19:54:01,2.016,baseline,1954,2069,353.693,182.853,102,102,0
2025-10-31T19:54:01,2.078,baseline,1920,2068,352.477,219.381,103,103,0
2025-10-31T19:54:01,2.078,baseline,1907,2083,340.768,244.112,104,104,0
2025-10-31T19:54:01,2.078,baseline,1870,2059,317.181,252.888,105,105,0
2025-10-31T19:54:01,2.125,baseline,1842,2039,285.952,249.477,106,106,0
2025-10-31T19:54:01,2.141,baseline,1829,2029,258.243,243.984,107,107,0
2025-10-31T19:54:01,2.141,baseline,1794,1980,230.395,228.939,108,108,0
2025-10-31T19:54:01,2.187,baseline,1783,1963,203.000,207.480,109,109,0
2025-10-31T19:54:01,2.187,baseline,1791,1951,184.523,188.269,110,110,0
2025-10-31T19:54:01,2.203,baseline,1776,1925,168.501,167.693,111,111,0
2025-10-31T19:54:01,2.250,baseline,1775,1906,154.752,145.168,112,112,0
2025-10-31T19:54:01,2.250,baseline,1775,1904,147.811,131.720,113,113,0
2025-10-31T19:54:01,2.250,baseline,1759,1873,139.728,115.243,114,114,0
2025-10-31T19:54:01,2.312,baseline,1757,1857,129.579,97.787,115,115,0
2025-10-31T19:54:01,2.312,baseline,1770,1854,124.971,84.680,116,116,0
2025-10-31T19:54:01,2.312,baseline,1743,1813,115.152,66.971,117,117,0
2025-10-31T19:54:01,2.375,baseline,1721,1789,100.949,44.717,118,118,0
2025-10-31T19:54:01,2.375,baseline,1710,1779,87.704,26.419,119,119,0
2025-10-31T19:54:01,2.375,baseline,1675,1743,67.859,3.888,120,120,0
2025-10-31T19:54:01,2.437,baseline,1648,1718,40.075,-23.197,121,121,0
2025-10-31T19:54:01,2.437,baseline,1650,1712,18.051,-43.531,122,122,0
2025-10-31T19:54:01,2.437,baseline,1627,1680,-4.205,-65.664,123,123,0
2025-10-31T19:54:01,2.500,baseline,1627,1664,-24.291,-89.112,124,124,0
2025-10-31T19:54:01,2.500,baseline,1636,1666,-35.725,-105.144,125,125,0
2025-10-31T19:54:01,2.500,baseline,1630,1650,-43.115,-119.536,126,126,0
2025-10-31T19:54:01,2.547,baseline,1621,1648,-52.757,-133.213,127,127,0
2025-10-31T19:54:01,2.547,baseline,1612,1651,-59.640,-140.069,128,128,0
2025-10-31T19:54:01,2.562,baseline,1581,1633,-72.635,-147.397,129,129,0
2025-10-31T19:54:01,2.609,baseline,1566,1627,-90.203,-156.365,130,130,0
2025-10-31T19:54:01,2.609,baseline,1577,1641,-104.155,-159.357,131,131,0
2025-10-31T19:54:01,2.609,baseline,1600,1639,-111.432,-162.267,132,132,0
2025-10-31T19:54:01,2.672,baseline,1664,1696,-103.757,-154.109,133,133,0
2025-10-31T19:54:01,2.672,baseline,1769,1814,-68.581,-118.573,134,134,0
2025-10-31T19:54:01,2.672,baseline,1823,1907,-19.219,-62.947,135,135,0
2025-10-31T19:54:01,2.734,baseline,1862,1999,36.216,8.557,136,136,0
2025-10-31T19:54:01,2.734,baseline,1883,2068,91.624,94.416,137,137,0
2025-10-31T19:54:01,2.734,baseline,1852,2077,128.363,170.819,138,138,0
2025-10-31T19:54:01,2.797,baseline,1821,2078,138.235,223.984,139,139,0
2025-10-31T19:54:01,2.797,baseline,1792,2085,131.728,260.008,140,140,0
2025-10-31T19:54:01,2.797,baseline,1748,2054,108.853,271.563,141,141,0
2025-10-31T19:54:02,2.859,baseline,1718,2027,76.051,264.157,142,142,0
2025-10-31T19:54:02,2.859,baseline,1714,2010,48.789,251.645,143,143,0
2025-10-31T19:54:02,2.859,baseline,1687,1977,22.445,232.368,144,144,0
2025-10-31T19:54:02,2.906,baseline,1680,1959,0.595,208.115,145,145,0
2025-10-31T19:54:02,2.906,baseline,1681,1958,-12.288,189.669,146,146,0
2025-10-31T19:54:02,2.922,baseline,1667,1931,-22.037,170.877,147,147,0
2025-10-31T19:54:02,2.969,baseline,1663,1919,-31.821,152.677,148,148,0
2025-10-31T19:54:02,2.969,baseline,1662,1931,-36.488,142.968,149,149,0
2025-10-31T19:54:02,2.969,baseline,1627,1909,-46.821,131.891,150,150,0
2025-10-31T19:54:02,3.031,baseline,1609,1897,-60.971,118.133,151,151,0
2025-10-31T19:54:02,3.031,baseline,1598,1895,-74.536,108.941,152,152,0
2025-10-31T19:54:02,3.031,baseline,1565,1849,-93.869,92.683,153,153,0
2025-10-31T19:54:02,3.094,baseline,1535,1828,-118.901,69.731,154,154,0
2025-10-31T19:54:02,3.094,baseline,1535,1812,-136.829,48.067,155,155,0
2025-10-31T19:54:02,3.094,baseline,1520,1774,-154.077,21.349,156,156,0
2025-10-31T19:54:02,3.156,baseline,1514,1746,-170.240,-10.400,157,157,0
2025-10-31T19:54:02,3.156,baseline,1510,1742,-180.499,-33.648,158,158,0
2025-10-31T19:54:02,3.156,baseline,1486,1716,-189.427,-57.853,159,159,0
2025-10-31T19:54:02,3.219,baseline,1462,1710,-202.981,-80.115,160,160,0
2025-10-31T19:54:02,3.219,baseline,1454,1718,-214.939,-93.259,161,161,0
2025-10-31T19:54:02,3.219,baseline,1423,1698,-231.664,-104.896,162,162,0
2025-10-31T19:54:02,3.266,baseline,1398,1689,-252.336,-117.589,163,163,0
2025-10-31T19:54:02,3.266,baseline,1399,1704,-267.792,-122.144,164,164,0
2025-10-31T19:54:02,3.266,baseline,1392,1680,-279.693,-130.341,165,165,0
2025-10-31T19:54:02,3.328,baseline,1421,1711,-284.117,-134.053,166,166,0
2025-10-31T19:54:02,3.328,baseline,1488,1795,-269.027,-117.253,167,167,0
2025-10-31T19:54:02,3.328,baseline,1565,1887,-233.896,-80.837,168,168,0
2025-10-31T19:54:02,3.391,baseline,1649,2000,-182.747,-25.672,169,169,0
2025-10-31T19:54:02,3.391,baseline,1723,2109,-116.032,55.120,170,170,0
2025-10-31T19:54:02,3.391,baseline,1738,2147,-52.573,136.504,171,171,0
2025-10-31T19:54:02,3.453,baseline,1731,2170,-3.989,205.325,172,172,0
2025-10-31T19:54:02,3.453,baseline,1728,2180,28.997,257.987,173,173,0
2025-10-31T19:54:02,3.453,baseline,1710,2160,42.336,284.835,174,174,0
2025-10-31T19:54:02,3.516,baseline,1686,2140,36.997,287.000,175,175,0
2025-10-31T19:54:02,3.516,baseline,1669,2128,26.125,280.347,176,176,0
2025-10-31T19:54:02,3.516,baseline,1618,2093,7.125,263.120,177,177,0
2025-10-31T19:54:02,3.578,baseline,1589,2063,-16.661,238.685,178,178,0
2025-10-31T19:54:02,3.578,baseline,1586,2047,-37.224,215.664,179,179,0
2025-10-31T19:54:02,3.578,baseline,1566,2005,-56.939,188.693,180,180,0
2025-10-31T19:54:02,3.625,baseline,1561,2000,-74.344,163.387,181,181,0
2025-10-31T19:54:02,3.641,baseline,1575,1997,-78.968,144.629,182,182,0
2025-10-31T19:54:02,3.641,baseline,1535,1968,-85.984,126.091,183,183,0
2025-10-31T19:54:02,3.687,baseline,1535,1957,-92.595,108.472,184,184,0
2025-10-31T19:54:02,3.687,baseline,1533,1958,-95.728,99.291,185,185,0
2025-10-31T19:54:02,3.687,baseline,1497,1926,-105.067,84.603,186,186,0
2025-10-31T19:54:02,3.750,baseline,1475,1904,-121.483,66.035,187,187,0
2025-10-31T19:54:02,3.750,baseline,1472,1888,-130.381,50.077,188,188,0
2025-10-31T19:54:02,3.750,baseline,1441,1851,-145.293,28.963,189,189,0
2025-10-31T19:54:03,3.812,baseline,1421,1829,-163.597,3.341,190,190,0
2025-10-31T19:54:03,3.812,baseline,1407,1818,-177.277,-17.981,191,191,0
2025-10-31T19:54:03,3.812,baseline,1370,1787,-193.763,-41.040,192,192,0
2025-10-31T19:54:03,3.875,baseline,1358,1765,-211.888,-65.277,193,193,0
2025-10-31T19:54:03,3.875,baseline,1361,1770,-223.131,-81.149,194,194,0
2025-10-31T19:54:03,3.875,baseline,1341,1739,-234.379,-98.885,195,195,0
2025-10-31T19:54:03,3.937,baseline,1341,1731,-242.976,-116.152,196,196,0
2025-10-31T19:54:03,3.937,baseline,1347,1737,-243.160,-126.155,197,197,0
2025-10-31T19:54:03,3.937,baseline,1344,1713,-241.757,-136.709,198,198,0
2025-10-31T19:54:03,4.000,baseline,1359,1712,-238.171,-148.616,199,199,0
2025-10-31T19:54:03,4.000,baseline,1381,1722,-226.395,-152.483,200,200,0
2025-10-31T19:54:03,4.000,baseline,1374,1706,-216.155,-158.064,201,201,0
2025-10-31T19:54:03,4.047,baseline,1399,1742,-202.331,-157.829,202,202,0
2025-10-31T19:54:03,4.047,baseline,1475,1838,-173.096,-134.005,203,203,0
2025-10-31T19:54:03,4.062,baseline,1574,1936,-127.757,-91.061,204,204,0
2025-10-31T19:54:03,4.109,baseline,1668,2063,-68.971,-25.731,205,205,0
2025-10-31T19:54:03,4.109,baseline,1754,2177,7.261,64.320,206,206,0
2025-10-31T19:54:03,4.109,baseline,1778,2233,82.227,157.037,207,207,0
2025-10-31T19:54:03,4.172,baseline,1778,2265,141.323,235.936,208,208,0
2025-10-31T19:54:03,4.172,baseline,1783,2291,181.563,299.971,209,209,0
2025-10-31T19:54:03,4.172,baseline,1743,2273,195.488,335.192,210,210,0
2025-10-31T19:54:03,4.234,baseline,1713,2262,187.083,346.141,211,211,0
2025-10-31T19:54:03,4.234,baseline,1703,2256,172.832,345.773,212,212,0
2025-10-31T19:54:03,4.234,baseline,1680,2225,154.744,333.928,213,213,0
2025-10-31T19:54:03,4.297,baseline,1674,2202,134.885,313.224,214,214,0
2025-10-31T19:54:03,4.297,baseline,1668,2187,121.944,293.824,215,215,0
2025-10-31T19:54:03,4.297,baseline,1636,2151,108.504,269.867,216,216,0
2025-10-31T19:54:03,4.359,baseline,1611,2128,91.869,242.741,217,217,0
2025-10-31T19:54:03,4.359,baseline,1604,2129,78.269,222.093,218,218,0
2025-10-31T19:54:03,4.359,baseline,1585,2112,61.949,202.616,219,219,0
2025-10-31T19:54:03,4.406,baseline,1586,2095,46.949,182.648,220,220,0
2025-10-31T19:54:03,4.406,baseline,1584,2081,37.909,167.011,221,221,0
2025-10-31T19:54:03,4.406,baseline,1554,2030,27.885,145.779,222,222,0
2025-10-31T19:54:03,4.469,baseline,1535,1993,15.509,117.067,223,223,0
2025-10-31T19:54:03,4.469,baseline,1535,1970,7.000,87.411,224,224,0
2025-10-31T19:54:03,4.469,baseline,1500,1915,-8.621,50.501,225,225,0
2025-10-31T19:54:03,4.531,baseline,1481,1872,-27.560,8.187,226,226,0
2025-10-31T19:54:03,4.531,baseline,1461,1856,-44.435,-26.760,227,227,0
2025-10-31T19:54:03,4.531,baseline,1429,1808,-63.888,-63.600,228,228,0
2025-10-31T19:54:03,4.594,baseline,1410,1792,-87.147,-98.840,229,229,0
2025-10-31T19:54:03,4.594,baseline,1402,1790,-104.989,-123.405,230,230,0
2025-10-31T19:54:03,4.594,baseline,1379,1767,-123.597,-144.019,231,231,0
2025-10-31T19:54:03,4.656,baseline,1375,1745,-139.000,-165.933,232,232,0
2025-10-31T19:54:03,4.656,baseline,1387,1746,-145.637,-178.168,233,233,0
2025-10-31T19:54:03,4.656,baseline,1380,1728,-149.925,-190.931,234,234,0
2025-10-31T19:54:03,4.719,baseline,1384,1714,-151.960,-206.163,235,235,0
2025-10-31T19:54:03,4.719,baseline,1408,1719,-144.848,-215.816,236,236,0
2025-10-31T19:54:03,4.719,baseline,1401,1695,-138.648,-225.864,237,237,0
2025-10-31T19:54:03,4.766,baseline,1405,1687,-134.395,-237.696,238,238,0
2025-10-31T19:54:04,4.828,baseline,1431,1712,-123.909,-240.917,239,239,0
2025-10-31T19:54:04,4.828,baseline,1475,1744,-105.853,-235.099,240,240,0
2025-10-31T19:54:04,4.828,baseline,1581,1840,-71.947,-211.421,241,241,0
2025-10-31T19:54:04,4.828,baseline,1699,1973,-13.661,-156.827,242,242,0
2025-10-31T19:54:04,4.828,baseline,1792,2080,61.837,-79.752,243,243,0
2025-10-31T19:54:04,4.891,baseline,1866,2183,146.443,12.456,244,244,0
2025-10-31T19:54:04,4.891,baseline,1914,2273,231.560,115.997,245,245,0
2025-10-31T19:54:04,4.891,baseline,1904,2289,293.461,203.504,246,246,0
2025-10-31T19:54:04,4.953,baseline,1888,2288,328.707,264.371,247,247,0
2025-10-31T19:54:04,4.953,baseline,1879,2291,343.755,304.656,248,248,0
2025-10-31T19:54:04,4.953,baseline,1855,2255,339.395,317.376,249,249,0
2025-10-31T19:54:04,5.016,baseline,1839,2229,322.336,307.096,250,250,0
2025-10-31T19:54:04,5.016,baseline,1835,2224,306.477,292.739,251,251,0
2025-10-31T19:54:04,5.016,baseline,1795,2177,285.765,269.272,252,252,0
2025-10-31T19:54:04,5.078,baseline,1775,2150,262.760,239.869,253,253,0
2025-10-31T19:54:04,5.078,baseline,1777,2142,244.832,216.067,254,254,0
2025-10-31T19:54:04,5.078,baseline,1751,2112,224.819,191.416,255,255,0
2025-10-31T19:54:04,5.125,baseline,1743,2097,203.963,164.763,256,256,0
2025-10-31T19:54:04,5.187,baseline,1741,2091,190.736,146.283,257,257,0
2025-10-31T19:54:04,5.187,baseline,1713,2054,175.931,125.805,258,258,0
2025-10-31T19:54:04,5.250,baseline,1706,2027,159.379,101.595,259,259,0
2025-10-31T19:54:04,5.312,baseline,1689,2003,144.704,78.749,260,260,0
2025-10-31T19:54:04,5.312,baseline,1668,1959,127.459,50.275,261,261,0
2025-10-31T19:54:04,5.312,baseline,1648,1921,106.595,15.605,262,262,0
2025-10-31T19:54:04,5.312,baseline,1648,1894,91.336,-16.851,263,263,0
2025-10-31T19:54:04,5.312,baseline,1623,1851,72.448,-52.320,264,264,0
2025-10-31T19:54:04,5.312,baseline,1602,1822,52.693,-88.651,265,265,0
2025-10-31T19:54:04,5.312,baseline,1588,1804,34.312,-119.656,266,266,0
2025-10-31T19:54:04,5.312,baseline,1535,1769,9.352,-149.968,267,267,0
2025-10-31T19:54:04,5.375,baseline,1534,1763,-15.808,-176.059,268,268,0
2025-10-31T19:54:04,5.375,baseline,1559,1791,-31.011,-188.005,269,269,0
2025-10-31T19:54:04,5.375,baseline,1535,1759,-46.848,-200.624,270,270,0
2025-10-31T19:54:04,5.437,baseline,1534,1733,-60.117,-214.885,271,271,0
2025-10-31T19:54:04,5.437,baseline,1535,1719,-62.648,-224.947,272,272,0
2025-10-31T19:54:04,5.437,baseline,1520,1681,-67.979,-241.328,273,273,0
2025-10-31T19:54:04,5.484,baseline,1525,1667,-77.224,-265.933,274,274,0
2025-10-31T19:54:04,5.500,baseline,1535,1674,-79.563,-282.557,275,275,0
2025-10-31T19:54:04,5.500,baseline,1522,1649,-84.181,-298.824,276,276,0
2025-10-31T19:54:04,5.547,baseline,1518,1648,-89.616,-312.288,277,277,0
2025-10-31T19:54:04,5.547,baseline,1568,1687,-81.829,-310.035,278,278,0
2025-10-31T19:54:04,5.562,baseline,1647,1751,-58.995,-291.808,279,279,0
2025-10-31T19:54:04,5.609,baseline,1763,1874,-14.803,-250.005,280,280,0
2025-10-31T19:54:04,5.609,baseline,1879,2023,55.251,-173.144,281,281,0
2025-10-31T19:54:04,5.609,baseline,1937,2126,137.597,-75.448,282,282,0
2025-10-31T19:54:04,5.672,baseline,1981,2217,218.451,32.373,283,283,0
2025-10-31T19:54:04,5.672,baseline,2015,2287,289.880,140.912,284,284,0
2025-10-31T19:54:04,5.672,baseline,2000,2298,334.677,226.480,285,285,0
2025-10-31T19:54:04,5.734,baseline,1983,2294,352.488,280.952,286,286,0
2025-10-31T19:54:04,5.734,baseline,1974,2303,356.600,316.213,287,287,0
2025-10-31T19:54:04,5.734,baseline,1951,2271,347.131,326.624,288,288,0
2025-10-31T19:54:04,5.797,baseline,1942,2255,328.965,319.683,289,289,0
