wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T20:08:31,0.484,baseline,1,10,17,10,17,140.0,140.0,0.0,0.159857,0.133552,0.835447,0.0,0.0,0.685,OK,345.1607,336.0501,0.10,0,897.663448,984.615383,1.096865,,,,BAL,0.0,+,
2025-10-31T20:08:32,1.234,baseline,2,48,55,48,55,140.0,140.0,0.0,0.133211,0.112491,0.839952,0.0,0.0,0.665,OK,268.9758,264.3918,0.10,0,991.137247,1063.029974,1.072536,,,,BAL,0.0,+,
2025-10-31T20:08:33,2.015,baseline,3,86,93,86,93,140.0,140.0,0.0,0.120183,0.138515,0.844457,0.0,0.0,0.644,OK,246.0891,270.9358,0.10,0,836.469333,906.434667,1.083644,,,,BAL,0.0,+,0.000
2025-10-31T20:08:34,2.734,baseline,4,123,130,123,130,140.0,140.0,0.0,0.073086,0.096890,0.998495,0.0,0.0,0.006,OK,212.2652,259.8804,0.10,0,792.488000,869.074667,1.096641,,,,BAL,0.0,+,0.000
2025-10-31T20:08:34,3.453,baseline,5,158,165,158,165,140.0,140.0,0.0,0.051500,0.075246,1.152533,0.0,0.0,0.541,OK,181.2808,241.0091,0.10,0,769.256000,882.304000,1.146958,,,,BAL,0.0,+,0.000
2025-10-31T20:08:35,4.172,baseline,6,195,202,195,202,140.0,140.0,0.0,0.123049,0.116113,1.152533,0.0,0.0,0.541,OK,166.7288,226.0328,0.10,0,943.434667,986.896000,1.046067,1.088077,1.043755,0.959266,BAL,0.0,+,0.000
2025-10-31T20:08:36,4.890,baseline,7,231,238,231,238,140.0,140.0,0.0,0.067622,0.031839,1.152533,0.0,0.0,0.541,OK,150.1727,201.8689,0.10,0,966.413333,1054.533333,1.091183,1.076588,1.071010,0.994820,BAL,0.0,+,0.000
2025-10-31T20:08:37,6.390,baseline,8,304,311,304,311,140.0,140.0,0.0,0.115608,0.068290,0.943637,0.0,0.0,0.221,OK,136.1731,163.0690,0.10,0,623.485333,680.368000,1.091233,0.719075,0.719566,1.000684,BAL,0.0,+,0.000
2025-10-31T20:08:38,7.109,baseline,9,341,348,341,348,140.0,140.0,0.0,0.160530,0.250952,0.943637,0.0,0.0,0.221,OK,141.0803,175.1114,0.10,0,544.650667,585.410667,1.074837,0.651130,0.645839,0.991873,BAL,0.0,+,0.000
2025-10-31T20:08:39,7.828,baseline,10,377,384,377,384,140.0,140.0,0.0,0.141946,0.165511,0.943637,0.0,0.0,0.221,OK,143.9545,182.9816,0.10,0,437.250667,513.088000,1.173441,0.536847,0.573687,1.068622,BAL,0.0,+,0.000
2025-10-31T20:08:39,8.547,baseline,11,412,419,412,419,140.0,140.0,0.0,0.138216,0.104510,0.756135,0.0,0.0,1.065,OK,146.5812,182.5638,0.10,0,520.474667,638.101333,1.225999,0.656760,0.723222,1.101196,BAL,0.0,+,0.000
2025-10-31T20:08:40,9.265,baseline,12,450,457,450,457,140.0,140.0,0.0,0.126076,0.138581,1.099187,0.0,0.0,0.360,OK,149.1410,185.0510,0.10,0,608.869333,711.917333,1.169245,0.779730,0.812979,1.042642,BAL,0.0,+,0.000
2025-10-31T20:08:41,10.047,baseline,13,489,496,488,495,140.0,140.0,0.0,0.049888,0.053144,1.099187,20.0,-20.0,0.360,OK,145.4129,181.5332,0.10,0,528.976000,672.469333,1.271266,0.687646,0.773776,1.125253,BAL,-20.0,-,6.000
2025-10-31T20:08:42,11.547,baseline,14,564,571,564,571,140.0,140.0,0.0,0.019744,0.007363,1.065272,0.0,0.0,0.241,OK,107.6637,141.5873,0.10,0,579.538667,638.576000,1.101870,0.832227,0.807817,0.970669,BAL,0.0,+,6.000
2025-10-31T20:08:43,12.328,baseline,15,601,608,601,608,140.0,140.0,0.0,0.282696,0.209836,0.756135,0.0,0.0,1.065,OK,107.5580,130.3767,0.10,0,528.072000,626.042667,1.185525,0.846968,0.879376,1.038263,BAL,0.0,+,6.000
