wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T19:23:59,0.000,none,1788,1975,0.000,0.000,1,1,1
2025-10-31T19:23:59,0.016,baseline,2093,2374,76.250,99.750,2,2,0
2025-10-31T19:23:59,0.047,baseline,2384,2725,149.389,188.833,3,3,0
2025-10-31T19:23:59,0.063,baseline,2608,2935,209.479,249.812,4,4,0
2025-10-31T19:23:59,0.078,baseline,2751,3025,252.823,283.490,5,5,0
2025-10-31T19:23:59,0.110,baseline,2842,3018,339.023,352.023,6,6,0
2025-10-31T19:23:59,0.125,baseline,2851,2915,383.952,353.209,7,7,0
2025-10-31T19:23:59,0.141,baseline,2803,2775,382.419,291.259,8,8,0
2025-10-31T19:23:59,0.156,baseline,2732,2640,343.046,190.887,9,9,0
2025-10-31T19:23:59,0.172,baseline,2624,2474,273.086,64.927,10,10,0
2025-10-31T19:23:59,0.188,baseline,2512,2323,180.414,-69.534,11,11,0
2025-10-31T19:23:59,0.219,baseline,2416,2203,81.452,-193.053,12,12,0
2025-10-31T19:23:59,0.235,baseline,2330,2099,-13.748,-299.795,13,13,0
2025-10-31T19:23:59,0.250,baseline,2255,2027,-101.169,-387.830,14,14,0
2025-10-31T19:23:59,0.281,baseline,2212,1985,-170.062,-448.417,15,15,0
2025-10-31T19:23:59,0.297,baseline,2162,1943,-223.227,-486.839,16,16,0
2025-10-31T19:23:59,0.313,baseline,2106,1879,-266.364,-514.665,17,17,0
2025-10-31T19:23:59,0.344,baseline,2035,1823,-305.142,-534.084,18,18,0
2025-10-31T19:23:59,0.360,baseline,1946,1727,-345.520,-559.090,19,19,0
2025-10-31T19:23:59,0.375,baseline,1840,1626,-396.807,-595.893,20,20,0
2025-10-31T19:23:59,0.406,baseline,1739,1515,-456.312,-645.743,21,21,0
2025-10-31T19:23:59,0.422,baseline,1616,1391,-526.851,-706.348,22,22,0
2025-10-31T19:23:59,0.438,baseline,1489,1278,-606.012,-776.689,23,23,0
2025-10-31T19:23:59,0.469,baseline,1386,1173,-685.591,-847.292,24,24,0
2025-10-31T19:23:59,0.485,baseline,1280,1069,-763.091,-917.118,25,25,0
2025-10-31T19:23:59,0.500,baseline,1191,976,-836.448,-982.280,26,26,0
2025-10-31T19:23:59,0.516,baseline,1115,901,-899.247,-1037.098,27,27,0
2025-10-31T19:23:59,0.531,baseline,1049,833,-949.300,-1082.781,28,28,0
2025-10-31T19:23:59,0.547,baseline,974,763,-993.486,-1121.611,29,29,0
2025-10-31T19:23:59,0.578,baseline,935,717,-1024.513,-1149.389,30,30,0
2025-10-31T19:23:59,0.594,baseline,943,720,-1037.007,-1159.105,31,31,0
2025-10-31T19:23:59,0.610,baseline,1023,852,-1020.087,-1129.767,32,32,0
2025-10-31T19:23:59,0.641,baseline,1219,1142,-954.021,-1033.183,33,33,0
2025-10-31T19:23:59,0.656,baseline,1482,1510,-825.406,-855.657,34,34,0
2025-10-31T19:23:59,0.672,baseline,1777,1894,-636.625,-600.829,35,35,0
2025-10-31T19:23:59,0.703,baseline,2077,2235,-397.259,-288.418,36,36,0
2025-10-31T19:23:59,0.719,baseline,2302,2448,-136.944,30.455,37,37,0
2025-10-31T19:23:59,0.735,baseline,2452,2559,106.988,305.528,38,38,0
2025-10-31T19:23:59,0.766,baseline,2546,2587,311.405,507.063,39,39,0
2025-10-31T19:24:00,0.797,baseline,2559,2515,455.631,614.703,40,40,0
2025-10-31T19:24:00,0.797,baseline,2537,2414,533.629,633.765,41,41,0
2025-10-31T19:24:00,0.828,baseline,2480,2290,554.969,586.983,42,42,0
