wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T20:32:40,0.000,none,2265,2526,0.000,0.000,1,1,1
2025-10-31T20:32:40,0.016,baseline,2239,2497,-6.500,-7.250,2,2,0
2025-10-31T20:32:40,0.047,baseline,2214,2474,-12.778,-13.167,3,3,0
2025-10-31T20:32:40,0.063,baseline,2181,2416,-20.521,-25.438,4,4,0
2025-10-31T20:32:40,0.078,baseline,2147,2352,-28.857,-40.550,5,5,0
2025-10-31T20:32:40,0.109,baseline,2131,2320,-41.890,-62.717,6,6,0
2025-10-31T20:32:40,0.125,baseline,2109,2263,-54.233,-88.588,7,7,0
2025-10-31T20:32:40,0.141,baseline,2094,2224,-64.866,-115.588,8,8,0
2025-10-31T20:32:40,0.172,baseline,2095,2198,-69.894,-136.205,9,9,0
2025-10-31T20:32:40,0.188,baseline,2064,2160,-75.434,-152.605,10,10,0
2025-10-31T20:32:40,0.203,baseline,2006,2103,-89.292,-174.074,11,11,0
2025-10-31T20:32:40,0.234,baseline,1967,2042,-106.149,-196.486,12,12,0
2025-10-31T20:32:40,0.234,baseline,1904,1965,-131.433,-225.948,13,13,0
2025-10-31T20:32:40,0.250,baseline,1860,1874,-163.884,-266.853,14,14,0
2025-10-31T20:32:40,0.297,baseline,1825,1808,-195.584,-311.613,15,15,0
2025-10-31T20:32:40,0.297,baseline,1776,1717,-224.456,-361.314,16,16,0
2025-10-31T20:32:40,0.313,baseline,1734,1636,-253.044,-413.225,17,17,0
2025-10-31T20:32:41,0.344,baseline,1722,1581,-271.359,-459.519,18,18,0
2025-10-31T20:32:41,0.359,baseline,1685,1502,-288.320,-502.600,19,19,0
2025-10-31T20:32:41,0.375,baseline,1648,1443,-305.700,-543.650,20,20,0
2025-10-31T20:32:41,0.406,baseline,1606,1395,-321.804,-576.036,21,21,0
2025-10-31T20:32:41,0.422,baseline,1562,1343,-338.416,-602.878,22,22,0
2025-10-31T20:32:41,0.438,baseline,1520,1297,-360.803,-628.210,23,23,0
2025-10-31T20:32:41,0.469,baseline,1498,1273,-380.114,-643.299,24,24,0
2025-10-31T20:32:41,0.484,baseline,1485,1233,-394.750,-655.425,25,25,0
2025-10-31T20:32:41,0.500,baseline,1483,1217,-401.821,-662.139,26,26,0
2025-10-31T20:32:41,0.531,baseline,1529,1264,-391.977,-650.685,27,27,0
2025-10-31T20:32:41,0.547,baseline,1639,1413,-353.833,-603.112,28,28,0
2025-10-31T20:32:41,0.563,baseline,1796,1657,-283.057,-506.419,29,29,0
2025-10-31T20:32:41,0.594,baseline,1967,1950,-179.634,-349.503,30,30,0
2025-10-31T20:32:41,0.609,baseline,2086,2186,-56.638,-149.729,31,31,0
2025-10-31T20:32:41,0.609,baseline,2139,2352,63.468,66.147,32,32,0
2025-10-31T20:32:41,0.641,baseline,2158,2453,162.041,265.691,33,33,0
2025-10-31T20:32:41,0.656,baseline,2142,2475,224.071,416.087,34,34,0
2025-10-31T20:32:41,0.672,baseline,2142,2454,251.213,501.289,35,35,0
2025-10-31T20:32:41,0.703,baseline,2144,2432,255.055,534.271,36,36,0
2025-10-31T20:32:41,0.719,baseline,2121,2398,244.234,527.866,37,37,0
2025-10-31T20:32:41,0.734,baseline,2078,2355,221.852,494.057,38,38,0
2025-10-31T20:32:41,0.766,baseline,2033,2320,194.587,450.453,39,39,0
2025-10-31T20:32:41,0.781,baseline,1989,2266,159.603,401.900,40,40,0
2025-10-31T20:32:41,0.797,baseline,1968,2224,121.152,350.979,41,41,0
2025-10-31T20:32:41,0.828,baseline,1958,2203,86.294,304.109,42,42,0
2025-10-31T20:32:41,0.844,baseline,1923,2175,53.911,261.511,43,43,0
2025-10-31T20:32:41,0.859,baseline,1899,2159,26.439,223.808,44,44,0
2025-10-31T20:32:41,0.891,baseline,1872,2139,2.940,193.761,45,45,0
2025-10-31T20:32:41,0.906,baseline,1819,2096,-26.283,164.305,46,46,0
2025-10-31T20:32:41,0.922,baseline,1763,2026,-63.869,125.998,47,47,0
2025-10-31T20:32:41,0.953,baseline,1712,1951,-103.805,79.379,48,48,0
2025-10-31T20:32:41,0.969,baseline,1680,1867,-144.504,20.469,49,49,0
2025-10-31T20:32:41,0.984,baseline,1650,1778,-184.998,-50.721,50,50,0
2025-10-31T20:32:41,1.000,baseline,1629,1716,-218.467,-124.198,51,51,0
2025-10-31T20:32:41,1.031,baseline,1584,1635,-249.199,-198.407,52,52,0
2025-10-31T20:32:41,1.031,baseline,1535,1567,-279.037,-269.860,53,53,0
2025-10-31T20:32:41,1.063,baseline,1535,1504,-302.129,-335.916,54,54,0
2025-10-31T20:32:41,1.078,baseline,1535,1453,-319.003,-393.388,55,55,0
2025-10-31T20:32:41,1.094,baseline,1533,1392,-331.938,-449.733,56,56,0
2025-10-31T20:32:41,1.125,baseline,1506,1335,-341.215,-500.492,57,57,0
2025-10-31T20:32:41,1.141,baseline,1450,1285,-351.823,-546.970,58,58,0
2025-10-31T20:32:41,1.156,baseline,1411,1232,-370.028,-590.841,59,59,0
