wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T20:48:14,0.343,baseline,1,4,11,2,9,140.0,140.0,0.0,0.126471,0.112875,0.892496,40.0,-40.0,0.433,OK,153.2340,64.1669,0.10,0,217.734697,163.818492,0.752377,,,,R↓,-40.0,-,
2025-10-31T20:48:14,1.031,baseline,2,39,46,38,45,140.0,140.0,0.0,0.097678,0.061260,0.759827,20.0,-20.0,1.047,OK,124.8811,32.6577,0.10,0,262.120763,336.920746,1.285365,,,,BAL,-20.0,-,
2025-10-31T20:48:15,1.797,baseline,3,74,81,75,82,140.0,140.0,0.0,0.095129,0.179297,0.892496,20.0,20.0,0.433,OK,116.3131,37.2155,0.10,0,252.934995,295.017957,1.166379,,,,BAL,20.0,+,9.428
2025-10-31T20:48:16,2.515,baseline,4,111,118,111,118,140.0,140.0,0.0,0.077808,0.364286,1.388641,0.0,0.0,1.251,OK,103.8642,60.0405,0.10,0,313.541333,331.053333,1.055852,,,,BAL,0.0,+,14.142
2025-10-31T20:48:17,3.234,baseline,5,149,156,147,154,140.0,140.0,0.0,0.084733,0.102857,1.213893,40.0,-40.0,0.739,OK,93.6406,61.8153,0.10,0,286.586667,356.096000,1.242542,,,,BAL,-40.0,-,14.967
2025-10-31T20:48:17,3.906,baseline,6,182,189,182,189,140.0,140.0,0.0,0.007428,0.027366,1.884787,0.0,0.0,2.416,WARN,80.1955,52.5913,0.10,0,331.376000,330.058667,0.996025,1.207842,0.998495,0.826677,BAL,0.0,+,16.330
2025-10-31T20:48:18,4.625,baseline,7,217,224,215,222,140.0,140.0,0.0,0.016852,0.095766,2.000000,40.0,-40.0,2.642,WARN,69.0380,50.9005,0.10,0,254.672000,399.384000,1.568229,0.971583,1.206404,1.241689,BAL,-40.0,-,16.660
2025-10-31T20:48:19,5.343,baseline,8,252,259,249,256,140.0,140.0,0.0,0.166121,0.188148,2.000000,60.0,-60.0,3.442,HIGH,68.4168,54.8872,0.10,0,255.269333,430.704000,1.687253,0.986758,1.289583,1.306889,L↓,-60.0,-,19.843
2025-10-31T20:48:19,6.000,baseline,9,286,293,284,291,140.0,140.0,0.0,0.308947,0.165194,1.213893,40.0,-40.0,0.739,OK,77.3434,57.7896,0.10,0,387.304000,380.232000,0.981740,1.477578,1.128550,0.763784,R↓,-40.0,-,19.116
2025-10-31T20:48:20,6.718,baseline,10,321,328,320,327,140.0,140.0,0.0,0.209928,0.103704,1.132594,20.0,-20.0,0.475,OK,84.3751,57.1193,0.10,0,446.837333,388.978667,0.870515,1.628691,1.122566,0.689245,R↓,-20.0,-,18.330
2025-10-31T20:48:21,7.437,baseline,11,357,364,356,363,140.0,140.0,0.0,0.033793,0.041840,1.132594,20.0,-20.0,0.475,OK,79.6551,53.8542,0.10,0,403.210667,444.650667,1.102775,1.406941,1.248682,0.887515,BAL,-20.0,-,18.000
2025-10-31T20:48:22,8.812,baseline,12,426,433,424,431,140.0,140.0,0.0,0.219077,0.146813,0.670144,40.0,-40.0,1.526,WARN,74.6477,54.2267,0.10,0,313.656000,308.378667,0.983175,1.045297,0.889960,0.851395,BAL,-40.0,-,18.330
2025-10-31T20:48:23,9.484,baseline,13,460,467,458,465,140.0,140.0,0.0,0.396523,0.208192,0.534699,40.0,-40.0,2.386,WARN,81.1826,58.1749,0.10,0,331.016000,356.402667,1.076693,1.055733,1.000861,0.948025,BAL,-40.0,-,18.439
2025-10-31T20:48:24,10.203,baseline,14,497,504,492,499,140.0,140.0,0.0,0.346952,0.170715,0.525044,100.0,-100.0,4.856,HIGH,84.4246,60.3103,0.10,0,171.365333,374.722667,2.186689,0.571096,1.051855,1.841818,L↓,-100.0,-,25.298
2025-10-31T20:48:24,10.859,baseline,15,530,537,528,535,140.0,140.0,0.0,0.102773,0.034006,0.525044,40.0,-40.0,2.456,WARN,81.6515,60.6272,0.10,0,312.717333,377.061333,1.205758,1.000000,1.057964,1.057964,BAL,-40.0,-,25.298
2025-10-31T20:48:25,11.578,baseline,16,565,572,563,570,140.0,140.0,0.0,0.039100,0.050999,0.525044,40.0,-40.0,2.456,WARN,76.3574,60.6030,0.10,0,280.864000,401.872000,1.430842,0.937301,1.099325,1.172862,BAL,-40.0,-,21.541
2025-10-31T20:48:26,12.297,baseline,17,600,607,600,607,140.0,140.0,0.0,0.049283,0.173484,0.525044,0.0,0.0,2.456,WARN,72.5134,60.5191,0.10,0,298.986667,394.232000,1.318560,1.000000,1.052063,1.052063,BAL,0.0,+,25.298
2025-10-31T20:48:26,13.078,baseline,18,639,646,636,643,140.0,140.0,0.0,0.185190,0.210440,1.136346,60.0,-60.0,1.287,OK,72.2977,60.1501,0.10,0,299.970667,441.013333,1.470188,1.001643,1.173245,1.171320,BAL,-60.0,-,25.298
2025-10-31T20:48:27,13.812,baseline,19,677,684,674,681,140.0,140.0,0.0,0.213952,0.087728,1.136346,60.0,-60.0,1.287,OK,76.1161,62.6012,0.10,0,385.885333,439.090667,1.137879,1.286410,1.164507,0.905238,BAL,-60.0,-,26.000
2025-10-31T20:48:28,14.515,baseline,20,713,720,713,720,140.0,140.0,0.0,0.100541,0.249514,1.304302,0.0,0.0,1.013,OK,80.6994,67.4566,0.10,0,384.442667,399.866667,1.040120,1.254938,1.056042,0.841509,BAL,0.0,+,28.284
2025-10-31T20:48:29,15.359,baseline,21,752,759,749,756,140.0,140.0,0.0,0.155398,0.271160,1.744938,60.0,-60.0,2.922,WARN,82.0683,71.3055,0.10,0,359.957333,530.917333,1.474945,1.151063,1.396298,1.213051,BAL,-60.0,-,28.000
2025-10-31T20:48:29,16.015,baseline,22,787,794,786,793,140.0,140.0,0.0,0.118274,0.106882,1.136346,20.0,-20.0,0.487,OK,76.7613,70.0567,0.10,0,403.765333,570.981333,1.414142,1.289452,1.484590,1.151334,BAL,-20.0,-,28.914
2025-10-31T20:48:30,16.797,baseline,23,825,832,823,830,140.0,140.0,0.0,0.163753,0.061939,0.903679,40.0,-40.0,0.386,OK,71.2795,68.5942,0.10,0,325.442667,537.621333,1.651969,1.037958,1.382136,1.331592,L↓,-40.0,-,28.914
