wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T19:07:24,0.750,baseline,1,23,30,23,30,140.0,140.0,0.0,0.182006,0.231503,1.271953,0.0,0.0,0.917,OK,350.2173,255.9012,0.10,0,2610.830014,1916.771529,0.734162,,,,R↓,0.0,+,
2025-10-31T19:07:25,1.360,baseline,2,54,61,54,61,140.0,140.0,0.0,0.167002,0.206591,1.254507,0.0,0.0,0.864,OK,388.0019,252.1322,0.10,0,2378.050881,1766.662543,0.742904,,,,R↓,0.0,+,
2025-10-31T19:07:26,1.985,baseline,3,84,91,84,91,140.0,140.0,0.0,0.128804,0.166404,1.271953,0.0,0.0,0.917,OK,376.9885,246.3780,0.10,0,2564.482667,1744.410667,0.680219,,,,R↓,0.0,+,0.000
2025-10-31T19:07:26,2.594,baseline,4,115,122,114,121,140.0,140.0,0.0,0.140618,0.132787,1.254507,20.0,-20.0,0.864,OK,344.5018,238.4124,0.10,0,2443.306667,1687.472000,0.690651,,,,R↓,-20.0,-,8.660
2025-10-31T19:07:27,3.188,baseline,5,144,151,144,151,140.0,140.0,0.0,0.110281,0.161655,1.271953,0.0,0.0,0.917,OK,325.8299,236.9273,0.10,0,2535.485333,1761.741333,0.694834,,,,R↓,0.0,+,8.000
2025-10-31T19:07:27,3.797,baseline,6,174,181,174,181,140.0,140.0,0.0,0.148341,0.181553,1.237062,0.0,0.0,0.811,OK,325.9001,237.0963,0.10,0,2577.165333,1724.410667,0.669111,1.010659,0.983649,0.973274,BAL,0.0,+,7.454
2025-10-31T19:07:28,4.454,baseline,7,206,213,205,212,140.0,140.0,0.0,0.208040,0.155548,1.223890,20.0,-20.0,0.770,OK,339.2361,236.6494,0.10,0,2456.264000,1649.146667,0.671404,0.968755,0.945389,0.975880,BAL,-20.0,-,9.035
2025-10-31T19:07:29,5.047,baseline,8,238,245,238,245,140.0,140.0,0.0,0.104635,0.125091,1.195493,0.0,0.0,0.681,OK,332.3006,231.6976,0.10,0,2238.754667,1482.426667,0.662166,0.896982,0.854715,0.952879,BAL,0.0,+,8.660
2025-10-31T19:07:29,5.719,baseline,9,271,278,271,278,140.0,140.0,0.0,0.099002,0.110103,1.195493,0.0,0.0,0.681,OK,311.6833,220.4779,0.10,0,1827.725333,1185.168000,0.648439,0.744108,0.687289,0.923641,BAL,0.0,+,8.315
2025-10-31T19:07:30,6.375,baseline,10,302,309,302,309,140.0,140.0,0.0,0.171795,0.130679,1.112130,0.0,0.0,0.405,OK,314.6357,218.8287,0.10,0,2015.869333,1375.530667,0.682351,0.822876,0.806318,0.979878,BAL,0.0,+,8.000
2025-10-31T19:07:30,6.969,baseline,11,334,341,334,341,140.0,140.0,0.0,0.273051,0.223176,0.817343,0.0,0.0,0.769,OK,341.9494,229.1910,0.10,0,2145.466667,1721.618667,0.802445,0.878100,1.000000,1.138823,BAL,0.0,+,8.000
2025-10-31T19:07:31,7.688,baseline,12,367,374,368,375,140.0,140.0,0.0,0.142739,0.187278,1.112130,20.0,20.0,0.405,OK,353.2040,233.8821,0.10,0,2245.637333,1648.554667,0.734114,0.931537,0.967152,1.038232,BAL,20.0,+,9.165
2025-10-31T19:07:32,8.344,baseline,13,401,408,401,408,140.0,140.0,0.0,0.098293,0.107665,1.095345,0.0,0.0,0.347,OK,341.8478,227.9464,0.10,0,2211.288000,1558.274667,0.704691,0.929874,0.923437,0.993078,BAL,0.0,+,9.165
2025-10-31T19:07:33,9.016,baseline,14,434,441,434,441,140.0,140.0,0.0,0.133477,0.114440,0.857375,0.0,0.0,0.587,OK,340.2819,224.8098,0.10,0,2530.658667,1763.840000,0.696989,1.049770,1.034786,0.985726,BAL,0.0,+,8.000
2025-10-31T19:07:33,9.672,baseline,15,469,476,469,476,140.0,140.0,0.0,0.204536,0.224392,1.095345,0.0,0.0,0.347,OK,346.2965,230.7601,0.10,0,2468.880000,2132.434667,0.863726,1.010467,1.238622,1.225792,BAL,0.0,+,8.000
2025-10-31T19:07:34,10.391,baseline,16,504,511,504,511,140.0,140.0,0.0,0.146876,0.138049,1.095345,0.0,0.0,0.347,OK,361.1692,241.9570,0.10,0,2535.800000,1972.589333,0.777896,1.035111,1.144848,1.106014,BAL,0.0,+,8.000
2025-10-31T19:07:35,11.110,baseline,17,539,546,540,547,140.0,140.0,0.0,0.115654,0.161467,1.095345,20.0,20.0,0.347,OK,350.3234,235.0545,0.10,0,2621.048000,1731.298667,0.660537,1.067087,1.003994,0.940874,BAL,20.0,+,8.000
