wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T16:42:53,1.047,baseline,1,38,45,37,44,140.0,140.0,0.0,0.194911,0.202085,1.036810,20.0,-20.0,0.138,OK,299.2134,220.1842,0.10,0,2291.244959,1884.254922,0.822372,,,,BAL,-20.0,-,
2025-10-31T16:42:54,1.844,baseline,2,77,84,76,83,140.0,140.0,0.0,0.214250,0.202361,0.990659,20.0,-20.0,0.036,OK,369.2874,286.4441,0.10,0,2187.727207,1831.626390,0.837228,,,,BAL,-20.0,-,
2025-10-31T16:42:55,2.625,baseline,3,115,122,114,121,140.0,140.0,0.0,0.125404,0.117330,0.944509,20.0,-20.0,0.218,OK,365.9650,285.2420,0.10,0,2164.520000,1824.768000,0.843036,,,,BAL,-20.0,-,0.000
2025-10-31T16:42:56,3.406,baseline,4,153,160,152,159,140.0,140.0,0.0,0.137334,0.128282,0.940063,20.0,-20.0,0.236,OK,352.7683,268.9749,0.10,0,2116.386667,1715.541333,0.810599,,,,BAL,-20.0,-,0.000
2025-10-31T16:42:57,4.109,baseline,5,190,197,189,196,140.0,140.0,0.0,0.154656,0.148717,0.944509,20.0,-20.0,0.218,OK,349.5783,265.8662,0.10,0,1875.418667,1542.557333,0.822514,,,,BAL,-20.0,-,0.000
2025-10-31T16:42:57,4.844,baseline,6,226,233,225,232,140.0,140.0,0.0,0.147819,0.159879,0.944509,20.0,-20.0,0.218,OK,346.1208,269.7771,0.10,0,1744.610667,1522.480000,0.872676,0.815066,0.860083,1.055231,BAL,-20.0,-,0.000
2025-10-31T16:42:58,5.625,baseline,7,262,269,261,268,140.0,140.0,0.0,0.140986,0.137851,0.961602,20.0,-20.0,0.149,OK,335.3398,264.6790,0.10,0,1703.336000,1438.442667,0.844486,0.804832,0.838477,1.041804,BAL,-20.0,-,0.000
2025-10-31T16:42:59,6.219,baseline,8,296,303,295,302,140.0,140.0,0.0,0.139967,0.151123,0.977766,20.0,-20.0,0.086,OK,329.4047,265.8790,0.10,0,1755.885333,1552.440000,0.884135,0.879745,0.950091,1.079962,BAL,-20.0,-,0.000
2025-10-31T16:42:59,6.875,baseline,9,329,336,328,335,140.0,140.0,0.0,0.164147,0.155754,0.977766,20.0,-20.0,0.086,OK,331.4758,270.1461,0.10,0,1765.493333,1583.522667,0.896929,0.941386,1.000000,1.062263,BAL,-20.0,-,0.000
2025-10-31T16:43:00,7.531,baseline,10,361,368,360,367,140.0,140.0,0.0,0.158276,0.144005,0.977766,20.0,-20.0,0.086,OK,336.9604,272.3644,0.10,0,1961.176000,1770.570667,0.902811,1.022352,1.073378,1.049910,BAL,-20.0,-,0.000
