wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T19:48:35,0.000,none,2032,2373,0.000,0.000,1,1,1
2025-10-31T19:48:35,0.031,baseline,2123,2510,22.750,34.250,2,2,0
2025-10-31T19:48:35,0.046,baseline,2171,2592,35.944,56.278,3,3,0
2025-10-31T19:48:35,0.078,baseline,2192,2617,42.583,65.708,4,4,0
2025-10-31T19:48:35,0.093,baseline,2177,2594,41.667,63.927,5,5,0
2025-10-31T19:48:35,0.109,baseline,2158,2544,44.833,65.060,6,6,0
2025-10-31T19:48:35,0.125,baseline,2142,2498,35.705,44.446,7,7,0
2025-10-31T19:48:35,0.140,baseline,2119,2443,19.188,8.704,8,8,0
2025-10-31T19:48:35,0.156,baseline,2091,2384,-1.890,-34.518,9,9,0
2025-10-31T19:48:35,0.171,baseline,2046,2325,-25.310,-78.478,10,10,0
2025-10-31T19:48:35,0.203,baseline,2005,2256,-50.313,-121.793,11,11,0
2025-10-31T19:48:35,0.218,baseline,1978,2203,-75.251,-163.262,12,12,0
2025-10-31T19:48:35,0.234,baseline,1957,2158,-98.124,-200.557,13,13,0
2025-10-31T19:48:35,0.265,baseline,1934,2115,-118.818,-233.306,14,14,0
2025-10-31T19:48:36,0.281,baseline,1904,2080,-135.918,-260.599,15,15,0
2025-10-31T19:48:36,0.312,baseline,1870,2032,-151.319,-283.567,16,16,0
2025-10-31T19:48:36,0.328,baseline,1834,1968,-168.176,-308.549,17,17,0
2025-10-31T19:48:36,0.343,baseline,1783,1905,-190.386,-336.768,18,18,0
2025-10-31T19:48:36,0.359,baseline,1743,1842,-215.241,-368.450,19,19,0
2025-10-31T19:48:36,0.390,baseline,1683,1775,-245.141,-405.696,20,20,0
2025-10-31T19:48:36,0.406,baseline,1617,1712,-280.303,-445.061,21,21,0
2025-10-31T19:48:36,0.421,baseline,1555,1655,-319.425,-482.341,22,22,0
2025-10-31T19:48:36,0.453,baseline,1494,1601,-359.387,-517.318,23,23,0
2025-10-31T19:48:36,0.468,baseline,1451,1535,-398.886,-552.440,24,24,0
2025-10-31T19:48:36,0.484,baseline,1403,1509,-435.162,-579.308,25,25,0
2025-10-31T19:48:36,0.500,baseline,1360,1472,-466.316,-601.148,26,26,0
2025-10-31T19:48:36,0.515,baseline,1319,1444,-492.985,-617.569,27,27,0
2025-10-31T19:48:36,0.531,baseline,1290,1424,-513.254,-627.789,28,28,0
2025-10-31T19:48:36,0.562,baseline,1257,1411,-531.594,-628.352,29,29,0
2025-10-31T19:48:36,0.578,baseline,1216,1403,-548.658,-626.277,30,30,0
2025-10-31T19:48:36,0.593,baseline,1193,1396,-561.969,-619.278,31,31,0
2025-10-31T19:48:36,0.625,baseline,1167,1382,-572.604,-610.549,32,32,0
2025-10-31T19:48:36,0.640,baseline,1155,1381,-580.234,-599.109,33,33,0
2025-10-31T19:48:36,0.656,baseline,1183,1433,-576.386,-576.042,34,34,0
2025-10-31T19:48:36,0.687,baseline,1270,1567,-548.352,-526.646,35,35,0
2025-10-31T19:48:36,0.703,baseline,1409,1761,-490.137,-440.091,36,36,0
2025-10-31T19:48:36,0.718,baseline,1567,1986,-398.206,-309.883,37,37,0
2025-10-31T19:48:36,0.750,baseline,1712,2192,-278.602,-143.264,38,38,0
2025-10-31T19:48:36,0.765,baseline,1826,2337,-145.725,36.812,39,39,0
2025-10-31T19:48:36,0.781,baseline,1882,2425,-22.539,203.149,40,40,0
2025-10-31T19:48:36,0.812,baseline,1907,2461,75.194,334.486,41,41,0
2025-10-31T19:48:36,0.828,baseline,1904,2443,139.079,415.292,42,42,0
2025-10-31T19:48:36,0.843,baseline,1904,2410,173.162,447.692,43,43,0
2025-10-31T19:48:36,0.875,baseline,1904,2366,184.262,442.651,44,44,0
2025-10-31T19:48:36,0.890,baseline,1887,2318,180.939,411.393,45,45,0
2025-10-31T19:48:36,0.890,baseline,1870,2256,169.578,361.909,46,46,0
2025-10-31T19:48:36,0.921,baseline,1842,2192,153.663,304.713,47,47,0
2025-10-31T19:48:36,0.937,baseline,1813,2128,132.491,242.847,48,48,0
2025-10-31T19:48:36,0.953,baseline,1789,2071,107.133,179.871,49,49,0
2025-10-31T19:48:36,0.984,baseline,1763,2009,80.592,115.553,50,50,0
2025-10-31T19:48:36,1.000,baseline,1734,1955,52.278,54.172,51,51,0
2025-10-31T19:48:36,1.031,baseline,1712,1903,25.731,-3.602,52,52,0
2025-10-31T19:48:36,1.046,baseline,1680,1846,-0.873,-58.867,53,53,0
2025-10-31T19:48:36,1.062,baseline,1631,1794,-31.872,-112.106,54,54,0
2025-10-31T19:48:36,1.078,baseline,1580,1744,-67.206,-162.025,55,55,0
2025-10-31T19:48:36,1.109,baseline,1518,1680,-108.392,-213.038,56,56,0
2025-10-31T19:48:36,1.125,baseline,1472,1617,-153.580,-265.356,57,57,0
2025-10-31T19:48:36,1.140,baseline,1440,1571,-198.008,-314.665,58,58,0
