file,Section,DeltaTD_ms,PAD_ms,AUSPR,HSI,AmpRatio_norm
summary_stats_2025-10-31_1720.csv,Baseline,21.176,-21.176,0.937,0.462,1.075
summary_stats_2025-10-31_1720.csv,Pressure,23.571,-23.571,0.778,1.027,1.097
summary_stats_2025-10-31_1720.csv,Recovery,30.909,-30.909,0.864,1.23,1.226
summary_stats_2025-10-31_1733.csv,Baseline,11.778,-11.778,0.963,0.497,1.034
summary_stats_2025-10-31_1733.csv,Pressure,49.474,-51.579,1.558,2.506,39.521
summary_stats_2025-10-31_1733.csv,Recovery,11.529,-11.059,0.923,0.817,1.158
summary_stats_2025-10-31_1910.csv,Baseline,7.556,-2.222,1.207,0.875,1.145
summary_stats_2025-10-31_1910.csv,Pressure,7.097,-6.667,1.068,0.601,0.917
summary_stats_2025-10-31_1910.csv,Recovery,10.824,2.353,0.779,1.151,0.627
summary_stats_2025-10-31_1921.csv,Baseline,19.78,-19.78,0.908,0.655,0.915
summary_stats_2025-10-31_1921.csv,Pressure,6.957,-6.087,0.974,0.473,0.939
summary_stats_2025-10-31_1921.csv,Recovery,7.609,-5.435,1.133,0.525,1.119
summary_stats_2025-10-31_1927.csv,Baseline,11.579,-11.579,0.969,0.476,0.939
summary_stats_2025-10-31_1927.csv,Pressure,22.5,-22.5,1.111,0.557,1.378
summary_stats_2025-10-31_1927.csv,Recovery,17.907,-17.907,0.746,1.405,0.834
summary_stats_2025-10-31_1932.csv,Baseline,13.913,-13.913,0.965,0.555,1.197
summary_stats_2025-10-31_1932.csv,Pressure,10.549,-10.549,1.253,0.85,1.204
summary_stats_2025-10-31_1932.csv,Recovery,6.17,-2.766,1.103,0.41,1.081
summary_stats_2025-10-31_1937.csv,Baseline,15.435,-14.565,0.982,0.547,1.029
summary_stats_2025-10-31_1937.csv,Pressure,14.0,-14.0,1.351,1.523,1.517
summary_stats_2025-10-31_1937.csv,Recovery,10.118,-10.118,0.721,1.526,0.597
summary_stats_2025-10-31_1946.csv,Baseline,7.816,0.0,1.119,0.585,1.047
summary_stats_2025-10-31_1946.csv,Pressure,7.253,-5.934,0.885,0.856,0.824
summary_stats_2025-10-31_1946.csv,Recovery,8.636,2.727,0.904,0.758,0.764
summary_stats_2025-10-31_1951.csv,Baseline,16.049,-1.728,1.196,0.939,1.027
summary_stats_2025-10-31_1951.csv,Pressure,36.0,20.0,1.455,1.777,6.921
summary_stats_2025-10-31_1951.csv,Recovery,17.0,-11.25,0.7,1.904,0.788
summary_stats_2025-10-31_1957.csv,Baseline,14.458,13.494,1.241,1.008,1.03
summary_stats_2025-10-31_1957.csv,Pressure,20.909,20.455,1.417,1.277,1.037
summary_stats_2025-10-31_1957.csv,Recovery,12.414,7.356,1.403,1.279,1.175
summary_stats_2025-10-31_2003.csv,Baseline,15.529,15.059,0.99,0.865,0.985
summary_stats_2025-10-31_2003.csv,Pressure,13.571,12.143,1.142,1.002,1.014
summary_stats_2025-10-31_2003.csv,Recovery,16.0,15.765,1.219,1.09,1.078
summary_stats_2025-10-31_2011.csv,Baseline,8.649,5.946,0.969,0.774,1.008
summary_stats_2025-10-31_2011.csv,Pressure,30.909,20.0,1.081,1.391,2.754
summary_stats_2025-10-31_2011.csv,Recovery,13.529,-10.294,0.876,1.442,0.829
summary_stats_2025-10-31_2016.csv,Baseline,12.381,9.524,0.971,0.791,0.985
summary_stats_2025-10-31_2016.csv,Pressure,10.5,5.5,0.91,1.067,1.196
summary_stats_2025-10-31_2016.csv,Recovery,11.429,10.549,0.851,0.84,1.192
summary_stats_2025-10-31_2020.csv,Baseline,11.351,-6.486,1.241,1.09,1.017
summary_stats_2025-10-31_2020.csv,Pressure,33.333,-20.0,0.997,0.705,4.864
summary_stats_2025-10-31_2020.csv,Recovery,24.932,-19.452,0.755,1.991,0.823
summary_stats_2025-10-31_2028.csv,Baseline,12.558,4.651,1.07,0.772,1.023
summary_stats_2025-10-31_2028.csv,Pressure,30.909,1.818,1.196,1.299,6.376
summary_stats_2025-10-31_2028.csv,Recovery,45.588,-45.294,0.812,2.019,0.722
summary_stats_2025-10-31_2035.csv,Baseline,16.19,10.476,1.243,1.54,1.118
summary_stats_2025-10-31_2035.csv,Pressure,25.882,-8.235,1.912,2.588,5.624
summary_stats_2025-10-31_2035.csv,Recovery,11.467,-6.933,1.464,1.775,0.78
summary_stats_2025-10-31_2046.csv,Baseline,14.684,4.557,1.246,1.09,1.001
summary_stats_2025-10-31_2046.csv,Pressure,16.829,13.415,1.533,1.607,0.841
summary_stats_2025-10-31_2046.csv,Recovery,19.259,17.778,1.607,1.816,0.815
summary_stats_2025-10-31_2051.csv,Baseline,31.538,-31.026,1.0,1.429,1.139
summary_stats_2025-10-31_2051.csv,Pressure,50.0,-2.5,0.928,2.227,6.041
summary_stats_2025-10-31_2051.csv,Recovery,29.375,-22.5,0.819,2.237,0.702
