wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T20:00:34,0.672,baseline,1,18,25,19,26,140.0,140.0,0.0,0.159742,0.169306,1.059872,20.0,20.0,0.0,OK,148.6163,199.7493,0.1,0,780.21907,1006.586493,1.290133,,,,BAL,20.0,+,
2025-10-31T20:00:34,1.391,baseline,2,54,61,55,62,140.0,140.0,0.0,0.124903,0.135062,1.070604,20.0,20.0,0.0,OK,141.2617,205.5198,0.1,0,751.48162,1067.904975,1.421066,,,,L↓,20.0,+,
2025-10-31T20:00:35,2.125,baseline,3,90,97,92,99,140.0,140.0,0.0,0.078423,0.168884,1.081335,40.0,40.0,0.0,OK,124.2427,200.0147,0.1,0,724.994667,866.394667,1.195036,,,,BAL,40.0,+,9.428
2025-10-31T20:00:36,2.906,baseline,4,128,135,129,136,140.0,140.0,0.0,0.113583,0.122212,1.078654,20.0,20.0,0.0,OK,110.8506,191.0839,0.1,0,729.184,1051.610667,1.442175,,,,L↓,20.0,+,8.66
2025-10-31T20:00:37,3.625,baseline,5,165,172,167,174,140.0,140.0,0.0,0.137234,0.16188,1.081335,40.0,40.0,0.0,OK,112.0615,189.524,0.1,0,802.002667,986.277333,1.229768,,,,BAL,40.0,+,9.798
2025-10-31T20:00:37,4.344,baseline,6,201,208,202,209,140.0,140.0,0.0,0.156633,0.128633,1.081335,20.0,20.0,0.06567844981884893,OK,115.3641,188.0069,0.1,0,646.077333,884.685333,1.369318,0.872685,0.887853,1.017381,BAL,20.0,+,9.428
2025-10-31T20:00:38,5.063,baseline,7,234,241,235,242,140.0,140.0,0.0,0.141159,0.124316,1.075973,20.0,20.0,0.3612813507756213,OK,122.0291,191.1243,0.1,0,674.144,1023.133333,1.517678,0.924518,1.016439,1.099425,BAL,20.0,+,9.035
2025-10-31T20:00:39,5.719,baseline,8,270,277,271,278,140.0,140.0,0.0,0.198513,0.14437,0.880679,20.0,20.0,0.2435802728228771,OK,127.4106,192.9441,0.1,0,655.304,957.32,1.460879,0.90127,0.960748,1.065993,BAL,20.0,+,8.66
2025-10-31T20:00:39,6.453,baseline,9,306,313,308,315,140.0,140.0,0.0,0.090443,0.150152,0.880679,40.0,40.0,0.22864327478657331,OK,124.0088,192.2783,0.1,0,668.6,856.6,1.281185,0.922214,0.868518,0.941776,BAL,40.0,+,9.428
2025-10-31T20:00:40,7.172,baseline,10,342,349,343,350,140.0,140.0,0.0,0.070323,0.095837,0.880679,20.0,20.0,0.036185533995708806,OK,116.8447,189.4196,0.1,0,696.248,965.045333,1.386066,0.979774,0.989119,1.009539,BAL,20.0,+,9.165
2025-10-31T20:00:41,7.891,baseline,11,378,385,380,387,140.0,140.0,0.0,0.129801,0.152743,1.17675,40.0,40.0,0.20831217653440592,OK,115.3944,190.0094,0.1,0,721.912,913.717333,1.265691,1.0,0.946813,0.946813,BAL,40.0,+,9.798
2025-10-31T20:00:42,8.609,baseline,12,413,420,414,421,140.0,140.0,0.0,0.145235,0.105428,1.17675,20.0,20.0,0.3727185053925819,OK,117.5083,191.5104,0.1,0,780.52,1160.757333,1.487159,1.078881,1.189713,1.102729,BAL,20.0,+,9.798
2025-10-31T20:00:42,9.328,baseline,13,449,456,450,457,140.0,140.0,0.0,0.142057,0.155971,1.17675,20.0,20.0,0.12065197715328697,OK,117.7822,196.0665,0.1,0,900.122667,1186.365333,1.318004,1.241558,1.202872,0.968841,BAL,20.0,+,9.165
2025-10-31T20:00:43,10.047,baseline,14,485,492,487,494,140.0,140.0,0.0,0.085688,0.122045,1.17675,40.0,40.0,0.045937424247302114,OK,115.3191,198.9689,0.1,0,872.061333,1180.789333,1.354021,1.199387,1.185018,0.98802,BAL,40.0,+,9.798
2025-10-31T20:00:44,10.766,baseline,15,521,528,523,530,140.0,140.0,0.0,0.065773,0.098688,1.17675,40.0,40.0,0.570497649947666,OK,108.3302,192.7156,0.1,0,951.224,1130.557333,1.188529,1.304505,1.12316,0.860985,BAL,40.0,+,9.798
2025-10-31T20:00:45,11.484,baseline,16,557,564,559,566,140.0,140.0,0.0,0.048427,0.073941,1.424297,40.0,40.0,0.5745504175430344,OK,100.723,183.938,0.1,0,891.346667,1050.896,1.178998,1.203981,1.035508,0.86007,BAL,40.0,+,10.0
2025-10-31T20:00:45,12.141,baseline,17,593,600,593,600,140.0,140.0,0.0,0.123731,0.027158,1.424297,0.0,0.0,0.17411490063752683,OK,100.8374,174.1865,0.1,0,570.746667,824.701333,1.444952,0.78272,0.819305,1.046741,BAL,0.0,+,13.266
2025-10-31T20:00:46,12.813,baseline,18,625,632,626,633,140.0,140.0,0.0,0.152012,0.108304,1.424297,20.0,20.0,0.0010483051874155913,OK,107.1842,174.5288,0.1,0,475.429333,651.368,1.370063,0.65388,0.6537,0.999725,BAL,20.0,+,13.266
2025-10-31T20:00:46,13.469,baseline,19,657,664,658,665,140.0,140.0,0.0,0.326451,0.180934,0.712467,20.0,20.0,1.2546121606216245,OK,122.1925,183.9228,0.1,0,467.186667,457.298667,0.978835,0.6444,0.463661,0.719524,R↓,20.0,+,12.806
2025-10-31T20:00:47,14.125,baseline,20,690,697,691,698,140.0,140.0,0.0,0.205914,0.166362,0.712467,20.0,20.0,0.32557639271155264,OK,129.2101,185.3843,0.1,0,394.024,578.773333,1.468878,0.544643,0.593211,1.089174,BAL,20.0,+,12.806
2025-10-31T20:00:48,14.844,baseline,21,725,732,726,733,140.0,140.0,0.0,0.065277,0.115375,0.712467,20.0,20.0,0.0031381516537696305,OK,122.812,183.3389,0.1,0,398.914667,532.826667,1.335691,0.552581,0.552126,0.999177,BAL,20.0,+,12.0
2025-10-31T20:00:49,15.563,baseline,22,762,769,762,769,140.0,140.0,0.0,0.04308,0.043821,0.807918,0.0,0.0,0.22085449506239282,OK,113.4683,176.4431,0.1,0,373.717333,536.808,1.436401,0.527045,0.558487,1.059656,BAL,0.0,+,14.0
2025-10-31T20:00:49,16.406,baseline,23,802,809,802,809,140.0,140.0,0.0,0.094477,0.035966,0.807918,0.0,0.0,0.022425528507889207,OK,105.0279,162.3438,0.1,0,421.290667,582.68,1.383083,0.605087,0.608658,1.005901,BAL,0.0,+,15.492
2025-10-31T20:00:50,17.125,baseline,24,841,848,842,849,140.0,140.0,0.0,0.042905,0.046523,1.017198,20.0,20.0,0.6092646399386431,OK,103.2535,151.8682,0.1,0,402.426667,644.682667,1.601988,0.587316,0.689118,1.173334,BAL,20.0,+,14.0
2025-10-31T20:00:51,17.969,baseline,25,883,890,883,890,140.0,140.0,0.0,0.083433,0.04526,1.017198,0.0,0.0,0.09371413913874661,OK,98.688,140.6744,0.1,0,462.605333,642.610667,1.389112,0.686211,0.703293,1.024892,BAL,0.0,+,12.806
2025-10-31T20:00:52,18.797,baseline,26,923,930,924,931,140.0,140.0,0.0,0.059406,0.057431,0.966756,20.0,20.0,0.18370855776781808,OK,93.1462,131.1357,0.1,0,450.522667,633.202667,1.405485,0.671048,0.704183,1.049379,BAL,20.0,+,9.798
2025-10-31T20:00:53,19.578,baseline,27,962,969,962,969,140.0,140.0,0.0,0.072302,0.010047,0.542466,0.0,0.0,0.9148404236126249,WARN,89.0538,112.0244,0.1,0,592.354667,616.544,1.040836,0.885963,0.696908,0.786611,BAL,0.0,+,9.798
2025-10-31T20:00:53,20.297,baseline,28,999,1006,999,1006,140.0,140.0,0.0,0.119466,0.051452,0.542466,0.0,0.0,0.4917563829883721,WARN,89.2346,103.1445,0.1,0,555.562667,645.877333,1.162564,0.839279,0.73769,0.878957,BAL,0.0,+,10.0
