wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T20:17:01,0.907,baseline,1,31,38,31,38,140.0,140.0,0.0,0.271594,0.228012,0.839531,0.0,0.0,0.667,OK,66.8609,42.2286,0.10,0,892.413765,708.128352,0.793498,,,,BAL,0.0,+,
2025-10-31T20:17:02,1.704,baseline,2,65,72,66,73,140.0,140.0,0.0,0.210326,0.278600,1.082070,20.0,20.0,0.301,OK,77.9729,51.4352,0.10,0,1066.683576,776.462175,0.727922,,,,R↓,20.0,+,
2025-10-31T20:17:02,2.313,baseline,3,99,106,100,107,140.0,140.0,0.0,0.216304,0.278688,1.288408,20.0,20.0,0.966,OK,89.2932,73.7860,0.10,0,1076.962667,864.626667,0.802838,,,,BAL,20.0,+,9.428
2025-10-31T20:17:03,2.969,baseline,4,133,140,133,140,140.0,140.0,0.0,0.275645,0.205218,1.063970,0.0,0.0,0.236,OK,111.5047,94.4248,0.10,0,1126.664000,894.293333,0.793753,,,,BAL,0.0,+,10.000
2025-10-31T20:17:04,3.625,baseline,5,166,173,167,174,140.0,140.0,0.0,0.214495,0.226053,1.053887,20.0,20.0,0.200,OK,129.6645,104.1142,0.10,0,1196.522667,918.848000,0.767932,,,,R↓,20.0,+,9.798
2025-10-31T20:17:04,4.297,baseline,6,200,207,200,207,140.0,140.0,0.0,0.191403,0.087893,1.053887,0.0,0.0,0.200,OK,134.5415,97.8714,0.10,0,1102.898667,863.898667,0.783298,1.011898,0.999579,0.987826,BAL,0.0,+,10.000
2025-10-31T20:17:05,4.954,baseline,7,233,240,233,240,140.0,140.0,0.0,0.152058,0.041732,0.744502,0.0,0.0,1.125,OK,134.4536,87.9893,0.10,0,830.008000,649.376000,0.782373,0.770693,0.751681,0.975330,BAL,0.0,+,9.897
2025-10-31T20:17:06,5.782,baseline,8,264,271,264,271,140.0,140.0,0.0,0.123084,0.133225,0.744502,0.0,0.0,1.125,OK,135.3745,87.2517,0.10,0,774.394667,560.394667,0.723655,0.722502,0.683258,0.945683,BAL,0.0,+,9.682
2025-10-31T20:17:06,6.204,baseline,9,296,303,296,303,140.0,140.0,0.0,0.111060,0.369183,1.053887,0.0,0.0,0.200,OK,131.8605,99.5880,0.10,0,648.570667,537.928000,0.829405,0.608025,0.692794,1.139416,BAL,0.0,+,9.428
2025-10-31T20:17:07,6.875,baseline,10,330,337,329,336,140.0,140.0,0.0,0.103107,0.289053,1.082399,20.0,-20.0,0.302,OK,124.9133,114.7315,0.10,0,640.234667,547.090667,0.854516,0.653602,0.737026,1.127637,BAL,-20.0,-,9.798
2025-10-31T20:17:07,7.594,baseline,11,364,371,364,371,140.0,140.0,0.0,0.058746,0.069531,1.183579,0.0,0.0,0.642,OK,117.3502,112.8665,0.10,0,658.797333,483.653333,0.734146,0.738220,0.683002,0.925202,BAL,0.0,+,9.798
2025-10-31T20:17:08,8.313,baseline,12,401,408,401,408,140.0,140.0,0.0,0.054656,0.020874,1.183579,0.0,0.0,0.642,OK,109.7979,103.8033,0.10,0,619.018667,487.008000,0.786742,0.718777,0.717505,0.998230,BAL,0.0,+,9.165
2025-10-31T20:17:09,9.032,baseline,13,437,444,437,444,140.0,140.0,0.0,0.080753,0.048227,1.183579,0.0,0.0,0.642,OK,105.0166,97.8180,0.10,0,566.482667,486.706667,0.859173,0.682503,0.749499,1.098163,BAL,0.0,+,8.000
2025-10-31T20:17:10,9.750,baseline,14,474,481,473,480,140.0,140.0,0.0,0.085264,0.068445,0.802739,20.0,-20.0,0.837,OK,101.5732,92.9557,0.10,0,488.056000,396.525333,0.812459,0.608396,0.655538,1.077486,BAL,-20.0,-,9.165
2025-10-31T20:17:10,10.532,baseline,15,511,518,510,517,140.0,140.0,0.0,0.061300,0.061193,0.802739,20.0,-20.0,0.837,OK,105.6457,93.6509,0.10,0,501.845333,380.349333,0.757902,0.648049,0.678717,1.047324,BAL,-20.0,-,9.165
2025-10-31T20:17:11,11.313,baseline,16,551,558,549,556,140.0,140.0,0.0,0.209511,0.177815,0.802739,40.0,-40.0,0.837,OK,111.7924,99.4173,0.10,0,456.456000,377.936000,0.827979,0.636978,0.682512,1.071484,BAL,-40.0,-,13.416
2025-10-31T20:17:12,12.094,baseline,17,590,597,589,596,140.0,140.0,0.0,0.209925,0.146153,0.802739,20.0,-20.0,0.837,OK,120.2515,103.0538,0.10,0,479.880000,346.589333,0.722242,0.728418,0.633514,0.869711,BAL,-20.0,-,13.266
2025-10-31T20:17:13,12.813,baseline,18,627,634,626,633,140.0,140.0,0.0,0.139385,0.091549,0.802739,20.0,-20.0,0.837,OK,116.0362,94.6632,0.10,0,533.557333,351.184000,0.658194,0.816231,0.647333,0.793075,BAL,-20.0,-,12.806
2025-10-31T20:17:13,13.532,baseline,19,661,668,661,668,140.0,140.0,0.0,0.066300,0.087654,0.848711,0.0,0.0,0.625,OK,103.6507,88.1904,0.10,0,587.296000,399.402667,0.680070,0.905524,0.742484,0.819949,BAL,0.0,+,12.806
2025-10-31T20:17:14,14.188,baseline,20,696,703,696,703,140.0,140.0,0.0,0.090278,0.052506,0.696218,0.0,0.0,1.380,OK,94.5138,83.3431,0.10,0,812.645333,507.725333,0.624781,1.243178,0.971116,0.781156,BAL,0.0,+,13.266
2025-10-31T20:17:16,16.297,baseline,21,799,806,798,805,140.0,140.0,0.0,0.247090,0.123539,0.656811,20.0,-20.0,1.602,WARN,83.4759,66.3389,0.10,0,469.968000,425.768000,0.905951,0.724621,0.838579,1.157266,BAL,-20.0,-,12.806
2025-10-31T20:17:18,17.610,baseline,22,865,872,864,871,140.0,140.0,0.0,0.263381,0.587941,0.656811,20.0,-20.0,1.602,WARN,113.7205,89.2107,0.10,0,449.354667,273.898667,0.609538,0.697320,0.550698,0.789735,BAL,-20.0,-,12.000
2025-10-31T20:17:18,18.266,baseline,23,900,907,900,907,140.0,140.0,0.0,0.114370,0.126787,1.108568,0.0,0.0,0.393,OK,123.5491,97.6291,0.10,0,546.773333,352.493333,0.644679,0.854020,0.723794,0.847514,BAL,0.0,+,12.000
2025-10-31T20:17:19,19.000,baseline,24,936,943,936,943,140.0,140.0,0.0,0.057296,0.075960,1.108568,0.0,0.0,0.393,OK,125.4861,100.8527,0.10,0,624.770667,390.213333,0.624571,0.987776,0.801494,0.811413,BAL,0.0,+,12.806
2025-10-31T20:17:20,19.719,baseline,25,972,979,972,979,140.0,140.0,0.0,0.046018,0.035800,1.108568,0.0,0.0,0.393,OK,123.3650,100.9120,0.10,0,732.229333,462.490667,0.631620,1.143689,0.950245,0.830860,BAL,0.0,+,13.266
2025-10-31T20:17:20,20.547,baseline,26,1008,1015,1008,1015,140.0,140.0,0.0,0.063014,0.005539,1.108568,0.0,0.0,0.393,OK,120.3410,98.6094,0.10,0,851.456000,541.413333,0.635868,1.321310,1.112057,0.841632,BAL,0.0,+,9.798
2025-10-31T20:17:21,21.157,baseline,27,1043,1050,1044,1051,140.0,140.0,0.0,0.155620,0.049481,0.777965,20.0,20.0,0.957,OK,121.2114,93.3887,0.10,0,912.960000,571.133333,0.625584,1.407649,1.172739,0.833119,BAL,20.0,+,9.798
2025-10-31T20:17:22,21.875,baseline,28,1078,1085,1079,1086,140.0,140.0,0.0,0.157183,0.157007,0.777965,20.0,20.0,0.957,OK,118.6731,92.6009,0.10,0,902.426667,664.992000,0.736893,1.380524,1.337026,0.968491,BAL,20.0,+,9.798
2025-10-31T20:17:22,22.532,baseline,29,1112,1119,1112,1119,140.0,140.0,0.0,0.140482,0.124425,0.777965,0.0,0.0,0.957,OK,114.0677,91.6810,0.10,0,718.181333,533.837333,0.743318,1.090140,1.051429,0.964490,BAL,0.0,+,9.798
2025-10-31T20:17:23,23.188,baseline,30,1144,1151,1144,1151,140.0,140.0,0.0,0.120918,0.180536,0.885698,0.0,0.0,0.463,OK,115.0521,95.5887,0.10,0,635.165333,443.272000,0.697884,0.971670,0.891238,0.917222,BAL,0.0,+,9.798
2025-10-31T20:17:24,23.797,baseline,31,1175,1182,1176,1183,140.0,140.0,0.0,0.120101,0.257929,0.998881,20.0,20.0,0.004,OK,122.6904,103.2630,0.10,0,469.000000,372.661333,0.794587,0.723129,0.765206,1.058188,BAL,20.0,+,9.798
2025-10-31T20:17:24,24.454,baseline,32,1208,1215,1208,1215,140.0,140.0,0.0,0.138531,0.106581,0.998881,0.0,0.0,0.004,OK,129.4706,108.9331,0.10,0,416.634667,345.408000,0.829043,0.646544,0.709465,1.097318,BAL,0.0,+,9.165
2025-10-31T20:17:25,25.110,baseline,33,1242,1249,1241,1248,140.0,140.0,0.0,0.046713,0.074086,1.493039,20.0,-20.0,1.528,WARN,130.5565,114.1048,0.10,0,358.429333,301.821333,0.842066,0.559841,0.620130,1.107690,BAL,-20.0,-,9.798
2025-10-31T20:17:26,25.766,baseline,34,1275,1282,1275,1282,140.0,140.0,0.0,0.020060,0.036156,1.585965,0.0,0.0,1.758,WARN,127.4754,115.4944,0.10,0,282.080000,279.381333,0.990433,0.442340,0.575830,1.301783,L↓,0.0,+,9.798
2025-10-31T20:17:26,26.438,baseline,35,1307,1314,1306,1313,140.0,140.0,0.0,0.013292,0.037614,1.802402,20.0,-20.0,2.245,WARN,114.7967,108.9349,0.10,0,332.653333,282.829333,0.850222,0.523727,0.584777,1.116568,BAL,-20.0,-,10.000
2025-10-31T20:17:27,27.032,baseline,36,1338,1345,1338,1345,140.0,140.0,0.0,0.051989,0.101134,1.802402,0.0,0.0,2.245,WARN,98.1956,90.2820,0.10,0,392.618667,294.890667,0.751087,0.623236,0.623353,1.000187,BAL,0.0,+,10.000
2025-10-31T20:17:28,27.688,baseline,37,1370,1377,1370,1377,140.0,140.0,0.0,0.112117,0.169918,1.802402,0.0,0.0,2.245,WARN,85.9431,71.7005,0.10,0,360.725333,336.216000,0.932055,0.577372,0.726968,1.259098,BAL,0.0,+,9.798
2025-10-31T20:17:28,28.344,baseline,38,1404,1411,1404,1411,140.0,140.0,0.0,0.222383,0.127623,1.802402,0.0,0.0,2.245,WARN,83.7016,66.6733,0.10,0,331.088000,285.626667,0.862691,0.532386,0.630688,1.184644,BAL,0.0,+,9.165
2025-10-31T20:17:29,29.063,baseline,39,1438,1445,1438,1445,140.0,140.0,0.0,0.028281,0.104716,1.945317,0.0,0.0,2.536,WARN,82.3728,64.1095,0.10,0,228.069333,260.154667,1.140682,0.368437,0.586896,1.592935,L↓,0.0,+,9.165
2025-10-31T20:17:30,29.735,baseline,40,1471,1478,1470,1477,140.0,140.0,0.0,0.006510,0.065055,1.945317,20.0,-20.0,2.536,WARN,80.5670,63.4038,0.10,0,274.765333,237.176000,0.863195,0.455545,0.545834,1.198201,BAL,-20.0,-,9.798
2025-10-31T20:17:30,30.329,baseline,41,1503,1510,1503,1510,140.0,140.0,0.0,0.042342,0.116803,2.000000,0.0,0.0,2.642,WARN,79.2683,65.3681,0.10,0,305.208000,283.978667,0.930443,0.519683,0.666980,1.283435,BAL,0.0,+,9.165
