wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T19:48:36,1.000,baseline,1,36,43,35,42,140.0,140.0,0.0,0.169399,0.187642,1.107690,20.0,-20.0,0.390,OK,33.1577,76.2532,0.10,0,582.467927,887.783008,1.524175,,,,L↓,-20.0,-,
2025-10-31T19:48:37,1.859,baseline,2,77,84,76,83,140.0,140.0,0.0,0.224844,0.185279,0.965861,20.0,-20.0,0.132,OK,43.0539,70.4796,0.10,0,504.901658,690.060879,1.366723,,,,L↓,-20.0,-,
2025-10-31T19:48:38,2.515,baseline,3,112,119,111,118,140.0,140.0,0.0,0.251967,0.223499,0.887018,20.0,-20.0,0.457,OK,59.6156,90.2532,0.10,0,542.864000,819.253333,1.509132,,,,L↓,-20.0,-,0.000
2025-10-31T19:48:38,3.234,baseline,4,146,153,146,153,140.0,140.0,0.0,0.205443,0.279843,0.997354,0.0,0.0,0.010,OK,74.6304,114.9888,0.10,0,571.170667,802.888000,1.405688,,,,L↓,0.0,+,8.660
2025-10-31T19:48:39,3.906,baseline,5,181,188,181,188,140.0,140.0,0.0,0.163544,0.253811,1.107690,0.0,0.0,0.390,OK,83.4143,133.6784,0.10,0,575.026667,846.608000,1.472293,,,,L↓,0.0,+,9.798
2025-10-31T19:48:40,4.625,baseline,6,216,223,215,222,140.0,140.0,0.0,0.117064,0.136368,1.164897,20.0,-20.0,0.582,OK,83.8729,136.5455,0.10,0,485.021333,833.378667,1.718231,0.870747,1.008547,1.158255,BAL,-20.0,-,9.428
2025-10-31T19:48:41,5.515,baseline,7,254,261,253,260,140.0,140.0,0.0,0.094286,0.085799,1.164897,20.0,-20.0,0.582,OK,79.2849,126.9910,0.10,0,360.941333,709.045333,1.964434,0.664884,0.865478,1.301698,L↓,-20.0,-,9.035
2025-10-31T19:48:43,7.437,baseline,8,357,364,357,364,140.0,140.0,0.0,0.014396,0.162137,1.362147,0.0,0.0,1.178,OK,108.9369,135.2097,0.10,0,446.656000,636.450667,1.424924,0.852588,0.784704,0.920380,BAL,0.0,+,9.682
2025-10-31T19:48:43,8.156,baseline,9,392,399,391,398,140.0,140.0,0.0,0.107261,0.154309,1.438634,20.0,-20.0,1.386,OK,107.3901,139.0861,0.10,0,545.301333,767.074667,1.406699,1.004490,0.955394,0.951124,BAL,-20.0,-,9.428
2025-10-31T19:48:44,8.937,baseline,10,431,438,427,434,140.0,140.0,0.0,0.043336,0.107156,1.438634,80.0,-80.0,2.986,WARN,112.5683,135.5238,0.10,0,747.469333,682.186667,0.912662,1.373816,0.869048,0.632580,R↓,-80.0,-,21.909
2025-10-31T19:48:45,9.609,baseline,11,466,473,466,473,140.0,140.0,0.0,0.142665,0.202659,1.438634,0.0,0.0,1.386,OK,112.4613,136.2796,0.10,0,635.797333,781.210667,1.228710,1.165956,1.000000,0.857665,BAL,0.0,+,22.716
2025-10-31T19:48:46,10.312,baseline,12,500,507,500,507,140.0,140.0,0.0,0.189498,0.211887,1.438634,0.0,0.0,1.386,OK,120.9616,143.6393,0.10,0,436.954667,782.114667,1.789922,0.803103,1.000578,1.245890,BAL,0.0,+,23.324
2025-10-31T19:48:46,10.984,baseline,13,535,542,534,541,140.0,140.0,0.0,0.118196,0.168385,1.424627,20.0,-20.0,1.349,OK,125.6794,148.6456,0.10,0,530.429333,909.080000,1.713857,0.977094,1.162336,1.189584,BAL,-20.0,-,23.324
2025-10-31T19:48:47,11.765,baseline,14,570,577,569,576,140.0,140.0,0.0,0.058569,0.138955,1.424627,20.0,-20.0,1.349,OK,127.5063,156.4518,0.10,0,633.370667,999.146667,1.577507,1.164107,1.260751,1.083019,BAL,-20.0,-,22.716
2025-10-31T19:48:48,12.421,baseline,15,607,614,606,613,140.0,140.0,0.0,0.021933,0.089181,1.424627,20.0,-20.0,1.349,OK,121.2646,154.2213,0.10,0,475.554667,824.978667,1.734771,0.876011,1.027514,1.172947,BAL,-20.0,-,21.909
2025-10-31T19:48:48,13.140,baseline,16,641,648,641,648,140.0,140.0,0.0,0.076017,0.071409,1.424627,0.0,0.0,1.349,OK,116.9051,146.0262,0.10,0,363.552000,666.266667,1.832659,0.677451,0.840714,1.240995,BAL,0.0,+,22.716
