timestamp,sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm
44:56.7,2412.05,0,1045.95,0
44:56.7,2204.35,0,1004.2,0
44:56.7,2024.65,0,962.7,0
44:56.7,1839.4,0,911.9,0
44:56.7,1668.05,0,837.05,0
44:56.7,1499.6,0,785,0
44:56.7,1322.65,0,733.7,0
44:56.7,1154.9,0,666,0
44:56.7,986.55,0,609.35,0
44:56.7,854.85,0,548,0
44:56.7,736.2,0,509.75,0
44:56.7,620.5,0,455.4,0
44:56.7,522.85,0,407.6,0
44:56.7,431.9,0,352.7,0
44:56.7,367.25,0,300.55,0
44:56.7,278.1,0,242.45,0
44:56.7,190.35,0,186.3,0
44:56.7,98.2,0,132.95,0
44:56.7,-9.55,0,87,0
44:56.7,-128.3,0,32.85,0
44:56.7,-126.7,0,36.4,0
44:56.7,-139.35,0,33.65,0
44:56.7,-137.8,0,60.15,0
44:56.7,-139.45,0,63.6,0
44:56.7,-142.75,0,88.55,0
44:56.7,-150.55,0,93.15,0
44:56.7,-161.4,0,96.5,0
44:56.7,-163.55,0,100.65,0
44:56.7,-177.7,0,100.35,0
44:56.7,-203.5,0,98.4,0
44:56.7,-234.05,0,91.3,0
44:56.7,-263.25,0,73.8,0
44:56.7,-306.35,0,84.8,0
44:56.7,-325.1,0,76.9,0
44:56.7,-345.8,0,72.1,0
44:56.7,-356.05,0,71.85,0
44:56.7,-348.55,0,73.15,0
44:56.7,-347.1,0,87.45,0
44:56.7,-354,0,67.9,0
44:56.7,-348.45,0,76.65,0
44:56.7,-335.25,0,77.25,0
44:56.7,-322.05,0,69.75,0
44:56.7,-310,0,100.7,0
44:56.7,-296.25,0,82.45,0
44:56.7,-277.1,0,86.15,0
44:56.7,-265.35,0,88.85,0
44:56.7,-246.45,0,93.4,0
44:56.7,-217.4,0,96,0
44:56.7,-186.85,0,95.6,0
44:56.7,-171.7,0,96.1,0
44:56.7,-157.3,0,101.9,0
44:56.7,-146.55,0,97.9,0
44:56.7,-142.1,0,94.55,0
44:56.7,-127.45,0,92.8,0
44:56.7,-125.35,0,98.4,0
44:56.7,-121.55,0,103.6,0
44:56.7,-120.15,0,104.7,0
44:56.7,-121.45,0,128.25,0
44:56.7,-112.55,0,113.4,0
44:56.7,-127.65,0,108.15,0
44:56.7,-121.45,0,102.15,0
44:56.7,-122.55,0,96,0
44:56.7,-121.15,0,87.85,0
44:56.7,-129.65,0,78.25,0
44:56.7,-116.85,0,78.75,0
44:56.7,-122.2,0,61.25,0
44:56.7,-109.25,0,51.5,0
44:56.7,-98.35,0,53.8,0
44:56.7,-82.6,0,40.8,0
44:56.7,-67.7,0,39.95,0
44:56.7,-38.4,0,22.45,0
44:56.7,-18.4,0,29.6,0
44:56.7,6.75,0,29.75,0
44:56.7,47.75,0,22.4,0
44:56.7,100.3,0,34.95,0
44:56.7,136.25,0,21.75,0
44:56.7,175.2,0,26.7,0
44:56.7,216.75,0,41.5,0
44:56.7,252.65,0,44.8,0
44:56.7,279,0,38.55,0
44:56.7,302.9,0,46.95,0
44:56.7,322.1,0,43.6,0
44:56.7,335.9,0,55.5,0
44:56.7,344.9,0,64.7,0
44:56.7,335.1,0,54.7,0
44:56.7,317.9,0,58.8,0
44:56.7,290.75,35.29,59.5,0
44:56.7,263.55,35.29,70.85,0
44:56.7,235.6,35.29,58.25,0
44:56.7,192.7,35.29,45.35,0
44:56.7,163.05,35.29,42.7,0
44:56.7,127.6,35.29,53.85,0
44:56.7,118.4,35.29,35,0
44:56.7,97.05,35.29,38.6,0
44:56.7,93.5,35.29,30.3,0
44:56.7,86.3,35.29,32.2,0
44:56.7,107.35,35.29,21.85,0
44:56.7,132.75,35.29,32.65,0
44:56.7,161.2,35.29,33.55,0
44:56.7,172.3,35.29,19.8,0
44:56.7,188.8,35.29,18.55,0
44:56.7,205.6,35.29,23.85,0
44:56.7,205.45,35.29,15.25,0
44:56.7,192.95,35.29,13.35,0
44:56.7,177.4,35.29,5.45,0
44:56.7,156.8,35.29,-10.25,0
44:56.7,142.35,35.29,-6.85,0
44:56.7,114.75,35.29,-10.4,0
44:56.7,110.75,35.29,-2.7,0
44:56.7,76.1,35.29,-32.85,0
44:56.7,56.65,35.29,-26.15,0
44:56.7,35.15,35.29,-18.9,0
44:56.7,18.7,35.29,-9.8,0
44:56.7,6.4,35.29,-14.95,0
44:56.7,-6.85,35.29,-5.75,0
44:56.7,-24.05,35.29,4.3,0
44:56.7,-35,35.29,-9.25,0
44:56.7,-51.1,35.29,7.15,0
44:56.7,-68.95,35.29,9.7,0
44:56.7,-68.3,35.29,15.45,0
44:56.7,-78.25,35.29,25.75,0
44:56.7,-83.9,35.29,17.9,0
44:56.7,-80.55,35.29,21.55,0
44:56.7,-74.05,35.29,39.25,0
44:56.7,-77.1,35.29,37.65,0
44:56.7,-61.95,35.29,41,0
44:56.7,-62.5,35.29,42.35,0
44:56.7,-57.75,35.29,40.45,0
44:56.7,-50.6,35.29,42.7,0
44:56.7,-53.15,35.29,43.15,0
44:56.7,-50.9,35.29,33.2,0
44:56.7,-45.15,35.29,13.4,0
44:56.7,-17.85,35.29,32.9,0
44:56.7,-24.1,35.29,31,0
44:56.7,-14.8,35.29,31.35,0
44:56.7,10.9,35.29,32.95,0
44:56.7,14.3,35.29,26.95,0
44:56.7,24.6,35.29,35.15,0
44:56.7,36.4,35.29,23.85,0
44:56.7,33.3,35.29,18.95,0
44:56.7,33.45,35.29,23.25,0
44:56.7,34.85,35.29,22.05,0
44:56.7,43.5,35.29,13.35,0
44:56.7,30.65,35.29,24.9,0
44:56.7,33,35.29,31.95,0
44:56.7,35.5,35.29,18.85,0
44:56.7,25.95,35.29,28.35,0
44:56.7,34.7,35.29,35.4,0
44:56.7,24.8,35.29,16.55,0
44:56.7,16.7,35.29,20.65,0
44:56.7,11.5,35.29,20.35,0
44:56.8,5.45,35.29,21.95,0
44:56.8,6.4,35.29,17.8,0
44:56.8,6.65,35.29,15.75,0
44:56.8,1.3,35.29,15.8,0
44:56.8,-0.85,35.29,17.9,0
44:56.8,-1.95,35.29,8.3,0
44:56.8,0.25,35.29,3.5,0
44:56.8,-1.85,35.29,3.25,0
44:56.8,5.5,35.29,6.65,0
44:56.8,-3.65,35.29,2.55,0
44:56.8,-6.5,35.29,-1.3,0
44:56.8,-4.85,35.29,1.35,0
44:56.8,-11.4,35.29,-12.6,0
44:56.8,-18.3,35.29,-7.3,0
44:56.8,-11.25,35.29,-0.9,0
44:56.8,-19.1,35.29,1,0
44:56.8,-1.2,35.29,-12.85,0
44:56.8,3.15,35.29,1.7,0
44:56.8,30.8,35.29,-8.9,0
44:56.8,50.25,35.29,3.95,0
44:56.8,98.85,35.29,8.8,0
44:56.8,125.9,35.29,18.05,0
44:56.8,163.75,35.29,17.3,0
44:56.8,178.2,35.29,20.45,0
44:56.8,206.55,35.29,14.1,0
44:56.8,207.2,35.29,16.2,0
44:56.8,196.85,48.48,6.55,0
44:56.8,183.4,48.48,10.7,0
44:56.8,169.4,48.48,12,0
44:56.8,129.35,48.48,15.9,0
44:56.8,96.25,48.48,10.85,0
44:56.8,67.15,48.48,22.35,0
44:56.8,34.85,48.48,15.4,0
44:56.8,2.35,48.48,23.2,0
44:56.8,-21.05,48.48,30.85,0
44:56.8,-51.7,48.48,40,0
44:56.8,-75.55,48.48,35.45,0
44:56.8,-93.5,48.48,46.9,0
44:56.8,-113.1,48.48,39.95,0
44:56.8,-138.3,48.48,49.95,0
44:56.8,-150.95,48.48,45.25,0
44:56.8,-137.3,48.48,56.3,0
44:56.8,-141.65,48.48,48.55,0
44:56.8,-142.2,48.48,48.8,0
44:56.8,-135.4,48.48,50.45,0
44:56.8,-125.7,48.48,56.7,0
44:56.8,-103.3,48.48,46.75,0
44:56.8,-80.4,48.48,50.6,0
44:56.8,-61.85,48.48,48.4,0
44:56.8,-53.55,48.48,52.95,0
44:56.8,-28.15,48.48,46.35,0
44:56.8,-20.65,48.48,49,0
44:56.8,-8.55,48.48,51,0
44:56.8,-7.4,48.48,43.6,0
44:56.8,-2.05,48.48,35.85,0
44:56.8,2.1,48.48,38.35,0
44:56.8,6.25,48.48,39.5,0
44:56.9,-12.2,48.48,32.55,0
44:56.9,-17.15,48.48,38.9,0
44:56.9,-28.7,48.48,35.9,0
44:56.9,-34.7,48.48,37.55,0
44:56.9,-53.2,48.48,18.75,0
44:56.9,-57,48.48,33.8,0
44:56.9,-69.55,48.48,37.65,0
44:56.9,-82.55,48.48,28.1,0
44:56.9,-109.15,48.48,28.9,0
44:56.9,-103.3,48.48,40.65,0
44:57.0,-108.35,48.48,37.8,0
44:57.0,-118.2,48.48,29.35,0
44:57.0,-116.85,48.48,33.05,0
44:57.0,-121.95,48.48,17.35,0
44:57.0,-122.55,48.48,23.6,0
44:57.0,-120.45,48.48,20.3,0
44:57.0,-126.7,48.48,4.6,0
44:57.0,-114.95,48.48,14.15,0
44:57.0,-107.95,48.48,1.6,0
44:57.0,-85.45,48.48,8.9,0
44:57.1,-85.5,48.48,-2.45,0
44:57.1,-88.25,48.48,0.55,0
44:57.1,-87.2,48.48,-8,0
44:57.1,-83.2,48.48,-2.55,0
44:57.1,-75.2,48.48,-14.35,0
44:57.1,-64.6,48.48,-7.55,0
44:57.1,-58.65,48.48,-15.9,0
44:57.1,-63.85,48.48,-8.9,0
44:57.1,-62.35,48.48,-3.95,0
44:57.1,-65.3,48.48,-5.1,0
44:57.2,-66.4,48.48,-0.4,0
44:57.2,-64.15,48.48,-6.6,0
44:57.2,-57.25,48.48,-6.4,0
44:57.2,-40.65,48.48,-14.4,0
44:57.2,-18.5,48.48,-7.25,0
44:57.2,4.2,48.48,5.25,0
44:57.2,37.35,48.48,6,0
44:57.2,66,48.48,17.75,0
44:57.2,110,48.48,24.55,0
44:57.2,156.9,48.48,22.85,0
44:57.3,188.25,48.48,24.5,0
44:57.3,212.15,48.48,31.9,0
44:57.3,219.55,64.92,31.8,0
44:57.3,223.7,64.92,22.4,0
44:57.3,218.3,64.92,24.25,0
44:57.3,215.35,64.92,27.2,0
44:57.3,194.55,64.92,17.1,0
44:57.3,184.75,64.92,20.1,0
44:57.3,152.5,64.92,10.75,0
44:57.3,144.3,64.92,15,0
44:57.4,125.75,64.92,22,0
44:57.4,101.35,64.92,10.15,0
44:57.4,77.35,64.92,16.8,0
44:57.4,71.4,64.92,24.45,0
44:57.4,57.3,64.92,20.45,0
44:57.4,41.3,64.92,27.55,0
44:57.4,24.2,64.92,9.5,0
44:57.4,-2.55,64.92,20.4,0
44:57.4,-24.15,64.92,21.55,0
