timestamp,sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm,status
00:15.8,3890.25,0,3890.25,0,SKIP
00:15.8,3685.5,0,3685.5,0,SKIP
00:15.8,3480.75,0,3480.75,0,SKIP
00:15.8,3276,0,3276,0,SKIP
00:15.8,3071.25,0,3071.25,0,SKIP
00:15.8,2866.5,0,2866.5,0,SKIP
00:15.9,2661.75,0,2661.75,0,SKIP
00:15.9,2457,0,2457,0,SKIP
00:15.9,2252.25,0,2252.25,0,SKIP
00:15.9,2047.5,0,2047.5,0,SKIP
00:15.9,1842.75,0,1842.75,0,SKIP
00:15.9,1638,0,1638,0,SKIP
00:15.9,1433.25,0,1433.25,0,SKIP
00:15.9,1228.5,0,1228.5,0,SKIP
00:15.9,1023.75,0,1023.75,0,SKIP
00:15.9,819,0,819,0,SKIP
00:15.9,614.25,0,614.25,0,SKIP
00:15.9,409.5,0,409.5,0,SKIP
00:15.9,204.75,0,204.75,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
