timestamp,sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm,delta,median_delta,iqr_delta,valid_ratio,status
21:53.7,702.4,34.74,304.03,35.83,-70,-10,nan,1,OK
21:53.7,739.84,34.74,370.38,35.83,-70,-10,nan,1,OK
21:53.8,756.59,34.74,429.65,35.83,-70,-10,nan,1,OK
21:53.8,754.41,34.74,479.51,35.83,-70,-10,nan,1,OK
21:53.8,732.24,34.74,514.34,35.83,-70,-10,nan,1,OK
21:53.8,695.11,34.74,535.67,35.83,-70,-10,nan,1,OK
21:53.8,644.61,34.74,543.46,35.83,-70,-10,nan,1,OK
21:53.8,583.5,34.74,542.07,35.83,-70,-10,nan,1,OK
21:53.8,513.91,34.74,525.78,35.83,-70,-10,nan,1,OK
21:53.8,440.37,34.74,499.45,35.83,-70,-10,nan,1,OK
21:53.8,364.95,34.74,465.06,35.83,-70,-10,nan,1,OK
21:53.8,290.43,34.74,425.08,35.83,-70,-10,nan,1,OK
21:53.9,218.6,34.74,375.41,35.83,-70,-10,nan,1,OK
21:53.9,148.37,34.74,326.43,35.83,-70,-10,nan,1,OK
21:53.9,82.99,34.74,277.88,35.83,-70,-10,nan,1,OK
21:53.9,21.95,34.74,226.86,35.83,-70,-10,nan,1,OK
21:53.9,-34.36,34.74,180.71,35.83,-70,-10,nan,1,OK
21:53.9,-82.96,34.74,136.67,35.83,-70,-10,nan,1,OK
21:53.9,-125.65,34.74,96.89,35.83,-70,-10,nan,1,OK
21:53.9,-161.54,34.74,61.62,35.83,-70,-10,nan,1,OK
21:53.9,-189.59,34.74,33.92,35.83,-70,-10,nan,1,OK
21:53.9,-209.86,34.74,8.4,35.83,-70,-10,nan,1,OK
21:53.9,-225.56,34.74,-12.67,35.83,-70,-10,nan,1,OK
21:54.0,-233.27,34.74,-29.36,35.83,-70,-10,nan,1,OK
21:54.0,-235.4,34.74,-42.06,35.83,-70,-10,nan,1,OK
21:54.0,-235.59,34.74,-50.93,35.83,-70,-10,nan,1,OK
21:54.0,-233.68,34.74,-57.51,35.83,-70,-10,nan,1,OK
21:54.0,-227.35,34.74,-61.38,35.83,-70,-10,nan,1,OK
21:54.0,-219.11,34.74,-61.91,35.83,-70,-10,nan,1,OK
21:54.0,-213.08,34.74,-60.22,35.83,-70,-10,nan,1,OK
21:54.0,-204.19,34.74,-61.12,35.83,-70,-10,nan,1,OK
21:54.0,-196.1,34.74,-59.58,35.83,-70,-10,nan,1,OK
21:54.1,-191.11,34.74,-60.19,35.83,-70,-10,nan,1,OK
21:54.1,-187.9,34.74,-62.82,35.83,-70,-10,nan,1,OK
21:54.1,-186.82,34.74,-69.07,35.83,-70,-10,nan,1,OK
21:54.1,-189.6,34.74,-72.28,35.83,-70,-10,nan,1,OK
21:54.1,-192.95,34.74,-78.54,35.83,-70,-10,nan,1,OK
21:54.1,-198.36,34.74,-81.45,35.83,-70,-10,nan,1,OK
21:54.1,-205.05,34.74,-87.42,35.83,-70,-10,nan,1,OK
21:54.1,-210.32,34.74,-91.92,35.83,-70,-10,nan,1,OK
21:54.1,-215.7,34.74,-100,35.83,-70,-10,nan,1,OK
21:54.1,-222.98,34.74,-109.3,35.83,-70,-10,nan,1,OK
21:54.2,-227.32,34.74,-116.13,35.83,-70,-10,nan,1,OK
21:54.2,-231.51,34.74,-126.1,35.83,-70,-10,nan,1,OK
21:54.2,-233.32,34.74,-138.82,35.83,-70,-10,nan,1,OK
21:54.2,-233.25,34.74,-150.09,35.83,-70,-10,nan,1,OK
21:54.2,-231.36,34.74,-159.2,35.83,-70,-10,nan,1,OK
21:54.2,-229.65,34.74,-171.9,35.83,-70,-10,nan,1,OK
21:54.2,-226.69,34.74,-180.46,35.83,-70,-10,nan,1,OK
21:54.2,-223.22,34.74,-186.12,35.83,-70,-10,nan,1,OK
21:54.2,-219.49,34.74,-188.96,35.83,-70,-10,nan,1,OK
21:54.2,-212.49,34.74,-189.56,35.83,-70,-10,nan,1,OK
21:54.2,-204.24,34.74,-188.3,35.83,-70,-10,nan,1,OK
21:54.3,-195.65,34.74,-182.13,35.83,-70,-10,nan,1,OK
21:54.3,-188.37,34.74,-173.58,35.83,-70,-10,nan,1,OK
21:54.3,-179.12,34.74,-163.01,35.83,-70,-10,nan,1,OK
21:54.3,-172.04,34.74,-151.27,35.83,-70,-10,nan,1,OK
21:54.3,-165.44,34.74,-139.04,35.83,-70,-10,nan,1,OK
21:54.3,-156.16,34.74,-132.61,35.83,-70,-10,nan,1,OK
21:54.3,-147.34,34.74,-123.47,35.83,-70,-10,nan,1,OK
21:54.3,-138.62,34.74,-116.92,35.83,-70,-10,nan,1,OK
