wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-28T21:50:10,13.843,none,1744,1826,0.000,0.000,1,1,1
2025-10-28T21:50:10,13.859,none,1759,1830,3.750,1.000,2,2,1
2025-10-28T21:50:10,13.875,none,1763,1828,5.056,0.667,3,3,1
2025-10-28T21:50:10,13.906,none,1739,1802,0.729,-4.375,4,4,1
2025-10-28T21:50:10,13.922,none,1706,1762,-6.657,-13.020,5,5,1
2025-10-28T21:50:10,13.937,none,1685,1732,-16.190,-25.953,6,6,1
2025-10-28T21:50:10,13.968,none,1694,1743,-24.319,-35.553,7,7,1
2025-10-28T21:50:10,13.984,none,1727,1791,-25.877,-35.203,8,8,1
2025-10-28T21:50:10,14.000,none,1745,1840,-20.249,-22.281,9,9,1
2025-10-28T21:50:10,14.031,none,1745,1887,-10.149,3.819,10,10,1
2025-10-28T21:50:10,14.047,none,1771,1959,6.711,44.916,11,11,1
2025-10-28T21:50:11,14.062,none,1805,2011,26.290,89.466,12,12,1
2025-10-28T21:50:11,14.093,none,1830,2043,42.884,127.654,13,13,1
2025-10-28T21:50:11,14.109,none,1831,2032,55.278,152.375,14,14,1
2025-10-28T21:50:11,14.125,none,1806,1979,62.285,157.395,15,15,1
2025-10-28T21:50:11,14.156,none,1790,1935,61.207,141.231,16,16,1
2025-10-28T21:50:11,14.172,none,1807,1923,57.340,114.917,17,17,1
2025-10-28T21:50:11,14.187,none,1819,1915,51.615,83.400,18,18,1
2025-10-28T21:50:11,14.203,none,1801,1888,42.907,51.194,19,19,1
2025-10-28T21:50:11,14.218,none,1786,1851,36.710,24.024,20,20,1
2025-10-28T21:50:11,14.234,none,1777,1827,32.241,2.148,21,21,1
2025-10-28T21:50:11,14.265,none,1779,1841,25.240,-13.642,22,22,1
2025-10-28T21:50:11,14.281,none,1815,1878,23.274,-20.047,23,23,1
2025-10-28T21:50:11,14.297,none,1822,1889,26.261,-18.883,24,24,1
2025-10-28T21:50:11,14.328,none,1793,1861,26.479,-16.097,25,25,1
2025-10-28T21:50:11,14.343,none,1776,1844,25.167,-12.167,26,26,1
2025-10-28T21:50:11,14.359,none,1781,1842,24.500,-11.524,27,27,1
2025-10-28T21:50:11,14.390,none,1787,1839,18.143,-18.613,28,28,1
2025-10-28T21:50:11,14.406,none,1787,1812,10.728,-32.775,29,29,1
2025-10-28T21:50:11,14.422,none,1746,1775,1.267,-48.224,30,30,1
2025-10-28T21:50:11,14.453,none,1726,1745,-8.467,-65.730,31,31,1
2025-10-28T21:50:11,14.468,none,1746,1747,-14.982,-81.950,32,32,1
2025-10-28T21:50:11,14.484,none,1767,1749,-18.376,-96.745,33,33,1
2025-10-28T21:50:11,14.515,none,1747,1727,-25.540,-110.195,34,34,1
2025-10-28T21:50:11,14.531,none,1728,1708,-28.252,-119.853,35,35,1
2025-10-28T21:50:11,14.547,none,1708,1692,-30.932,-126.629,36,36,1
2025-10-28T21:50:11,14.578,none,1711,1699,-36.870,-132.346,37,37,1
2025-10-28T21:50:11,14.578,none,1725,1712,-44.018,-135.859,38,38,1
2025-10-28T21:50:11,14.593,none,1709,1696,-50.222,-138.208,39,39,1
2025-10-28T21:50:11,14.625,none,1667,1676,-60.787,-140.797,40,40,1
2025-10-28T21:50:11,14.640,none,1666,1701,-67.428,-135.428,41,41,1
2025-10-28T21:50:11,14.656,none,1701,1770,-67.699,-118.174,42,42,1
2025-10-28T21:50:11,14.687,none,1744,1856,-62.325,-87.139,43,43,1
2025-10-28T21:50:11,14.703,none,1777,1923,-47.528,-40.669,44,44,1
2025-10-28T21:50:11,14.718,none,1773,1947,-25.682,13.287,45,45,1
2025-10-28T21:50:11,14.750,none,1769,1956,-4.949,62.871,46,46,1
2025-10-28T21:50:11,14.765,none,1789,1975,12.378,101.586,47,47,1
2025-10-28T21:50:11,14.781,none,1805,1965,24.049,120.709,48,48,1
2025-10-28T21:50:11,14.812,none,1788,1913,25.696,116.173,49,49,1
2025-10-28T21:50:11,14.828,none,1764,1855,23.396,95.710,50,50,1
2025-10-28T21:50:11,14.843,none,1744,1811,18.009,65.309,51,51,1
2025-10-28T21:50:11,14.875,none,1750,1802,9.992,30.059,52,52,1
2025-10-28T21:50:11,14.890,none,1773,1810,3.518,-0.942,53,53,1
2025-10-28T21:50:11,14.906,none,1755,1810,-3.022,-21.134,54,54,1
2025-10-28T21:50:11,14.922,none,1726,1803,-10.423,-30.939,55,55,1
2025-10-28T21:50:11,14.937,none,1730,1826,-12.984,-27.418,56,56,1
2025-10-28T21:50:11,14.953,none,1762,1850,-10.395,-17.487,57,57,1
2025-10-28T21:50:11,14.984,none,1782,1869,-8.435,-5.575,58,58,1
2025-10-28T21:50:11,15.000,none,1786,1855,-2.185,3.374,59,59,1
2025-10-28T21:50:11,15.015,none,1758,1807,4.147,4.100,60,60,1
2025-10-28T21:50:11,15.047,none,1740,1773,6.039,-6.402,61,61,1
2025-10-28T21:50:12,15.062,none,1751,1768,3.769,-22.438,62,62,1
2025-10-28T21:50:12,15.078,none,1769,1774,1.147,-40.769,63,63,1
2025-10-28T21:50:12,15.109,none,1760,1758,-3.986,-59.202,64,64,1
2025-10-28T21:50:12,15.125,none,1745,1734,-6.480,-72.634,65,65,1
2025-10-28T21:50:12,15.140,none,1735,1722,-7.366,-81.545,66,66,1
2025-10-28T21:50:12,15.172,none,1737,1729,-10.014,-87.975,67,67,1
2025-10-28T21:50:12,15.187,none,1756,1744,-12.423,-92.552,68,68,1
2025-10-28T21:50:12,15.203,none,1741,1728,-15.980,-97.079,69,69,1
2025-10-28T21:50:12,15.250,none,1701,1698,-24.418,-102.746,70,70,1
2025-10-28T21:50:12,15.250,none,1689,1680,-33.137,-109.540,71,71,1
2025-10-28T21:50:12,15.312,none,1695,1675,-40.950,-118.627,72,72,1
2025-10-28T21:50:12,15.312,none,1722,1693,-47.079,-127.015,73,73,1
2025-10-28T21:50:12,15.312,none,1733,1697,-47.999,-131.363,74,74,1
2025-10-28T21:50:12,15.359,none,1742,1718,-39.248,-125.613,75,75,1
2025-10-28T21:50:12,15.359,none,1762,1805,-24.338,-99.213,76,76,1
2025-10-28T21:50:12,15.359,none,1798,1872,-3.703,-58.932,77,77,1
2025-10-28T21:50:12,15.422,none,1818,1907,15.293,-15.809,78,78,1
2025-10-28T21:50:12,15.422,none,1818,1931,31.819,30.643,79,79,1
2025-10-28T21:50:12,15.437,none,1790,1895,40.685,65.077,80,80,1
2025-10-28T21:50:12,15.484,none,1773,1847,41.965,72.149,81,81,1
2025-10-28T21:50:12,15.484,none,1785,1861,38.307,68.419,82,82,1
2025-10-28T21:50:12,15.484,none,1790,1838,31.627,53.173,83,83,1
2025-10-28T21:50:12,15.547,none,1766,1797,20.301,25.387,84,84,1
2025-10-28T21:50:12,15.547,none,1737,1781,9.021,2.237,85,85,1
2025-10-28T21:50:12,15.547,none,1719,1762,-2.085,-14.280,86,86,1
2025-10-28T21:50:12,15.609,none,1730,1776,-12.949,-29.856,87,87,1
2025-10-28T21:50:12,15.609,none,1773,1838,-15.893,-27.760,88,88,1
2025-10-28T21:50:12,15.609,none,1776,1843,-13.235,-16.075,89,89,1
