wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-28T21:42:46,13.687,none,1790,1943,0.000,0.000,1,1,1
2025-10-28T21:42:46,13.703,none,1733,1906,-14.250,-9.250,2,2,1
2025-10-28T21:42:46,13.718,none,1712,1881,-20.500,-15.833,3,3,1
2025-10-28T21:42:46,13.750,none,1696,1841,-24.562,-24.812,4,4,1
2025-10-28T21:42:46,13.765,none,1665,1792,-30.490,-35.970,5,5,1
2025-10-28T21:42:46,13.781,none,1623,1745,-46.523,-57.237,6,6,1
2025-10-28T21:42:46,13.812,none,1595,1714,-59.366,-77.080,7,7,1
2025-10-28T21:42:46,13.828,none,1599,1690,-68.291,-96.080,8,8,1
2025-10-28T21:42:46,13.828,none,1615,1682,-71.897,-109.196,9,9,1
2025-10-28T21:42:46,13.859,none,1626,1685,-68.937,-113.656,10,10,1
2025-10-28T21:42:46,13.875,none,1599,1664,-64.976,-114.917,11,11,1
2025-10-28T21:42:46,13.890,none,1569,1643,-63.000,-115.874,12,12,1
2025-10-28T21:42:46,13.921,none,1562,1637,-64.060,-114.797,13,13,1
2025-10-28T21:42:46,13.937,none,1574,1649,-66.275,-111.130,14,14,1
2025-10-28T21:42:46,13.953,none,1611,1709,-63.782,-97.830,15,15,1
2025-10-28T21:42:46,13.984,none,1635,1805,-52.259,-64.128,16,16,1
2025-10-28T21:42:46,14.000,none,1673,1924,-29.057,-6.710,17,17,1
2025-10-28T21:42:46,14.015,none,1729,2057,4.372,73.224,18,18,1
2025-10-28T21:42:46,14.046,none,1793,2148,45.627,163.518,19,19,1
2025-10-28T21:42:46,14.062,none,1838,2179,86.244,243.658,20,20,1
2025-10-28T21:42:46,14.078,none,1838,2159,120.346,298.064,21,21,1
2025-10-28T21:42:46,14.109,none,1812,2103,140.775,317.056,22,22,1
2025-10-28T21:42:46,14.125,none,1811,2039,149.626,298.253,23,23,1
2025-10-28T21:42:46,14.140,none,1831,2011,150.000,258.242,24,24,1
2025-10-28T21:42:46,14.171,none,1837,1984,143.242,209.462,25,25,1
2025-10-28T21:42:46,14.187,none,1808,1936,131.490,157.804,26,26,1
2025-10-28T21:42:46,14.203,none,1773,1904,118.678,113.140,27,27,1
2025-10-28T21:42:46,14.218,none,1767,1902,105.568,82.331,28,28,1
2025-10-28T21:42:46,14.234,none,1776,1906,90.999,58.992,29,29,1
2025-10-28T21:42:46,14.250,none,1792,1933,79.047,47.039,30,30,1
2025-10-28T21:42:46,14.281,none,1785,1946,71.879,47.368,31,31,1
2025-10-28T21:42:46,14.312,none,1771,1936,69.090,51.992,32,32,1
2025-10-28T21:42:46,14.312,none,1767,1932,66.844,56.125,33,33,1
2025-10-28T21:42:46,14.343,none,1776,1926,64.737,58.233,34,34,1
2025-10-28T21:42:46,14.359,none,1771,1895,58.691,49.072,35,35,1
2025-10-28T21:42:46,14.375,none,1744,1863,48.992,31.482,36,36,1
2025-10-28T21:42:46,14.406,none,1712,1819,36.102,7.802,37,37,1
2025-10-28T21:42:46,14.421,none,1701,1781,22.231,-21.831,38,38,1
2025-10-28T21:42:46,14.437,none,1722,1775,11.100,-50.669,39,39,1
2025-10-28T21:42:46,14.468,none,1723,1762,1.456,-75.264,40,40,1
2025-10-28T21:42:46,14.484,none,1690,1732,-9.107,-98.882,41,41,1
2025-10-28T21:42:46,14.500,none,1648,1712,-21.375,-117.290,42,42,1
2025-10-28T21:42:47,14.531,none,1619,1701,-36.885,-130.055,43,43,1
2025-10-28T21:42:47,14.546,none,1625,1684,-54.973,-144.738,44,44,1
2025-10-28T21:42:47,14.562,none,1645,1686,-68.941,-156.224,45,45,1
2025-10-28T21:42:47,14.578,none,1627,1682,-79.685,-162.446,46,46,1
2025-10-28T21:42:47,14.593,none,1606,1691,-86.126,-162.938,47,47,1
2025-10-28T21:42:47,14.609,none,1623,1756,-83.472,-148.614,48,48,1
2025-10-28T21:42:47,14.640,none,1675,1878,-71.901,-107.432,49,49,1
2025-10-28T21:42:47,14.656,none,1744,2016,-50.987,-40.492,50,50,1
2025-10-28T21:42:47,14.671,none,1793,2143,-17.382,50.749,51,51,1
2025-10-28T21:42:47,14.703,none,1819,2210,24.755,151.548,52,52,1
2025-10-28T21:42:47,14.718,none,1854,2239,69.595,243.346,53,53,1
2025-10-28T21:42:47,14.734,none,1893,2237,111.042,309.117,54,54,1
2025-10-28T21:42:47,14.765,none,1914,2201,142.324,339.588,55,55,1
2025-10-28T21:42:47,14.781,none,1915,2145,163.650,333.671,56,56,1
2025-10-28T21:42:47,14.796,none,1908,2096,178.155,305.186,57,57,1
2025-10-28T21:42:47,14.828,none,1916,2063,187.150,265.130,58,58,1
2025-10-28T21:42:47,14.843,none,1933,2023,191.725,218.397,59,59,1
2025-10-28T21:42:47,14.859,none,1931,2001,191.760,175.296,60,60,1
2025-10-28T21:42:47,14.890,none,1901,1983,185.754,140.454,61,61,1
2025-10-28T21:42:47,14.906,none,1868,1965,174.781,112.335,62,62,1
2025-10-28T21:42:47,14.921,none,1865,1983,161.869,94.747,63,63,1
2025-10-28T21:42:47,14.953,none,1891,1994,150.985,87.510,64,64,1
2025-10-28T21:42:47,14.953,none,1917,2000,145.833,85.926,65,65,1
2025-10-28T21:42:47,14.968,none,1915,1998,146.316,87.540,66,66,1
2025-10-28T21:42:47,15.000,none,1886,1962,147.610,85.599,67,67,1
2025-10-28T21:42:47,15.015,none,1869,1921,146.156,72.080,68,68,1
2025-10-28T21:42:47,15.031,none,1872,1889,140.223,50.304,69,69,1
2025-10-28T21:42:47,15.093,none,1862,1866,127.316,23.143,70,70,1
2025-10-28T21:42:47,15.093,none,1820,1815,106.739,-13.276,71,71,1
2025-10-28T21:42:47,15.093,none,1743,1728,77.009,-59.236,72,72,1
2025-10-28T21:42:47,15.156,none,1695,1681,41.595,-105.747,73,73,1
2025-10-28T21:42:47,15.156,none,1689,1680,4.908,-145.516,74,74,1
