wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,HSI,risk
2025-10-27T20:59:12,2.140,none,1,6,9,9,12,60.0,60.0,0.0,14.721,8.438,0.573,60.0,11.869,HIGH
2025-10-27T20:59:18,8.234,none,2,311,314,309,311,60.0,40.0,20.0,3.955,4.997,1.263,60.0,8.603,HIGH
2025-10-27T20:59:21,10.547,none,3,427,430,423,426,60.0,60.0,0.0,24.556,9.841,0.401,80.0,16.985,HIGH
2025-10-27T20:59:22,12.469,none,4,523,526,522,525,60.0,60.0,0.0,59.094,66.557,1.126,20.0,2.526,HIGH
2025-10-27T20:59:24,14.515,none,5,623,626,621,624,60.0,60.0,0.0,10.674,3.461,0.324,40.0,15.182,HIGH
2025-10-27T20:59:31,20.750,none,6,938,941,939,942,60.0,60.0,0.0,7.842,4.547,0.580,20.0,8.404,HIGH
2025-10-27T20:59:31,21.469,none,7,974,977,971,974,60.0,60.0,0.0,6.499,2.050,0.315,60.0,17.024,HIGH
2025-10-27T20:59:42,31.906,none,8,1495,1498,1494,1497,60.0,60.0,0.0,3.936,10.902,2.770,20.0,35.393,HIGH
2025-10-27T20:59:42,32.328,none,9,1516,1519,1512,1515,60.0,60.0,0.0,4.283,4.832,1.128,80.0,7.567,HIGH
2025-10-27T20:59:44,34.484,none,10,1624,1627,1622,1625,60.0,60.0,0.0,7.178,3.803,0.530,40.0,11.070,HIGH
2025-10-27T21:00:13,62.984,none,11,3045,3048,3045,3048,60.0,60.0,0.0,22.555,20.465,0.907,0.0,1.854,WARN
2025-10-27T21:00:14,64.187,none,12,3100,3103,3101,3104,60.0,60.0,0.0,33.177,43.901,1.323,20.0,6.465,HIGH
2025-10-27T21:00:26,75.781,none,13,3673,3676,3676,3679,60.0,60.0,0.0,2.045,12.828,6.274,60.0,108.811,HIGH
2025-10-27T21:00:26,76.484,none,14,3724,3727,3720,3723,60.0,60.0,0.0,4.491,3.558,0.792,80.0,9.157,HIGH
2025-10-27T21:00:27,77.094,none,15,3753,3756,3755,3758,60.0,60.0,0.0,2.749,4.912,1.787,40.0,17.406,HIGH
2025-10-27T21:00:31,80.578,none,16,3926,3929,3930,3933,60.0,60.0,0.0,1.752,4.444,2.536,80.0,35.714,HIGH
