wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR
2025-10-27T20:59:12,1.844,none,604,227,0.000,0.000
2025-10-27T20:59:12,1.859,none,1203,31,149.750,-49.000
2025-10-27T20:59:12,1.890,none,2177,29,382.833,-54.889
2025-10-27T20:59:12,1.906,none,3102,133,619.750,-34.167
2025-10-27T20:59:12,1.922,none,3795,135,819.560,-22.533
2025-10-27T20:59:12,1.969,none,3920,208,1110.193,-6.367
2025-10-27T20:59:12,1.969,none,3952,455,1304.893,69.433
2025-10-27T20:59:12,1.984,none,3915,1103,1351.393,245.342
2025-10-27T20:59:12,2.015,none,3947,1623,1283.249,476.697
2025-10-27T20:59:12,2.031,none,3792,2126,1109.749,775.697
2025-10-27T20:59:12,2.047,none,3273,1890,861.352,992.803
2025-10-27T20:59:12,2.078,none,2733,1285,546.469,1039.520
2025-10-27T20:59:12,2.094,none,2411,753,215.076,873.730
2025-10-27T20:59:12,2.109,none,2461,402,-80.465,568.603
2025-10-27T20:59:12,2.125,none,2827,230,-253.485,169.069
2025-10-27T20:59:12,2.140,none,3275,233,-233.059,-153.391
2025-10-27T20:59:12,2.156,none,3661,234,-41.140,-340.061
2025-10-27T20:59:12,2.187,none,3891,231,241.719,-416.512
2025-10-27T20:59:12,2.203,none,3930,238,505.631,-422.488
2025-10-27T20:59:12,2.219,none,3916,235,683.741,-397.764
2025-10-27T20:59:12,2.250,none,3915,230,768.840,-377.158
2025-10-27T20:59:12,2.265,none,3861,234,767.941,-358.105
2025-10-27T20:59:12,2.281,none,3163,239,591.696,-339.369
2025-10-27T20:59:12,2.312,none,2215,234,235.545,-324.571
2025-10-27T20:59:12,2.328,none,1349,237,-268.309,-309.961
2025-10-27T20:59:12,2.344,none,755,238,-865.402,-295.419
2025-10-27T20:59:12,2.375,none,499,234,-1478.131,-283.526
2025-10-27T20:59:12,2.390,none,384,240,-1956.610,-272.360
2025-10-27T20:59:12,2.406,none,354,240,-2242.743,-261.058
2025-10-27T20:59:12,2.437,none,353,240,-2354.526,-251.105
2025-10-27T20:59:12,2.453,none,354,240,-2350.440,-242.015
2025-10-27T20:59:12,2.469,none,354,240,-2299.779,-232.751
2025-10-27T20:59:12,2.484,none,351,240,-2231.664,-225.211
2025-10-27T20:59:12,2.500,none,364,254,-2159.706,-215.428
2025-10-27T20:59:12,2.515,none,384,274,-2087.990,-202.267
2025-10-27T20:59:13,2.547,none,361,349,-2024.995,-175.096
2025-10-27T20:59:13,2.562,none,334,345,-1970.837,-149.628
2025-10-27T20:59:13,2.578,none,329,304,-1920.215,-132.988
2025-10-27T20:59:13,2.609,none,289,222,-1882.790,-135.631
2025-10-27T20:59:13,2.625,none,387,306,-1832.518,-125.850
2025-10-27T20:59:13,2.640,none,393,806,-1779.146,-33.443
2025-10-27T20:59:13,2.672,none,381,1744,-1725.364,240.618
2025-10-27T20:59:13,2.687,none,384,2605,-1672.427,684.430
2025-10-27T20:59:13,2.703,none,385,3199,-1613.775,1250.161
2025-10-27T20:59:13,2.734,none,373,3659,-1578.902,1876.781
2025-10-27T20:59:13,2.750,none,384,4055,-1544.702,2469.635
2025-10-27T20:59:13,2.765,none,630,4095,-1461.567,2874.759
2025-10-27T20:59:13,2.797,none,1535,4095,-1204.304,3103.869
2025-10-27T20:59:13,2.812,none,2454,4095,-773.169,3213.173
2025-10-27T20:59:13,2.828,none,3499,4095,-144.174,3231.501
2025-10-27T20:59:13,2.844,none,4018,4095,571.453,3173.277
2025-10-27T20:59:13,2.859,none,4014,4095,1223.778,3109.709
2025-10-27T20:59:13,2.875,none,4043,4095,1691.783,3048.640
2025-10-27T20:59:13,2.906,none,4019,4095,1966.253,2989.924
2025-10-27T20:59:13,2.922,none,3996,4095,2026.619,2933.429
2025-10-27T20:59:13,2.937,none,3572,3394,1901.427,2741.335
2025-10-27T20:59:13,2.969,none,3696,2339,1804.291,2346.340
2025-10-27T20:59:13,2.984,none,3803,1346,1724.841,1763.951
2025-10-27T20:59:13,3.000,none,3860,622,1663.298,1050.008
2025-10-27T20:59:13,3.031,none,3877,201,1611.244,266.039
2025-10-27T20:59:13,3.047,none,3887,128,1645.861,-380.916
2025-10-27T20:59:13,3.062,none,3876,121,1653.808,-810.924
2025-10-27T20:59:13,3.094,none,3863,123,1638.470,-1038.261
2025-10-27T20:59:13,3.109,none,3869,125,1613.784,-1119.300
2025-10-27T20:59:13,3.125,none,3866,128,1585.975,-1115.884
2025-10-27T20:59:13,3.156,none,3826,124,1549.156,-1099.218
2025-10-27T20:59:13,3.172,none,3851,128,1520.374,-1080.912
2025-10-27T20:59:13,3.187,none,3854,125,1495.542,-1064.125
2025-10-27T20:59:13,3.234,none,3815,125,1462.558,-1048.228
2025-10-27T20:59:13,3.234,none,3834,128,1434.724,-1032.800
2025-10-27T20:59:13,3.281,none,3856,128,1419.826,-1017.030
2025-10-27T20:59:13,3.297,none,3822,129,1393.808,-1002.292
2025-10-27T20:59:13,3.297,none,3837,128,1370.811,-987.572
2025-10-27T20:59:13,3.344,none,3819,134,1352.544,-972.070
2025-10-27T20:59:13,3.344,none,3830,133,1333.211,-957.757
2025-10-27T20:59:13,3.344,none,3814,128,1301.698,-946.999
2025-10-27T20:59:13,3.406,none,3823,137,1275.575,-937.662
2025-10-27T20:59:13,3.406,none,3819,140,1244.987,-930.488
2025-10-27T20:59:13,3.406,none,3814,142,1218.664,-926.715
2025-10-27T20:59:13,3.469,none,3824,141,1195.563,-925.469
2025-10-27T20:59:13,3.469,none,3792,144,1178.163,-922.717
2025-10-27T20:59:13,3.469,none,3792,144,1166.376,-920.653
2025-10-27T20:59:14,3.531,none,3804,147,1162.464,-915.744
2025-10-27T20:59:14,3.594,none,3783,140,1157.688,-908.656
2025-10-27T20:59:14,3.594,none,3741,112,1142.725,-901.581
2025-10-27T20:59:14,3.594,none,3747,109,1133.757,-891.128
2025-10-27T20:59:14,3.594,none,3731,103,1118.501,-879.552
2025-10-27T20:59:14,3.594,none,3777,107,1106.107,-868.603
2025-10-27T20:59:14,3.656,none,3766,101,1091.795,-860.605
2025-10-27T20:59:14,3.656,none,3751,128,1080.283,-846.707
2025-10-27T20:59:14,3.656,none,3729,134,1063.224,-835.493
2025-10-27T20:59:14,3.703,none,3725,130,1051.056,-826.755
2025-10-27T20:59:14,3.703,none,3762,112,1041.075,-823.821
2025-10-27T20:59:14,3.703,none,3761,118,1037.024,-818.971
2025-10-27T20:59:14,3.765,none,3760,111,1038.653,-820.861
2025-10-27T20:59:14,3.765,none,3664,34,1027.363,-839.093
2025-10-27T20:59:14,3.828,none,3754,88,1035.328,-845.613
2025-10-27T20:59:14,3.828,none,3722,75,1027.659,-851.013
2025-10-27T20:59:14,3.828,none,3737,80,1018.680,-856.523
2025-10-27T20:59:14,3.828,none,3745,80,1004.696,-860.544
2025-10-27T20:59:14,3.890,none,3742,83,1000.677,-848.675
2025-10-27T20:59:14,3.953,none,3751,118,971.501,-840.685
2025-10-27T20:59:14,3.953,none,3807,592,952.288,-736.672
2025-10-27T20:59:14,3.953,none,3712,1410,906.179,-473.589
2025-10-27T20:59:14,3.953,none,3742,2443,861.821,-10.200
2025-10-27T20:59:14,3.953,none,3742,3157,816.995,587.197
2025-10-27T20:59:14,4.000,none,3728,3826,767.243,1301.523
