wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-27T22:07:33,13.875,none,1888,1872,0.000,0.000,1,1,1
2025-10-27T22:07:33,13.890,none,1866,1840,-5.500,-8.000,2,2,1
2025-10-27T22:07:33,13.906,none,1836,1823,-12.778,-12.667,3,3,1
2025-10-27T22:07:33,13.937,none,1817,1809,-18.271,-16.250,4,4,1
2025-10-27T22:07:33,13.953,none,1821,1810,-19.537,-17.160,5,5,1
2025-10-27T22:07:33,13.968,none,1812,1808,-25.137,-20.960,6,6,1
2025-10-27T22:07:33,14.000,none,1781,1782,-33.051,-25.474,7,7,1
2025-10-27T22:07:33,14.015,none,1747,1758,-42.384,-32.024,8,8,1
2025-10-27T22:07:33,14.031,none,1742,1750,-49.479,-37.780,9,9,1
2025-10-27T22:07:33,14.062,none,1740,1753,-57.559,-43.120,10,10,1
2025-10-27T22:07:33,14.078,none,1728,1738,-65.959,-50.683,11,11,1
2025-10-27T22:07:33,14.093,none,1709,1720,-72.161,-56.686,12,12,1
2025-10-27T22:07:33,14.125,none,1680,1717,-77.776,-58.951,13,13,1
2025-10-27T22:07:33,14.140,none,1711,1757,-76.932,-52.639,14,14,1
2025-10-27T22:07:34,14.156,none,1776,1869,-64.119,-26.752,15,15,1
2025-10-27T22:07:34,14.187,none,1840,1990,-38.294,22.662,16,16,1
2025-10-27T22:07:34,14.203,none,1887,2085,-2.001,90.073,17,17,1
2025-10-27T22:07:34,14.218,none,1917,2134,42.948,163.255,18,18,1
2025-10-27T22:07:34,14.234,none,1939,2160,83.559,229.834,19,19,1
2025-10-27T22:07:34,14.250,none,1968,2158,115.295,271.718,20,20,1
2025-10-27T22:07:34,14.265,none,1979,2135,135.613,284.782,21,21,1
2025-10-27T22:07:34,14.296,none,1959,2079,142.500,269.188,22,22,1
2025-10-27T22:07:34,14.312,none,1950,2017,141.941,233.804,23,23,1
2025-10-27T22:07:34,14.328,none,1968,1996,140.955,191.600,24,24,1
2025-10-27T22:07:34,14.359,none,1991,1988,139.189,150.546,25,25,1
2025-10-27T22:07:34,14.375,none,1999,1967,137.223,111.947,26,26,1
2025-10-27T22:07:34,14.390,none,1970,1931,133.834,78.966,27,27,1
2025-10-27T22:07:34,14.421,none,1939,1907,126.517,54.690,28,28,1
2025-10-27T22:07:34,14.437,none,1935,1904,115.402,34.874,29,29,1
2025-10-27T22:07:34,14.453,none,1944,1936,102.158,23.572,30,30,1
2025-10-27T22:07:34,14.484,none,1941,1958,87.407,21.037,31,31,1
2025-10-27T22:07:34,14.500,none,1917,1937,74.227,21.518,32,32,1
2025-10-27T22:07:34,14.515,none,1893,1920,62.897,23.345,33,33,1
2025-10-27T22:07:34,14.546,none,1875,1918,49.263,25.310,34,34,1
2025-10-27T22:07:34,14.562,none,1879,1917,35.129,20.836,35,35,1
2025-10-27T22:07:34,14.578,none,1873,1901,20.875,9.145,36,36,1
2025-10-27T22:07:34,14.609,none,1846,1862,6.468,-5.709,37,37,1
2025-10-27T22:07:34,14.625,none,1811,1822,-9.680,-24.643,38,38,1
2025-10-27T22:07:34,14.625,none,1808,1826,-22.485,-41.915,39,39,1
2025-10-27T22:07:34,14.656,none,1814,1839,-34.571,-56.020,40,40,1
2025-10-27T22:07:34,14.671,none,1812,1840,-45.577,-66.470,41,41,1
2025-10-27T22:07:34,14.687,none,1787,1815,-55.944,-73.968,42,42,1
2025-10-27T22:07:34,14.718,none,1761,1782,-64.347,-79.977,43,43,1
2025-10-27T22:07:34,14.734,none,1761,1781,-72.005,-86.874,44,44,1
2025-10-27T22:07:34,14.750,none,1776,1808,-77.760,-90.916,45,45,1
2025-10-27T22:07:34,14.781,none,1783,1822,-81.657,-92.359,46,46,1
2025-10-27T22:07:34,14.796,none,1767,1799,-83.746,-93.424,47,47,1
2025-10-27T22:07:34,14.812,none,1745,1777,-85.056,-92.369,48,48,1
2025-10-27T22:07:34,14.843,none,1739,1773,-87.559,-91.976,49,49,1
2025-10-27T22:07:34,14.859,none,1745,1771,-91.812,-97.313,50,50,1
2025-10-27T22:07:34,14.875,none,1747,1776,-96.991,-104.340,51,51,1
2025-10-27T22:07:34,14.906,none,1723,1753,-103.675,-111.270,52,52,1
2025-10-27T22:07:34,14.921,none,1696,1728,-111.255,-118.700,53,53,1
2025-10-27T22:07:34,14.937,none,1685,1737,-119.717,-123.484,54,54,1
2025-10-27T22:07:34,14.968,none,1702,1761,-125.901,-123.117,55,55,1
2025-10-27T22:07:34,14.984,none,1734,1808,-126.117,-114.542,56,56,1
2025-10-27T22:07:34,14.984,none,1776,1891,-113.400,-85.333,57,57,1
2025-10-27T22:07:34,15.015,none,1825,1984,-86.011,-33.483,58,58,1
2025-10-27T22:07:34,15.031,none,1886,2086,-44.977,35.731,59,59,1
2025-10-27T22:07:34,15.046,none,1942,2163,3.002,114.180,60,60,1
2025-10-27T22:07:34,15.078,none,1968,2192,48.986,187.785,61,61,1
2025-10-27T22:07:34,15.093,none,1951,2149,82.604,235.416,62,62,1
2025-10-27T22:07:34,15.109,none,1930,2099,101.909,254.175,63,63,1
2025-10-27T22:07:35,15.140,none,1927,2070,108.327,246.909,64,64,1
2025-10-27T22:07:35,15.156,none,1936,2043,105.421,219.348,65,65,1
2025-10-27T22:07:35,15.171,none,1945,2031,99.243,184.206,66,66,1
2025-10-27T22:07:35,15.203,none,1929,1999,93.384,151.820,67,67,1
2025-10-27T22:07:35,15.218,none,1913,1963,88.617,122.718,68,68,1
2025-10-27T22:07:35,15.234,none,1917,1952,85.320,97.626,69,69,1
2025-10-27T22:07:35,15.265,none,1932,1955,83.275,78.840,70,70,1
2025-10-27T22:07:35,15.281,none,1951,1968,83.252,65.276,71,71,1
2025-10-27T22:07:35,15.343,none,1941,1969,84.431,58.429,72,72,1
2025-10-27T22:07:35,15.343,none,1928,1954,86.200,55.832,73,73,1
2025-10-27T22:07:35,15.343,none,1902,1904,82.040,45.585,74,74,1
2025-10-27T22:07:35,15.390,none,1903,1889,75.190,31.932,75,75,1
2025-10-27T22:07:35,15.406,none,1915,1904,67.163,18.778,76,76,1
2025-10-27T22:07:35,15.406,none,1885,1854,55.344,-4.432,77,77,1
2025-10-27T22:07:35,15.453,none,1840,1797,37.331,-35.838,78,78,1
2025-10-27T22:07:35,15.453,none,1826,1791,21.835,-58.400,79,79,1
2025-10-27T22:07:35,15.468,none,1817,1786,4.488,-78.941,80,80,1
2025-10-27T22:07:35,15.515,none,1807,1789,-17.173,-101.747,81,81,1
2025-10-27T22:07:35,15.515,none,1789,1790,-36.405,-114.336,82,82,1
2025-10-27T22:07:35,15.515,none,1766,1774,-51.277,-118.837,83,83,1
2025-10-27T22:07:35,15.578,none,1763,1771,-63.981,-122.843,84,84,1
2025-10-27T22:07:35,15.578,none,1789,1809,-69.827,-118.461,85,85,1
2025-10-27T22:07:35,15.578,none,1787,1817,-74.243,-113.341,86,86,1
2025-10-27T22:07:35,15.640,none,1762,1794,-80.179,-113.197,87,87,1
2025-10-27T22:07:35,15.640,none,1744,1797,-85.235,-109.424,88,88,1
2025-10-27T22:07:35,15.640,none,1735,1796,-91.499,-105.299,89,89,1
2025-10-27T22:07:35,15.703,none,1741,1799,-101.539,-107.837,90,90,1
2025-10-27T22:07:35,15.703,none,1744,1816,-110.165,-107.901,91,91,1
2025-10-27T22:07:35,15.703,none,1719,1790,-118.203,-107.581,92,92,1
2025-10-27T22:07:35,15.765,none,1693,1755,-127.072,-113.637,93,93,1
2025-10-27T22:07:35,15.765,none,1731,1797,-125.923,-110.021,94,94,1
2025-10-27T22:07:35,15.765,none,1798,1859,-112.213,-93.995,95,95,1
2025-10-27T22:07:35,15.812,none,1866,1955,-85.459,-62.152,96,96,1
2025-10-27T22:07:35,15.812,none,1919,2069,-43.445,-3.069,97,97,1
2025-10-27T22:07:35,15.828,none,1943,2129,7.989,73.704,98,98,1
2025-10-27T22:07:35,15.875,none,1965,2166,55.677,148.056,99,99,1
2025-10-27T22:07:35,15.875,none,2011,2210,98.659,217.419,100,100,1
2025-10-27T22:07:35,15.875,none,2035,2219,132.443,268.229,101,101,1
2025-10-27T22:07:35,15.937,none,2055,2231,159.293,297.813,102,102,1
2025-10-27T22:07:35,15.937,none,2086,2282,187.133,324.896,103,103,1
2025-10-27T22:07:35,15.937,none,2102,2307,213.320,348.957,104,104,1
2025-10-27T22:07:35,16.000,none,2117,2311,232.899,364.611,105,105,1
2025-10-27T22:07:35,16.000,none,2119,2319,247.699,379.773,106,106,1
2025-10-27T22:07:35,16.000,none,2082,2256,250.885,379.885,107,107,1
2025-10-27T22:07:35,16.062,none,2043,2201,240.064,359.048,108,108,1
2025-10-27T22:07:35,16.062,none,2059,2203,229.197,333.925,109,109,1
2025-10-27T22:07:35,16.062,none,2065,2199,216.496,307.451,110,110,1
2025-10-27T22:07:35,16.125,none,2065,2192,203.357,278.163,111,111,1
2025-10-27T22:07:36,16.171,none,2046,2189,193.725,260.853,112,112,1
2025-10-27T22:07:36,16.171,none,2003,2137,183.181,244.053,113,113,1
2025-10-27T22:07:36,16.187,none,1981,2096,165.067,218.693,114,114,1
2025-10-27T22:07:36,16.187,none,1983,2093,146.197,193.608,115,115,1
2025-10-27T22:07:36,16.187,none,1968,2059,124.424,163.315,116,116,1
2025-10-27T22:07:36,16.234,none,1930,2000,99.003,122.200,117,117,1
2025-10-27T22:07:36,16.296,none,1906,1984,77.507,88.587,118,118,1
2025-10-27T22:07:36,16.296,none,1886,1963,56.539,59.208,119,119,1
2025-10-27T22:07:36,16.296,none,1879,1952,33.947,28.523,120,120,1
2025-10-27T22:07:36,16.296,none,1879,1952,14.515,4.875,121,121,1
2025-10-27T22:07:36,16.296,none,1847,1918,-3.549,-13.597,122,122,1
2025-10-27T22:07:36,16.359,none,1814,1889,-23.211,-34.429,123,123,1
2025-10-27T22:07:36,16.359,none,1817,1920,-38.147,-44.768,124,124,1
2025-10-27T22:07:36,16.359,none,1814,1921,-52.192,-52.723,125,125,1
2025-10-27T22:07:36,16.421,none,1801,1910,-68.725,-62.888,126,126,1
