wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active
2025-10-28T19:54:09,14.484,none,1,30,37,29,36,140.0,140.0,0.0,0.143110,0.119793,0.837068,20.0,0.678,OK,97.8672,115.8416,0.10,1
2025-10-28T19:54:10,15.094,none,2,60,67,59,66,140.0,140.0,0.0,0.127635,0.117666,0.879482,20.0,0.489,OK,88.9911,116.4086,0.10,1
2025-10-28T19:54:10,15.688,none,3,90,97,90,97,140.0,140.0,0.0,0.099237,0.127842,0.921897,0.0,0.310,OK,80.9631,108.6451,0.10,1
2025-10-28T19:54:11,16.297,none,4,121,128,121,128,140.0,140.0,0.0,0.138678,0.151318,1.006522,0.0,0.025,OK,80.4220,103.3145,0.10,1
2025-10-28T19:54:11,16.891,none,5,151,158,151,158,140.0,140.0,0.0,0.143232,0.169690,1.091148,0.0,0.332,OK,86.3642,108.0770,0.10,1
2025-10-28T19:54:12,17.547,none,6,183,190,182,189,140.0,140.0,0.0,0.271542,0.206647,1.091148,20.0,0.332,OK,99.1305,119.5684,0.10,1
2025-10-28T19:54:13,18.156,none,7,214,221,214,221,140.0,140.0,0.0,0.214230,0.239635,1.118589,0.0,0.427,OK,108.1030,128.8533,0.10,1
2025-10-28T19:54:13,18.813,none,8,245,252,245,252,140.0,140.0,0.0,0.131278,0.177523,1.118589,0.0,0.427,OK,109.6953,132.0279,0.10,1
2025-10-28T19:54:14,19.422,none,9,277,284,276,283,140.0,140.0,0.0,0.131246,0.140598,1.118589,20.0,0.427,OK,107.3505,133.7972,0.10,1
2025-10-28T19:54:15,20.078,none,10,308,315,308,315,140.0,140.0,0.0,0.137368,0.187473,1.118589,0.0,0.427,OK,106.7010,135.2523,0.10,1
2025-10-28T19:54:15,20.672,none,11,338,345,338,345,140.0,140.0,0.0,0.159039,0.189351,1.190592,0.0,0.665,OK,109.0898,139.1673,0.10,1
2025-10-28T19:54:16,21.266,none,12,368,375,368,375,140.0,140.0,0.0,0.199354,0.234357,1.190592,0.0,0.665,OK,114.1691,146.3784,0.10,1
2025-10-28T19:54:16,21.875,none,13,398,405,397,404,140.0,140.0,0.0,0.266585,0.191983,1.175580,20.0,0.617,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:17,22.422,none,14,427,434,425,432,140.0,140.0,0.0,0.169176,0.021098,1.175580,40.0,0.617,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:18,23.016,none,15,457,464,457,464,140.0,140.0,0.0,0.128366,0.112826,0.878936,0.0,0.492,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:18,23.672,none,16,487,494,487,494,140.0,140.0,0.0,0.094578,0.356059,0.878936,0.0,0.492,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:19,24.219,none,17,517,524,516,523,140.0,140.0,0.0,0.107594,0.250632,0.878936,20.0,0.492,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:19,24.813,none,18,547,554,546,553,140.0,140.0,0.0,0.192276,0.201062,1.045696,20.0,0.170,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:20,25.422,none,19,577,584,576,583,140.0,140.0,0.0,0.206132,0.152697,1.045696,20.0,0.170,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:21,26.141,none,20,607,614,606,613,140.0,140.0,0.0,0.156810,0.094437,1.045696,20.0,0.170,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:21,26.672,none,21,638,645,637,644,140.0,140.0,0.0,0.128551,0.069094,0.740773,20.0,1.144,WARN,110.3896,141.4313,0.10,0
2025-10-28T19:54:22,27.281,none,22,668,675,668,675,140.0,140.0,0.0,0.072334,0.084117,0.740773,0.0,1.144,WARN,110.3896,141.4313,0.10,0
2025-10-28T19:54:22,27.875,pressure_start,23,699,706,698,705,140.0,140.0,0.0,0.106928,0.096619,0.740773,20.0,1.144,WARN,110.3896,141.4313,0.10,0
2025-10-28T19:54:23,28.469,pressure_start,24,730,737,729,736,140.0,140.0,0.0,0.147269,0.114320,0.776265,20.0,0.965,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:24,29.141,pressure_start,25,761,768,760,767,140.0,140.0,0.0,0.159017,0.129602,0.815021,20.0,0.780,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:24,29.797,pressure_start,26,792,799,791,798,140.0,140.0,0.0,0.120968,0.130617,0.903589,20.0,0.386,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:25,30.344,pressure_start,27,823,830,822,829,140.0,140.0,0.0,0.075034,0.099445,0.903589,20.0,0.386,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:26,30.938,pressure_start,28,853,860,852,859,140.0,140.0,0.0,0.094940,0.109652,1.079773,20.0,0.293,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:26,31.531,pressure_start,29,883,890,882,889,140.0,140.0,0.0,0.126936,0.129444,1.079773,20.0,0.293,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:27,32.141,pressure_start,30,913,920,911,918,140.0,140.0,0.0,0.207442,0.142309,1.079773,40.0,0.293,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:27,32.797,pressure_start,31,944,951,941,948,140.0,140.0,0.0,0.220527,0.155086,1.019762,60.0,0.875,OK,110.3896,141.4313,0.10,0
2025-10-28T19:54:49,54.156,peak_pressure,32,2012,2019,2010,2017,140.0,140.0,0.0,0.025265,0.176318,1.019762,40.0,0.075,OK,110.3896,141.4313,0.10,0
2025-10-28T19:55:02,67.719,peak_pressure,33,2692,2697,2691,2698,100.0,140.0,40.0,0.031525,0.217251,1.019762,20.0,0.075,OK,110.3896,141.4313,0.10,0
2025-10-28T19:55:12,77.188,peak_pressure,34,3166,3171,3161,3168,100.0,140.0,40.0,0.023882,0.258976,2.000000,60.0,3.442,HIGH,110.3896,141.4313,0.10,0
2025-10-28T19:55:31,96.156,peak_pressure,35,4112,4119,4108,4115,140.0,140.0,0.0,0.026066,0.261944,2.000000,80.0,4.242,HIGH,110.3896,141.4313,0.10,0
