wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-28T20:00:06,13.703,none,1629,1872,0.000,0.000,1,1,1
2025-10-28T20:00:06,13.734,none,1453,1758,-44.000,-28.500,2,2,1
2025-10-28T20:00:06,13.750,none,1291,1645,-84.889,-56.778,3,3,1
2025-10-28T20:00:06,13.765,none,1140,1509,-123.229,-89.333,4,4,1
2025-10-28T20:00:06,13.796,none,1015,1390,-156.703,-120.427,5,5,1
2025-10-28T20:00:06,13.812,none,929,1297,-219.470,-176.727,6,6,1
2025-10-28T20:00:06,13.828,none,871,1233,-265.613,-224.555,7,7,1
2025-10-28T20:00:06,13.859,none,816,1175,-297.680,-263.864,8,8,1
2025-10-28T20:00:06,13.875,none,765,1111,-317.230,-292.930,9,9,1
2025-10-28T20:00:06,13.890,none,719,1063,-327.870,-312.430,10,10,1
2025-10-28T20:00:06,13.906,none,691,1023,-332.703,-325.639,11,11,1
2025-10-28T20:00:06,13.921,none,671,1008,-334.593,-332.877,12,12,1
2025-10-28T20:00:06,13.937,none,647,992,-334.209,-335.210,13,13,1
2025-10-28T20:00:06,13.968,none,620,954,-332.394,-335.515,14,14,1
2025-10-28T20:00:06,13.984,none,587,925,-330.821,-334.788,15,15,1
2025-10-28T20:00:06,14.000,none,561,893,-331.084,-334.779,16,16,1
2025-10-28T20:00:06,14.031,none,530,864,-335.156,-339.183,17,17,1
2025-10-28T20:00:06,14.046,none,522,851,-337.485,-344.264,18,18,1
2025-10-28T20:00:06,14.062,none,612,976,-318.847,-319.545,19,19,1
2025-10-28T20:00:06,14.093,none,896,1299,-242.110,-230.392,20,20,1
2025-10-28T20:00:06,14.109,none,1442,1805,-61.152,-44.111,21,21,1
2025-10-28T20:00:06,14.125,none,2064,2330,235.253,238.459,22,22,1
2025-10-28T20:00:06,14.156,none,2559,2719,614.137,584.761,23,23,1
2025-10-28T20:00:06,14.171,none,2924,2951,1029.401,936.656,24,24,1
2025-10-28T20:00:06,14.187,none,3101,3023,1407.611,1226.508,25,25,1
2025-10-28T20:00:06,14.218,none,3129,2992,1672.747,1403.065,26,26,1
2025-10-28T20:00:06,14.234,none,3063,2915,1797.558,1459.010,27,27,1
2025-10-28T20:00:06,14.250,none,2944,2811,1802.026,1420.125,28,28,1
2025-10-28T20:00:06,14.265,none,2790,2679,1708.881,1314.615,29,29,1
2025-10-28T20:00:06,14.296,none,2640,2543,1558.315,1174.569,30,30,1
2025-10-28T20:00:06,14.296,none,2501,2431,1382.723,1025.257,31,31,1
2025-10-28T20:00:07,14.328,none,2369,2325,1201.943,876.600,32,32,1
2025-10-28T20:00:07,14.343,none,2247,2234,1027.833,736.304,33,33,1
2025-10-28T20:00:07,14.359,none,2127,2162,866.890,612.856,34,34,1
2025-10-28T20:00:07,14.390,none,2015,2107,719.096,509.515,35,35,1
2025-10-28T20:00:07,14.421,none,1943,2064,589.374,423.128,36,36,1
2025-10-28T20:00:07,14.421,none,1871,2002,475.578,348.157,37,37,1
2025-10-28T20:00:07,14.453,none,1763,1904,368.086,274.197,38,38,1
2025-10-28T20:00:07,14.468,none,1616,1776,258.534,191.535,39,39,1
2025-10-28T20:00:07,14.484,none,1443,1650,140.154,97.344,40,40,1
2025-10-28T20:00:07,14.515,none,1290,1526,9.110,-10.153,41,41,1
2025-10-28T20:00:07,14.531,none,1151,1415,-131.706,-124.512,42,42,1
2025-10-28T20:00:07,14.546,none,1038,1312,-270.116,-237.114,43,43,1
2025-10-28T20:00:07,14.578,none,921,1203,-399.502,-343.448,44,44,1
