wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T19:18:07,0.922,baseline,1,32,39,31,38,140.0,140.0,0.0,0.143837,0.170657,1.186463,20.0,-20.0,0.652,OK,103.2673,205.3477,0.10,0,1286.889826,1459.432787,1.134077,,,,BAL,-20.0,-,
2025-10-31T19:18:07,1.593,baseline,2,65,72,64,71,140.0,140.0,0.0,0.207793,0.218500,1.118996,20.0,-20.0,0.429,OK,126.7348,284.7182,0.10,0,1083.979496,1300.374525,1.199630,,,,BAL,-20.0,-,
2025-10-31T19:18:08,2.250,baseline,3,97,104,96,103,140.0,140.0,0.0,0.282625,0.179447,1.051529,20.0,-20.0,0.192,OK,168.6284,303.3100,0.10,0,1032.381333,1325.546667,1.283970,,,,BAL,-20.0,-,0.000
2025-10-31T19:18:09,2.859,baseline,4,128,135,127,134,140.0,140.0,0.0,0.184272,0.090157,0.843229,20.0,-20.0,0.650,OK,190.0318,280.7927,0.10,0,1170.888000,1414.858667,1.208364,,,,BAL,-20.0,-,0.000
2025-10-31T19:18:09,3.515,baseline,5,160,167,159,166,140.0,140.0,0.0,0.111655,0.057230,0.634930,20.0,-20.0,1.731,WARN,186.2851,246.7372,0.10,0,1217.037333,1427.573333,1.172991,,,,BAL,-20.0,-,0.000
2025-10-31T19:18:10,4.109,baseline,6,192,199,191,198,140.0,140.0,0.0,0.079544,0.027252,0.512565,20.0,-20.0,2.547,WARN,175.3998,215.0659,0.10,0,1258.944000,1409.666667,1.119722,1.054425,0.998162,0.946641,BAL,-20.0,-,0.000
2025-10-31T19:18:11,4.828,baseline,7,226,233,224,231,140.0,140.0,0.0,0.180875,0.091118,0.503765,40.0,-40.0,2.613,WARN,175.7102,205.2449,0.10,0,1054.016000,1431.248000,1.357900,0.900185,1.011584,1.123751,BAL,-40.0,-,6.999
2025-10-31T19:18:11,5.437,baseline,8,258,265,257,264,140.0,140.0,0.0,0.194789,0.199896,0.503765,20.0,-20.0,2.613,WARN,183.2984,214.4474,0.10,0,1107.664000,1333.362667,1.203761,0.972253,0.944132,0.971077,BAL,-20.0,-,6.614
2025-10-31T19:18:12,6.093,baseline,9,289,296,288,295,140.0,140.0,0.0,0.207870,0.208393,0.512565,20.0,-20.0,2.547,WARN,195.2140,229.1084,0.10,0,1091.933333,1356.816000,1.242581,0.985798,0.962508,0.976375,BAL,-20.0,-,6.285
2025-10-31T19:18:12,6.687,baseline,10,320,327,319,326,140.0,140.0,0.0,0.261499,0.208335,0.796694,20.0,-20.0,0.866,OK,212.2160,240.9723,0.10,0,1317.304000,1540.914667,1.169749,1.156264,1.091096,0.943639,BAL,-20.0,-,6.000
2025-10-31T19:18:13,7.359,baseline,11,350,357,349,356,140.0,140.0,0.0,0.211957,0.164829,0.796694,20.0,-20.0,0.866,OK,225.5635,248.4877,0.10,0,1586.074667,1767.192000,1.114192,1.354591,1.249024,0.922067,BAL,-20.0,-,6.000
