wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T19:42:57,0.797,baseline,1,26,33,26,33,140.0,140.0,0.0,0.211253,0.227810,1.078376,0.0,0.0,0.288,OK,196.2537,242.2346,0.10,0,1248.432035,1514.667152,1.213256,,,,BAL,0.0,+,
2025-10-31T19:42:58,1.469,baseline,2,59,66,59,66,140.0,140.0,0.0,0.134494,0.173751,1.185131,0.0,0.0,0.647,OK,210.6227,281.8711,0.10,0,1383.351905,1642.077831,1.187028,,,,BAL,0.0,+,
2025-10-31T19:42:59,2.187,baseline,3,95,102,94,101,140.0,140.0,0.0,0.212843,0.180737,1.078376,20.0,-20.0,0.288,OK,233.1650,313.5116,0.10,0,1376.709333,1820.509333,1.322363,,,,L↓,-20.0,-,9.428
2025-10-31T19:42:59,2.906,baseline,4,131,138,130,137,140.0,140.0,0.0,0.269780,0.218605,0.963765,20.0,-20.0,0.141,OK,290.4487,361.1928,0.10,0,1665.077333,2334.928000,1.402294,,,,L↓,-20.0,-,10.000
2025-10-31T19:43:00,3.687,baseline,5,168,175,168,175,140.0,140.0,0.0,0.092128,0.136007,1.078376,0.0,0.0,0.288,OK,301.1843,351.3978,0.10,0,1450.461333,1943.978667,1.340249,,,,L↓,0.0,+,9.798
2025-10-31T19:43:01,4.406,baseline,6,205,212,205,212,140.0,140.0,0.0,0.125931,0.135733,1.077840,0.0,0.0,0.286,OK,284.2456,339.0204,0.10,0,1783.746667,1725.261333,0.967212,1.258902,0.973138,0.773005,BAL,0.0,+,9.428
2025-10-31T19:43:02,5.187,baseline,7,244,251,242,249,140.0,140.0,0.0,0.109013,0.080105,0.849155,40.0,-40.0,0.623,OK,263.0682,321.4275,0.10,0,941.453333,1761.765333,1.871325,0.680560,1.000000,1.469379,L↓,-40.0,-,14.569
2025-10-31T19:43:02,5.844,baseline,8,277,284,276,283,140.0,140.0,0.0,0.230756,0.140449,0.810309,20.0,-20.0,0.802,OK,275.4100,322.8386,0.10,0,923.677333,1781.874667,1.929109,0.669317,1.005675,1.502540,L↓,-20.0,-,13.919
2025-10-31T19:43:03,6.437,baseline,9,307,314,307,314,140.0,140.0,0.0,0.116988,0.141674,1.077840,0.0,0.0,0.286,OK,282.6300,326.4568,0.10,0,789.008000,1476.037333,1.870751,0.573112,0.837817,1.461875,L↓,0.0,+,13.699
2025-10-31T19:43:04,7.109,baseline,10,338,345,337,344,140.0,140.0,0.0,0.144606,0.117452,0.812221,20.0,-20.0,0.793,OK,277.7734,320.1959,0.10,0,963.589333,1713.477333,1.778224,0.734124,0.982773,1.338702,L↓,-20.0,-,13.266
2025-10-31T19:43:04,7.703,baseline,11,369,376,368,375,140.0,140.0,0.0,0.139317,0.126375,0.812221,20.0,-20.0,0.793,OK,273.2202,315.9338,0.10,0,1027.709333,1843.322667,1.793623,0.823200,1.046293,1.271007,BAL,-20.0,-,12.806
2025-10-31T19:43:05,8.359,baseline,12,401,408,401,408,140.0,140.0,0.0,0.065655,0.098507,0.907101,0.0,0.0,0.372,OK,261.3541,306.3335,0.10,0,1044.514667,1655.397333,1.584848,0.911068,0.949461,1.042141,BAL,0.0,+,12.806
2025-10-31T19:43:06,9.078,baseline,13,439,446,439,446,140.0,140.0,0.0,0.028698,0.122381,1.211014,0.0,0.0,0.730,OK,242.7264,295.6647,0.10,0,872.504000,1336.757333,1.532093,0.835320,0.774814,0.927566,BAL,0.0,+,13.266
2025-10-31T19:43:06,9.859,baseline,14,477,484,477,484,140.0,140.0,0.0,0.085371,0.119831,1.403640,0.0,0.0,1.292,OK,232.7883,287.0396,0.10,0,753.080000,1169.597333,1.553085,0.726833,0.680248,0.935907,BAL,0.0,+,13.416
2025-10-31T19:43:07,10.531,baseline,15,511,518,512,519,140.0,140.0,0.0,0.061437,0.076710,1.403640,20.0,20.0,1.292,OK,240.3144,294.4351,0.10,0,648.056000,1072.861333,1.655507,0.630583,0.626131,0.992940,BAL,20.0,+,13.266
2025-10-31T19:43:08,11.187,baseline,16,545,552,545,552,140.0,140.0,0.0,0.087443,0.093819,1.403640,0.0,0.0,1.292,OK,233.8309,287.2124,0.10,0,660.194667,974.408000,1.475940,0.663080,0.578477,0.872409,BAL,0.0,+,13.266
2025-10-31T19:43:08,11.906,baseline,17,579,586,579,586,140.0,140.0,0.0,0.120440,0.137695,1.248593,0.0,0.0,0.846,OK,232.7642,283.6526,0.10,0,775.144000,1147.498667,1.480368,0.804434,0.693186,0.861707,BAL,0.0,+,9.798
2025-10-31T19:43:09,12.625,baseline,18,614,621,615,622,140.0,140.0,0.0,0.092380,0.166964,1.248593,20.0,20.0,0.846,OK,222.5969,273.6166,0.10,0,939.392000,1160.597333,1.235477,0.986216,0.703931,0.713769,R↓,20.0,+,9.798
2025-10-31T19:43:10,13.281,baseline,19,649,656,650,657,140.0,140.0,0.0,0.076167,0.132891,1.248593,20.0,20.0,0.846,OK,189.4155,251.6454,0.10,0,994.909333,1203.664000,1.209823,1.032503,0.733013,0.709937,R↓,20.0,+,10.000
2025-10-31T19:43:11,14.000,baseline,20,685,692,685,692,140.0,140.0,0.0,0.109781,0.140892,1.283388,0.0,0.0,0.951,OK,183.7340,244.4849,0.10,0,909.234667,1307.160000,1.437649,0.954556,0.828170,0.867597,BAL,0.0,+,9.798
2025-10-31T19:43:11,14.719,baseline,21,720,727,720,727,140.0,140.0,0.0,0.126122,0.155622,1.283388,0.0,0.0,0.951,OK,180.5782,235.5293,0.10,0,863.797333,1265.208000,1.464705,0.917515,0.835304,0.910399,BAL,0.0,+,9.165
2025-10-31T19:43:12,15.328,baseline,22,751,758,752,759,140.0,140.0,0.0,0.035391,0.088658,1.744727,20.0,20.0,2.121,WARN,169.6942,231.8608,0.10,0,672.514667,1085.888000,1.614668,0.715120,0.726175,1.015460,BAL,20.0,+,9.798
2025-10-31T19:43:12,15.922,baseline,23,782,789,782,789,140.0,140.0,0.0,0.070069,0.090354,1.289513,0.0,0.0,0.969,OK,147.1513,214.1396,0.10,0,608.653333,1078.856000,1.772530,0.647923,0.730914,1.128088,BAL,0.0,+,9.798
2025-10-31T19:43:13,16.531,baseline,24,812,819,812,819,140.0,140.0,0.0,0.098773,0.137284,1.289513,0.0,0.0,0.969,OK,136.5846,208.5433,0.10,0,625.357333,1148.800000,1.837030,0.671319,0.816839,1.216766,BAL,0.0,+,9.798
2025-10-31T19:43:14,17.187,baseline,25,844,851,844,851,140.0,140.0,0.0,0.161574,0.157778,1.289513,0.0,0.0,0.969,OK,130.7746,207.6458,0.10,0,549.728000,1152.968000,2.097343,0.595152,0.862511,1.449229,L↓,0.0,+,9.165
2025-10-31T19:43:14,17.969,baseline,26,882,889,881,888,140.0,140.0,0.0,0.278681,0.152176,1.289513,20.0,-20.0,0.969,OK,130.6453,206.7344,0.10,0,592.085333,1223.586667,2.066571,0.646060,0.925586,1.432663,L↓,-20.0,-,9.798
2025-10-31T19:43:15,18.734,baseline,27,921,928,921,928,140.0,140.0,0.0,0.171698,0.160906,0.976506,0.0,0.0,0.091,OK,136.5342,211.8571,0.10,0,785.688000,1356.941333,1.727074,0.864120,1.015099,1.174720,BAL,0.0,+,9.798
2025-10-31T19:43:16,19.515,baseline,28,960,967,960,967,140.0,140.0,0.0,0.145429,0.124097,0.937145,0.0,0.0,0.247,OK,146.1414,212.1628,0.10,0,815.562667,1320.346667,1.618940,0.915468,0.993824,1.085591,BAL,0.0,+,9.165
2025-10-31T19:43:17,20.234,baseline,29,996,1003,996,1003,140.0,140.0,0.0,0.081880,0.141342,0.937145,0.0,0.0,0.247,OK,142.0847,213.6194,0.10,0,851.933333,1315.989333,1.544709,0.976423,0.996700,1.020766,BAL,0.0,+,8.000
2025-10-31T19:43:17,20.969,baseline,30,1032,1039,1032,1039,140.0,140.0,0.0,0.103897,0.197209,0.937145,0.0,0.0,0.247,OK,137.9793,219.5600,0.10,0,827.381333,1277.128000,1.543578,0.953039,0.968866,1.016607,BAL,0.0,+,8.000
2025-10-31T19:43:18,21.625,baseline,31,1067,1074,1066,1073,140.0,140.0,0.0,0.084030,0.088145,1.048974,20.0,-20.0,0.182,OK,131.3400,216.5238,0.10,0,728.704000,1267.816000,1.739823,0.843605,0.963394,1.141996,BAL,-20.0,-,9.165
2025-10-31T19:43:19,22.281,baseline,32,1098,1105,1098,1105,140.0,140.0,0.0,0.104008,0.077391,1.048974,0.0,0.0,0.182,OK,124.7373,205.8076,0.10,0,692.533333,1111.434667,1.604883,0.807275,0.847405,1.049710,BAL,0.0,+,8.000
2025-10-31T19:43:19,22.937,baseline,33,1130,1137,1131,1138,140.0,140.0,0.0,0.166340,0.203926,1.225959,20.0,20.0,0.776,OK,124.0297,203.0936,0.10,0,669.298667,1070.074667,1.598800,0.785623,0.818626,1.042008,BAL,20.0,+,9.165
2025-10-31T19:43:20,23.609,baseline,34,1163,1170,1164,1171,140.0,140.0,0.0,0.147737,0.174906,1.183902,20.0,20.0,0.643,OK,125.3225,204.1254,0.10,0,727.714667,1158.264000,1.591646,0.866681,0.896389,1.034279,BAL,20.0,+,9.798
2025-10-31T19:43:21,24.265,baseline,35,1199,1206,1199,1206,140.0,140.0,0.0,0.166388,0.082809,1.048974,0.0,0.0,0.182,OK,125.6793,197.2824,0.10,0,731.224000,1250.861333,1.710640,0.883781,0.979433,1.108230,BAL,0.0,+,9.798
2025-10-31T19:43:22,25.047,baseline,36,1236,1243,1236,1243,140.0,140.0,0.0,0.205091,0.178477,0.870231,0.0,0.0,0.530,OK,127.1697,197.1449,0.10,0,678.333333,1178.365333,1.737148,0.825753,0.926044,1.121454,BAL,0.0,+,9.165
2025-10-31T19:43:22,25.703,baseline,37,1269,1276,1269,1276,140.0,140.0,0.0,0.144904,0.137145,0.946457,0.0,0.0,0.210,OK,133.9667,204.0115,0.10,0,627.920000,1056.680000,1.682826,0.769922,0.833465,1.082531,BAL,0.0,+,9.165
2025-10-31T19:43:23,26.422,baseline,38,1301,1308,1302,1309,140.0,140.0,0.0,0.073615,0.192604,0.946457,20.0,20.0,0.210,OK,135.3787,210.4688,0.10,0,743.437333,1115.842667,1.500924,0.926650,0.881036,0.950776,BAL,20.0,+,9.798
2025-10-31T19:43:24,27.015,baseline,39,1335,1342,1335,1342,140.0,140.0,0.0,0.099290,0.144111,0.946457,0.0,0.0,0.210,OK,134.0520,211.1842,0.10,0,859.661333,1369.280000,1.592813,1.054071,1.080031,1.024627,BAL,0.0,+,9.798
2025-10-31T19:43:24,27.750,baseline,40,1371,1378,1371,1378,140.0,140.0,0.0,0.058894,0.089535,1.451405,0.0,0.0,1.420,OK,130.0701,208.5106,0.10,0,901.093333,1230.586667,1.365659,1.096925,0.971634,0.885780,BAL,0.0,+,9.798
2025-10-31T19:43:25,28.469,baseline,41,1409,1416,1409,1416,140.0,140.0,0.0,0.129494,0.127619,1.451405,0.0,0.0,1.420,OK,123.2515,203.6698,0.10,0,557.029333,908.362667,1.630727,0.683000,0.717955,1.051179,BAL,0.0,+,9.165
2025-10-31T19:43:26,29.187,baseline,42,1445,1452,1445,1452,140.0,140.0,0.0,0.223003,0.124795,1.451405,0.0,0.0,1.420,OK,120.6991,196.5904,0.10,0,535.122667,901.858667,1.685331,0.666998,0.716879,1.074784,BAL,0.0,+,9.165
2025-10-31T19:43:26,29.906,baseline,43,1478,1485,1479,1486,140.0,140.0,0.0,0.225614,0.126770,0.985516,20.0,20.0,0.056,OK,126.1576,195.3889,0.10,0,438.714667,811.269333,1.849196,0.556033,0.648569,1.166421,BAL,20.0,+,9.165
2025-10-31T19:43:27,30.500,baseline,44,1510,1517,1511,1518,140.0,140.0,0.0,0.102219,0.158896,0.985516,20.0,20.0,0.056,OK,128.6579,192.6478,0.10,0,449.218667,845.173333,1.881430,0.570547,0.681194,1.193932,BAL,20.0,+,9.165
2025-10-31T19:43:28,31.156,baseline,45,1541,1548,1542,1549,140.0,140.0,0.0,0.096189,0.191310,0.985516,20.0,20.0,0.056,OK,130.0326,190.4731,0.10,0,579.728000,929.405333,1.603175,0.737860,0.755254,1.023573,BAL,20.0,+,9.798
2025-10-31T19:43:28,31.765,baseline,46,1573,1580,1573,1580,140.0,140.0,0.0,0.166198,0.150317,0.904447,0.0,0.0,0.383,OK,134.7242,193.7642,0.10,0,691.514667,1123.245333,1.624326,0.886085,0.915376,1.033057,BAL,0.0,+,9.798
2025-10-31T19:43:29,32.359,baseline,47,1604,1611,1604,1611,140.0,140.0,0.0,0.102548,0.104922,1.023147,0.0,0.0,0.087,OK,133.7144,195.7624,0.10,0,792.421333,1277.805333,1.612533,1.008570,1.038371,1.029548,BAL,0.0,+,9.798
2025-10-31T19:43:30,33.015,baseline,48,1636,1643,1636,1643,140.0,140.0,0.0,0.044225,0.087384,1.554466,0.0,0.0,1.681,WARN,126.2311,187.9950,0.10,0,884.778667,1319.056000,1.490832,1.123745,1.063134,0.946063,BAL,0.0,+,9.165
2025-10-31T19:43:30,33.687,baseline,49,1670,1677,1670,1677,140.0,140.0,0.0,0.068978,0.119915,1.738453,0.0,0.0,2.108,WARN,121.1771,183.5127,0.10,0,922.469333,1372.954667,1.488347,1.169151,1.097607,0.938807,BAL,0.0,+,9.165
2025-10-31T19:43:31,34.406,baseline,50,1703,1710,1704,1711,140.0,140.0,0.0,0.153988,0.182741,1.186718,20.0,20.0,0.652,OK,119.8816,188.2319,0.10,0,908.304000,1284.882667,1.414595,1.148713,1.021341,0.889118,BAL,20.0,+,9.798
2025-10-31T19:43:32,35.187,baseline,51,1739,1746,1740,1747,140.0,140.0,0.0,0.220008,0.251300,1.186718,20.0,20.0,0.652,OK,121.4022,190.3932,0.10,0,895.986667,1317.402667,1.470337,1.130695,1.041254,0.920897,BAL,20.0,+,10.000
2025-10-31T19:43:32,35.844,baseline,52,1775,1782,1776,1783,140.0,140.0,0.0,0.178842,0.249413,1.394601,20.0,20.0,1.268,OK,126.8916,196.8964,0.10,0,941.413333,1374.616000,1.460162,1.170924,1.085356,0.926923,BAL,20.0,+,9.798
2025-10-31T19:43:33,36.500,baseline,53,1809,1816,1809,1816,140.0,140.0,0.0,0.129534,0.155497,1.200431,0.0,0.0,0.696,OK,131.5643,197.6460,0.10,0,782.466667,1411.082667,1.803377,0.987438,1.113003,1.127163,BAL,0.0,+,10.000
2025-10-31T19:43:34,37.156,baseline,54,1843,1850,1843,1850,140.0,140.0,0.0,0.123751,0.173539,1.200431,0.0,0.0,0.696,OK,132.4313,196.9044,0.10,0,810.456000,1364.586667,1.683727,1.011251,1.072390,1.060459,BAL,0.0,+,9.798
2025-10-31T19:43:34,37.828,baseline,55,1877,1884,1877,1884,140.0,140.0,0.0,0.176530,0.194483,1.200431,0.0,0.0,0.696,OK,139.5484,206.8441,0.10,0,886.512000,1474.120000,1.662831,1.093843,1.154246,1.055221,BAL,0.0,+,9.165
2025-10-31T19:43:35,38.484,baseline,56,1910,1917,1910,1917,140.0,140.0,0.0,0.136238,0.124255,1.200431,0.0,0.0,0.696,OK,142.5135,210.9315,0.10,0,686.808000,1126.520000,1.640226,0.856969,0.885300,1.033060,BAL,0.0,+,9.165
2025-10-31T19:43:36,39.203,baseline,57,1945,1952,1944,1951,140.0,140.0,0.0,0.091696,0.061427,1.101701,20.0,-20.0,0.369,OK,136.1126,205.5373,0.10,0,537.277333,1049.792000,1.953911,0.678020,0.828032,1.221250,BAL,-20.0,-,9.798
2025-10-31T19:43:36,39.859,baseline,58,1978,1985,1978,1985,140.0,140.0,0.0,0.108538,0.096645,0.912043,0.0,0.0,0.351,OK,125.7039,202.6408,0.10,0,576.690667,998.045333,1.730642,0.729328,0.788027,1.080483,BAL,0.0,+,9.798
2025-10-31T19:43:37,40.578,baseline,59,2013,2020,2013,2020,140.0,140.0,0.0,0.132910,0.131777,0.912043,0.0,0.0,0.351,OK,123.7425,200.7329,0.10,0,540.720000,953.973333,1.764265,0.685316,0.754005,1.100229,BAL,0.0,+,9.798
2025-10-31T19:43:38,41.250,baseline,60,2047,2054,2048,2055,140.0,140.0,0.0,0.133496,0.161905,0.912043,20.0,20.0,0.351,OK,127.1423,200.1543,0.10,0,536.741333,863.160000,1.608149,0.681708,0.686118,1.006469,BAL,20.0,+,9.798
2025-10-31T19:43:38,41.969,baseline,61,2082,2089,2083,2090,140.0,140.0,0.0,0.045606,0.114401,0.991474,20.0,20.0,0.033,OK,121.8817,199.7146,0.10,0,619.248000,962.416000,1.554169,0.788160,0.769403,0.976201,BAL,20.0,+,9.798
2025-10-31T19:43:39,42.750,baseline,62,2120,2127,2119,2126,140.0,140.0,0.0,0.170000,0.124665,0.991474,20.0,-20.0,0.033,OK,123.4827,202.6794,0.10,0,582.834667,1047.773333,1.797720,0.743338,0.844485,1.136072,BAL,-20.0,-,9.798
2025-10-31T19:43:40,43.469,baseline,63,2157,2164,2157,2164,140.0,140.0,0.0,0.205822,0.183210,0.991474,0.0,0.0,0.033,OK,132.9220,210.3664,0.10,0,767.328000,1134.032000,1.477897,0.980653,0.921538,0.939719,BAL,0.0,+,9.798
2025-10-31T19:43:41,44.187,baseline,64,2193,2200,2194,2201,140.0,140.0,0.0,0.146391,0.186051,1.212809,20.0,20.0,0.735,OK,138.7647,215.3371,0.10,0,882.226667,1134.314667,1.285741,1.125178,0.924397,0.821556,BAL,20.0,+,10.000
