wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T20:42:56,0.000,none,1611,1998,0.000,0.000,1,1,1
2025-10-31T20:42:56,0.016,baseline,1668,2097,14.250,24.750,2,2,0
2025-10-31T20:42:57,0.031,baseline,1690,2163,20.722,42.167,3,3,0
2025-10-31T20:42:57,0.063,baseline,1680,2207,19.979,54.312,4,4,0
2025-10-31T20:42:57,0.078,baseline,1649,2211,13.863,58.610,5,5,0
2025-10-31T20:42:57,0.094,baseline,1638,2219,10.263,72.577,6,6,0
2025-10-31T20:42:57,0.110,baseline,1637,2219,1.306,74.648,7,7,0
2025-10-31T20:42:57,0.125,baseline,1616,2197,-11.952,65.873,8,8,0
2025-10-31T20:42:57,0.141,baseline,1588,2159,-26.280,46.856,9,9,0
2025-10-31T20:42:57,0.172,baseline,1570,2128,-37.100,25.336,10,10,0
2025-10-31T20:42:57,0.188,baseline,1535,2091,-51.627,-1.139,11,11,0
2025-10-31T20:42:57,0.203,baseline,1535,2047,-64.987,-32.644,12,12,0
2025-10-31T20:42:57,0.235,baseline,1535,2019,-73.800,-62.469,13,13,0
2025-10-31T20:42:57,0.250,baseline,1523,1984,-79.494,-89.645,14,14,0
2025-10-31T20:42:57,0.266,baseline,1510,1959,-84.354,-114.125,15,15,0
2025-10-31T20:42:57,0.297,baseline,1501,1946,-84.602,-132.966,16,16,0
2025-10-31T20:42:57,0.313,baseline,1469,1913,-91.303,-149.151,17,17,0
2025-10-31T20:42:57,0.328,baseline,1444,1873,-102.709,-167.239,18,18,0
2025-10-31T20:42:57,0.360,baseline,1421,1830,-115.932,-186.460,19,19,0
2025-10-31T20:42:57,0.375,baseline,1391,1776,-132.042,-210.780,20,20,0
2025-10-31T20:42:57,0.391,baseline,1373,1727,-149.391,-241.296,21,21,0
2025-10-31T20:42:57,0.422,baseline,1360,1695,-162.655,-270.742,22,22,0
2025-10-31T20:42:57,0.438,baseline,1334,1654,-175.876,-299.627,23,23,0
2025-10-31T20:42:57,0.453,baseline,1275,1616,-195.789,-326.898,24,24,0
2025-10-31T20:42:57,0.485,baseline,1261,1591,-212.191,-348.090,25,25,0
2025-10-31T20:42:57,0.500,baseline,1223,1568,-232.152,-364.061,26,26,0
2025-10-31T20:42:57,0.500,baseline,1191,1529,-255.355,-381.364,27,27,0
2025-10-31T20:42:57,0.531,baseline,1173,1509,-276.512,-394.569,28,28,0
2025-10-31T20:42:57,0.547,baseline,1149,1481,-290.552,-405.946,29,29,0
2025-10-31T20:42:57,0.563,baseline,1137,1459,-304.086,-416.894,30,30,0
2025-10-31T20:42:57,0.594,baseline,1125,1453,-312.511,-424.701,31,31,0
2025-10-31T20:42:57,0.610,baseline,1100,1439,-319.676,-427.915,32,32,0
2025-10-31T20:42:57,0.625,baseline,1077,1422,-327.936,-430.919,33,33,0
2025-10-31T20:42:57,0.656,baseline,1055,1409,-335.900,-431.373,34,34,0
2025-10-31T20:42:57,0.672,baseline,1056,1403,-341.425,-429.136,35,35,0
2025-10-31T20:42:57,0.688,baseline,1094,1445,-337.371,-418.024,36,36,0
2025-10-31T20:42:57,0.719,baseline,1185,1558,-311.145,-382.872,37,37,0
2025-10-31T20:42:57,0.735,baseline,1306,1724,-257.853,-313.364,38,38,0
2025-10-31T20:42:57,0.750,baseline,1421,1904,-179.507,-208.364,39,39,0
2025-10-31T20:42:57,0.781,baseline,1518,2075,-84.656,-71.786,40,40,0
