wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T20:25:37,0.000,none,958,1769,0.000,0.000,1,1,1
2025-10-31T20:25:37,0.031,baseline,902,1744,-14.000,-6.250,2,2,0
2025-10-31T20:25:37,0.047,baseline,854,1712,-26.222,-14.056,3,3,0
2025-10-31T20:25:37,0.063,baseline,819,1680,-35.729,-22.104,4,4,0
2025-10-31T20:25:37,0.094,baseline,785,1647,-44.303,-30.363,5,5,0
2025-10-31T20:25:37,0.109,baseline,752,1614,-62.903,-46.430,6,6,0
2025-10-31T20:25:37,0.125,baseline,739,1581,-75.475,-63.359,7,7,0
2025-10-31T20:25:37,0.156,baseline,731,1556,-82.641,-78.800,8,8,0
2025-10-31T20:25:37,0.172,baseline,784,1572,-75.747,-85.706,9,9,0
2025-10-31T20:25:37,0.188,baseline,953,1650,-34.967,-73.526,10,10,0
2025-10-31T20:25:37,0.219,baseline,1218,1782,54.597,-33.914,11,11,0
2025-10-31T20:25:37,0.234,baseline,1527,1941,194.468,36.248,12,12,0
2025-10-31T20:25:37,0.250,baseline,1847,2117,383.183,136.946,13,13,0
2025-10-31T20:25:37,0.281,baseline,2083,2251,592.139,251.645,14,14,0
2025-10-31T20:25:37,0.297,baseline,2209,2353,780.066,363.158,15,15,0
2025-10-31T20:25:37,0.313,baseline,2234,2406,913.465,453.625,16,16,0
2025-10-31T20:25:37,0.328,baseline,2176,2405,973.188,510.009,17,17,0
2025-10-31T20:25:37,0.344,baseline,2053,2353,949.884,522.031,18,18,0
2025-10-31T20:25:37,0.359,baseline,1895,2273,857.263,494.867,19,19,0
2025-10-31T20:25:37,0.406,baseline,1733,2175,718.356,433.044,20,20,0
2025-10-31T20:25:37,0.406,baseline,1583,2082,555.975,348.164,21,21,0
2025-10-31T20:25:37,0.422,baseline,1471,2017,393.242,256.447,22,22,0
2025-10-31T20:25:37,0.453,baseline,1413,1982,251.913,173.137,23,23,0
2025-10-31T20:25:37,0.469,baseline,1392,1974,144.009,107.925,24,24,0
2025-10-31T20:25:38,0.484,baseline,1410,1993,75.761,68.303,25,25,0
2025-10-31T20:25:38,0.516,baseline,1431,2018,43.427,53.177,26,26,0
2025-10-31T20:25:38,0.531,baseline,1438,2043,35.373,56.081,27,27,0
2025-10-31T20:25:38,0.547,baseline,1437,2062,38.654,69.360,28,28,0
