wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T20:08:31,0.000,none,1326,1344,0.000,0.000,1,1,1
2025-10-31T20:08:31,0.015,baseline,1282,1302,-11.000,-10.500,2,2,0
2025-10-31T20:08:31,0.031,baseline,1258,1251,-17.556,-23.000,3,3,0
2025-10-31T20:08:31,0.062,baseline,1232,1214,-23.792,-33.188,4,4,0
2025-10-31T20:08:31,0.078,baseline,1202,1182,-30.633,-41.870,5,5,0
2025-10-31T20:08:31,0.093,baseline,1194,1149,-41.633,-60.137,6,6,0
2025-10-31T20:08:31,0.125,baseline,1174,1117,-50.090,-77.080,7,7,0
2025-10-31T20:08:31,0.140,baseline,1163,1089,-57.132,-90.880,8,8,0
2025-10-31T20:08:31,0.156,baseline,1211,1104,-51.810,-96.263,9,9,0
2025-10-31T20:08:31,0.172,baseline,1339,1197,-20.030,-80.523,10,10,0
2025-10-31T20:08:31,0.187,baseline,1535,1371,44.952,-30.238,11,11,0
2025-10-31T20:08:31,0.203,baseline,1818,1638,159.176,69.205,12,12,0
2025-10-31T20:08:31,0.234,baseline,2095,1922,317.058,217.313,13,13,0
2025-10-31T20:08:31,0.250,baseline,2334,2194,498.993,401.760,14,14,0
2025-10-31T20:08:31,0.265,baseline,2510,2410,678.507,596.887,15,15,0
2025-10-31T20:08:31,0.297,baseline,2589,2539,826.550,772.381,16,16,0
2025-10-31T20:08:31,0.312,baseline,2591,2559,915.701,893.152,17,17,0
2025-10-31T20:08:31,0.328,baseline,2547,2548,942.615,954.377,18,18,0
2025-10-31T20:08:31,0.359,baseline,2462,2465,910.342,948.484,19,19,0
2025-10-31T20:08:31,0.375,baseline,2361,2355,830.619,884.437,20,20,0
2025-10-31T20:08:31,0.390,baseline,2259,2237,723.423,779.687,21,21,0
2025-10-31T20:08:31,0.422,baseline,2155,2111,603.569,654.653,22,22,0
2025-10-31T20:08:31,0.437,baseline,2076,2014,484.425,520.980,23,23,0
2025-10-31T20:08:31,0.453,baseline,2051,1967,383.440,401.634,24,24,0
2025-10-31T20:08:31,0.484,baseline,2064,1950,309.646,306.302,25,25,0
2025-10-31T20:08:31,0.500,baseline,2067,1968,259.795,241.779,26,26,0
2025-10-31T20:08:31,0.515,baseline,2075,1998,233.983,210.342,27,27,0
2025-10-31T20:08:31,0.547,baseline,2045,2001,218.969,199.739,28,28,0
2025-10-31T20:08:31,0.547,baseline,2021,2001,205.007,198.884,29,29,0
2025-10-31T20:08:31,0.562,baseline,1987,1968,182.744,195.216,30,30,0
2025-10-31T20:08:31,0.593,baseline,1941,1910,152.006,177.204,31,31,0
2025-10-31T20:08:31,0.609,baseline,1879,1836,108.936,139.860,32,32,0
2025-10-31T20:08:31,0.625,baseline,1808,1759,59.429,88.366,33,33,0
2025-10-31T20:08:31,0.656,baseline,1759,1674,6.691,22.099,34,34,0
2025-10-31T20:08:31,0.672,baseline,1698,1596,-49.668,-50.859,35,35,0
2025-10-31T20:08:31,0.687,baseline,1646,1520,-105.562,-125.195,36,36,0
2025-10-31T20:08:32,0.718,baseline,1587,1450,-159.355,-196.722,37,37,0
2025-10-31T20:08:32,0.734,baseline,1535,1391,-208.081,-262.901,38,38,0
2025-10-31T20:08:32,0.750,baseline,1526,1345,-247.845,-319.885,39,39,0
2025-10-31T20:08:32,0.781,baseline,1521,1296,-275.814,-369.938,40,40,0
2025-10-31T20:08:32,0.797,baseline,1503,1259,-296.612,-411.349,41,41,0
2025-10-31T20:08:32,0.812,baseline,1479,1237,-310.254,-442.621,42,42,0
2025-10-31T20:08:32,0.843,baseline,1440,1216,-321.229,-465.982,43,43,0
2025-10-31T20:08:32,0.859,baseline,1407,1186,-336.829,-485.933,44,44,0
2025-10-31T20:08:32,0.875,baseline,1388,1183,-354.992,-496.703,45,45,0
2025-10-31T20:08:32,0.906,baseline,1387,1194,-369.603,-498.108,46,46,0
2025-10-31T20:08:32,0.906,baseline,1461,1274,-364.891,-479.769,47,47,0
2025-10-31T20:08:32,0.922,baseline,1646,1451,-316.589,-423.284,48,48,0
2025-10-31T20:08:32,0.953,baseline,1889,1686,-215.380,-316.278,49,49,0
2025-10-31T20:08:32,0.968,baseline,2159,1950,-59.730,-159.310,50,50,0
2025-10-31T20:08:32,0.984,baseline,2386,2186,137.405,38.487,51,51,0
2025-10-31T20:08:32,1.015,baseline,2546,2365,347.492,251.734,52,52,0
2025-10-31T20:08:32,1.031,baseline,2640,2477,535.711,448.116,53,53,0
2025-10-31T20:08:32,1.047,baseline,2658,2529,676.325,604.947,54,54,0
2025-10-31T20:08:32,1.078,baseline,2629,2514,755.813,704.244,55,55,0
2025-10-31T20:08:32,1.093,baseline,2559,2469,775.757,746.752,56,56,0
2025-10-31T20:08:32,1.109,baseline,2478,2401,748.253,740.212,57,57,0
2025-10-31T20:08:32,1.140,baseline,2374,2325,682.579,697.087,58,58,0
2025-10-31T20:08:32,1.156,baseline,2286,2258,597.442,631.553,59,59,0
2025-10-31T20:08:32,1.172,baseline,2230,2209,508.655,560.665,60,60,0
2025-10-31T20:08:32,1.203,baseline,2198,2182,429.008,494.693,61,61,0
2025-10-31T20:08:32,1.218,baseline,2192,2192,365.579,445.317,62,62,0
2025-10-31T20:08:32,1.234,baseline,2218,2224,328.882,418.135,63,63,0
2025-10-31T20:08:32,1.265,baseline,2251,2258,316.688,411.391,64,64,0
2025-10-31T20:08:32,1.281,baseline,2254,2278,316.388,418.448,65,65,0
2025-10-31T20:08:32,1.297,baseline,2275,2288,326.609,432.784,66,66,0
2025-10-31T20:08:32,1.312,baseline,2240,2256,331.035,438.727,67,67,0
2025-10-31T20:08:32,1.328,baseline,2191,2195,320.690,426.355,68,68,0
2025-10-31T20:08:32,1.343,baseline,2119,2128,289.878,394.356,69,69,0
2025-10-31T20:08:32,1.375,baseline,2078,2055,250.907,344.583,70,70,0
2025-10-31T20:08:32,1.406,baseline,2011,1973,195.210,277.468,71,71,0
2025-10-31T20:08:32,1.406,baseline,1941,1887,133.448,200.725,72,72,0
2025-10-31T20:08:32,1.468,baseline,1872,1792,68.642,118.398,73,73,0
2025-10-31T20:08:32,1.468,baseline,1803,1712,5.339,34.675,74,74,0
2025-10-31T20:08:32,1.468,baseline,1722,1638,-64.985,-48.089,75,75,0
2025-10-31T20:08:32,1.531,baseline,1678,1602,-131.435,-121.989,76,76,0
2025-10-31T20:08:32,1.531,baseline,1664,1590,-187.692,-181.754,77,77,0
2025-10-31T20:08:32,1.531,baseline,1620,1557,-240.090,-230.095,78,78,0
2025-10-31T20:08:32,1.593,baseline,1602,1535,-283.635,-268.064,79,79,0
2025-10-31T20:08:32,1.593,baseline,1595,1553,-313.992,-289.181,80,80,0
2025-10-31T20:08:32,1.593,baseline,1535,1527,-347.520,-308.619,81,81,0
2025-10-31T20:08:32,1.656,baseline,1531,1515,-378.981,-328.349,82,82,0
2025-10-31T20:08:32,1.656,baseline,1535,1517,-400.869,-341.405,83,83,0
2025-10-31T20:08:32,1.656,baseline,1578,1535,-410.549,-346.755,84,84,0
2025-10-31T20:08:33,1.703,baseline,1695,1667,-395.331,-329.568,85,85,0
2025-10-31T20:08:33,1.718,baseline,1897,1872,-327.768,-266.509,86,86,0
2025-10-31T20:08:33,1.718,baseline,2109,2100,-216.829,-155.621,87,87,0
2025-10-31T20:08:33,1.765,baseline,2322,2333,-63.704,1.512,88,88,0
2025-10-31T20:08:33,1.765,baseline,2503,2535,117.549,195.685,89,89,0
2025-10-31T20:08:33,1.765,baseline,2608,2663,297.091,389.637,90,90,0
2025-10-31T20:08:33,1.828,baseline,2656,2711,446.619,553.067,91,91,0
2025-10-31T20:08:33,1.828,baseline,2665,2723,556.125,674.091,92,92,0
2025-10-31T20:08:33,1.828,baseline,2612,2669,612.864,738.488,93,93,0
2025-10-31T20:08:33,1.890,baseline,2542,2608,619.640,750.813,94,94,0
2025-10-31T20:08:33,1.890,baseline,2460,2535,589.013,723.133,95,95,0
2025-10-31T20:08:33,1.890,baseline,2352,2453,527.117,669.336,96,96,0
2025-10-31T20:08:33,1.953,baseline,2277,2395,448.293,601.219,97,97,0
2025-10-31T20:08:33,1.953,baseline,2229,2367,370.235,537.683,98,98,0
