wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T20:25:38,0.484,baseline,1,9,16,10,17,140.0,140.0,0.0,0.136293,0.158617,1.163789,20.0,20.0,0.578,OK,313.5004,166.2220,0.10,0,1008.155065,555.944454,0.551447,,,,R↓,20.0,+,
2025-10-31T20:25:38,1.203,baseline,2,45,52,46,53,140.0,140.0,0.0,0.148588,0.148801,1.082609,20.0,20.0,0.303,OK,251.6050,127.9001,0.10,0,1432.799597,757.736990,0.528851,,,,R↓,20.0,+,
2025-10-31T20:25:39,1.938,baseline,3,80,87,81,88,140.0,140.0,0.0,0.157956,0.171426,1.085272,20.0,20.0,0.312,OK,239.9728,122.1518,0.10,0,1536.904000,920.917333,0.599203,,,,R↓,20.0,+,0.000
2025-10-31T20:25:40,2.609,baseline,4,115,122,116,123,140.0,140.0,0.0,0.162082,0.169243,1.064727,20.0,20.0,0.239,OK,236.6053,121.1469,0.10,0,1410.466667,910.704000,0.645676,,,,R↓,20.0,+,0.000
2025-10-31T20:25:40,3.328,baseline,5,150,157,151,158,140.0,140.0,0.0,0.130500,0.150619,1.085272,20.0,20.0,0.312,OK,232.5245,116.8626,0.10,0,1364.018667,871.698667,0.639067,,,,R↓,20.0,+,0.000
2025-10-31T20:25:41,3.984,baseline,6,185,192,185,192,140.0,140.0,0.0,0.149989,0.176784,1.085272,0.0,0.0,0.312,OK,224.7137,120.1741,0.10,0,1139.752000,811.432000,0.711937,0.821595,0.964194,1.173563,BAL,0.0,+,7.454
2025-10-31T20:25:42,4.703,baseline,7,217,224,218,225,140.0,140.0,0.0,0.138342,0.223454,1.154172,20.0,20.0,0.547,OK,223.8539,130.0045,0.10,0,1256.634667,847.029333,0.674046,0.921274,1.000000,1.085454,BAL,20.0,+,6.999
2025-10-31T20:25:43,5.484,baseline,8,251,258,251,258,140.0,140.0,0.0,0.177886,0.186047,1.154172,0.0,0.0,0.547,OK,223.6720,138.5570,0.10,0,1258.365333,964.072000,0.766130,0.959711,1.121844,1.168939,BAL,0.0,+,8.660
2025-10-31T20:25:43,6.016,baseline,9,284,291,285,292,140.0,140.0,0.0,0.110603,0.160119,1.178646,20.0,20.0,0.626,OK,216.4557,140.4181,0.10,0,1297.146667,885.010667,0.682275,1.000000,1.015271,1.015271,BAL,20.0,+,8.315
2025-10-31T20:25:44,6.688,baseline,10,318,325,319,326,140.0,140.0,0.0,0.115972,0.147089,1.268311,20.0,20.0,0.906,OK,208.6180,137.6429,0.10,0,1317.890667,922.514667,0.699993,1.007933,1.050276,1.042010,BAL,20.0,+,8.000
2025-10-31T20:25:44,7.344,baseline,11,351,358,352,359,140.0,140.0,0.0,0.161977,0.171257,1.268311,20.0,20.0,0.906,OK,206.4289,136.0492,0.10,0,1309.730667,895.533333,0.683754,1.000000,1.011890,1.011890,BAL,20.0,+,8.000
2025-10-31T20:25:45,8.000,baseline,12,384,391,385,392,140.0,140.0,0.0,0.182827,0.233846,1.268311,20.0,20.0,0.906,OK,209.5084,139.7499,0.10,0,1427.629333,1042.464000,0.730206,1.086632,1.170950,1.077595,BAL,20.0,+,8.000
2025-10-31T20:25:46,8.672,baseline,13,418,425,419,426,140.0,140.0,0.0,0.120829,0.194351,1.279052,20.0,20.0,0.938,OK,206.7729,143.4356,0.10,0,1496.416000,1081.584000,0.722783,1.135463,1.207754,1.063667,BAL,20.0,+,8.000
2025-10-31T20:25:46,9.375,baseline,14,453,460,454,461,140.0,140.0,0.0,0.097935,0.176023,1.279052,20.0,20.0,0.938,OK,200.1918,143.4206,0.10,0,1468.520000,1064.213333,0.724684,1.095130,1.178376,1.076014,BAL,20.0,+,8.000
2025-10-31T20:25:47,10.047,baseline,15,486,493,486,493,140.0,140.0,0.0,0.113622,0.115093,1.279052,0.0,0.0,0.938,OK,195.3714,142.2266,0.10,0,1330.808000,1108.525333,0.832972,1.000000,1.217218,1.217218,BAL,0.0,+,9.165
2025-10-31T20:25:48,10.703,baseline,16,519,526,520,527,140.0,140.0,0.0,0.187536,0.200008,1.279052,20.0,20.0,0.938,OK,195.0785,142.6790,0.10,0,1494.424000,1114.848000,0.746005,1.109106,1.217335,1.097582,BAL,20.0,+,8.000
2025-10-31T20:25:48,11.359,baseline,17,554,561,554,561,140.0,140.0,0.0,0.289748,0.195123,1.066505,0.0,0.0,0.245,OK,200.9683,147.2898,0.10,0,1325.880000,1109.664000,0.836926,0.996297,1.204955,1.209434,BAL,0.0,+,9.165
2025-10-31T20:25:49,12.078,baseline,18,588,595,589,596,140.0,140.0,0.0,0.139154,0.209238,1.066505,20.0,20.0,0.245,OK,199.0820,151.2299,0.10,0,1326.981333,1021.165333,0.769540,0.998560,1.107896,1.109493,BAL,20.0,+,8.000
2025-10-31T20:25:50,12.797,baseline,19,622,629,622,629,140.0,140.0,0.0,0.113890,0.135202,1.066505,0.0,0.0,0.245,OK,189.1373,153.8291,0.10,0,1209.448000,1035.845333,0.856461,0.911428,1.122850,1.231967,BAL,0.0,+,9.165
2025-10-31T20:25:50,13.406,baseline,20,654,661,655,662,140.0,140.0,0.0,0.118419,0.172094,1.187133,20.0,20.0,0.654,OK,184.6164,157.1075,0.10,0,1492.125333,1213.965333,0.813581,1.122832,1.286944,1.146159,BAL,20.0,+,9.165
2025-10-31T20:25:51,14.063,baseline,21,688,695,689,696,140.0,140.0,0.0,0.192304,0.238760,1.241579,20.0,20.0,0.825,OK,184.2878,160.7103,0.10,0,1464.877333,1173.832000,0.801318,1.100743,1.217577,1.106141,BAL,20.0,+,9.165
2025-10-31T20:25:52,14.719,baseline,22,722,729,722,729,140.0,140.0,0.0,0.178935,0.137705,1.241579,0.0,0.0,0.825,OK,180.7706,158.2092,0.10,0,1412.738667,1289.733333,0.912931,1.048482,1.299324,1.239243,BAL,0.0,+,9.798
2025-10-31T20:25:52,15.391,baseline,23,754,761,755,762,140.0,140.0,0.0,0.101068,0.126965,1.241579,20.0,20.0,0.825,OK,173.6487,152.4665,0.10,0,1347.933333,1135.909333,0.842704,1.000000,1.112366,1.112366,BAL,20.0,+,9.798
2025-10-31T20:25:53,16.047,baseline,24,787,794,788,795,140.0,140.0,0.0,0.204871,0.189784,1.241579,20.0,20.0,0.825,OK,180.0269,152.6450,0.10,0,1495.557333,1125.328000,0.752447,1.102938,1.094139,0.992022,BAL,20.0,+,9.798
