wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T19:34:30,0.390,baseline,1,5,12,6,13,140.0,140.0,0.0,0.113817,0.165199,1.451446,20.0,20.0,1.420,OK,629.5987,612.3523,0.10,0,1676.376915,1568.099187,0.935410,,,,BAL,20.0,+,
2025-10-31T19:34:31,1.078,baseline,2,39,46,39,46,140.0,140.0,0.0,0.135264,0.140109,1.243631,0.0,0.0,0.831,OK,428.6926,416.9843,0.10,0,2098.751134,2155.271584,1.026931,,,,BAL,0.0,+,
2025-10-31T19:34:32,1.703,baseline,3,70,77,70,77,140.0,140.0,0.0,0.176193,0.171615,1.035815,0.0,0.0,0.134,OK,424.0893,404.0126,0.10,0,2284.280203,2342.858474,1.025644,,,,BAL,0.0,+,9.428
2025-10-31T19:34:32,2.312,baseline,4,100,107,101,108,140.0,140.0,0.0,0.153397,0.218831,1.231189,20.0,20.0,0.793,OK,449.9443,424.0245,0.10,0,2687.101333,2413.864000,0.898315,,,,BAL,20.0,+,10.000
2025-10-31T19:34:33,2.968,baseline,5,131,138,131,138,140.0,140.0,0.0,0.152644,0.150029,1.035815,0.0,0.0,0.134,OK,442.6221,416.2701,0.10,0,2563.232000,2587.760000,1.009569,,,,BAL,0.0,+,9.798
2025-10-31T19:34:33,3.515,baseline,6,161,168,161,168,140.0,140.0,0.0,0.098760,0.100812,1.020779,0.0,0.0,0.078,OK,414.5993,392.2971,0.10,0,2550.453333,2569.949333,1.007644,1.055054,1.080555,1.024170,BAL,0.0,+,9.428
2025-10-31T19:34:34,4.109,baseline,7,192,199,192,199,140.0,140.0,0.0,0.101728,0.099389,0.982869,0.0,0.0,0.066,OK,387.7261,367.3926,0.10,0,2412.226667,2408.130667,0.998302,1.000000,1.000000,1.000000,BAL,0.0,+,9.035
2025-10-31T19:34:35,4.765,baseline,8,222,229,222,229,140.0,140.0,0.0,0.093597,0.099070,1.020779,0.0,0.0,0.078,OK,372.0095,355.2278,0.10,0,2311.965333,2329.602667,1.007629,0.978777,0.980681,1.001945,BAL,0.0,+,8.660
2025-10-31T19:34:35,5.422,baseline,9,253,260,253,260,140.0,140.0,0.0,0.141416,0.146293,1.020779,0.0,0.0,0.078,OK,363.7827,349.4451,0.10,0,2215.469333,2156.226667,0.973260,0.958262,0.920340,0.960426,BAL,0.0,+,8.315
2025-10-31T19:34:36,5.968,baseline,10,284,291,284,291,140.0,140.0,0.0,0.133513,0.129593,1.020779,0.0,0.0,0.078,OK,354.3703,340.2116,0.10,0,2073.338667,1950.976000,0.940983,0.902188,0.835096,0.925634,BAL,0.0,+,8.000
