wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T20:48:13,0.000,none,1302,1875,0.000,0.000,1,1,1
2025-10-31T20:48:13,0.000,none,1298,1874,-1.000,-0.250,2,2,1
2025-10-31T20:48:13,0.015,baseline,1324,1895,4.667,4.389,3,3,0
2025-10-31T20:48:13,0.047,baseline,1388,1953,18.500,16.729,4,4,0
2025-10-31T20:48:13,0.062,baseline,1479,2026,38.960,33.663,5,5,0
2025-10-31T20:48:13,0.078,baseline,1586,2112,76.927,64.897,6,6,0
2025-10-31T20:48:13,0.109,baseline,1670,2171,124.270,101.882,7,7,0
2025-10-31T20:48:13,0.125,baseline,1728,2203,172.295,137.024,8,8,0
2025-10-31T20:48:13,0.140,baseline,1773,2209,213.828,161.007,9,9,0
2025-10-31T20:48:13,0.156,baseline,1797,2188,242.168,168.207,10,10,0
2025-10-31T20:48:13,0.172,baseline,1813,2161,254.838,157.047,11,11,0
2025-10-31T20:48:13,0.187,baseline,1826,2138,256.695,134.344,12,12,0
2025-10-31T20:48:14,0.218,baseline,1840,2113,253.100,104.946,13,13,0
2025-10-31T20:48:14,0.234,baseline,1840,2082,243.796,72.327,14,14,0
2025-10-31T20:48:14,0.250,baseline,1836,2066,231.829,43.834,15,15,0
2025-10-31T20:48:14,0.281,baseline,1815,2045,215.255,18.874,16,16,0
2025-10-31T20:48:14,0.297,baseline,1821,2020,199.643,-4.616,17,17,0
2025-10-31T20:48:14,0.312,baseline,1838,2018,186.568,-22.259,18,18,0
2025-10-31T20:48:14,0.343,baseline,1854,2005,178.108,-35.521,19,19,0
2025-10-31T20:48:14,0.359,baseline,1867,1987,174.025,-48.517,20,20,0
2025-10-31T20:48:14,0.375,baseline,1875,1979,176.200,-58.497,21,21,0
2025-10-31T20:48:14,0.406,baseline,1850,1952,172.830,-68.536,22,22,0
2025-10-31T20:48:14,0.422,baseline,1841,1930,165.075,-82.083,23,23,0
2025-10-31T20:48:14,0.437,baseline,1831,1917,153.073,-95.193,24,24,0
2025-10-31T20:48:14,0.468,baseline,1808,1884,135.023,-110.807,25,25,0
2025-10-31T20:48:14,0.484,baseline,1792,1851,113.400,-130.772,26,26,0
2025-10-31T20:48:14,0.500,baseline,1779,1829,95.152,-149.204,27,27,0
2025-10-31T20:48:14,0.515,baseline,1759,1805,75.652,-167.548,28,28,0
2025-10-31T20:48:14,0.531,baseline,1744,1775,56.037,-188.724,29,29,0
2025-10-31T20:48:14,0.547,baseline,1728,1760,38.557,-205.920,30,30,0
2025-10-31T20:48:14,0.578,baseline,1712,1741,21.736,-220.077,31,31,0
2025-10-31T20:48:14,0.593,baseline,1694,1712,4.540,-235.374,32,32,0
2025-10-31T20:48:14,0.609,baseline,1681,1712,-10.735,-245.783,33,33,0
2025-10-31T20:48:14,0.640,baseline,1662,1700,-26.317,-252.631,34,34,0
2025-10-31T20:48:14,0.656,baseline,1647,1685,-41.254,-259.514,35,35,0
2025-10-31T20:48:14,0.672,baseline,1633,1683,-55.397,-263.127,36,36,0
2025-10-31T20:48:14,0.703,baseline,1633,1681,-65.680,-261.619,37,37,0
2025-10-31T20:48:14,0.718,baseline,1648,1694,-70.273,-257.832,38,38,0
2025-10-31T20:48:14,0.734,baseline,1707,1758,-59.592,-239.534,39,39,0
2025-10-31T20:48:14,0.765,baseline,1777,1847,-32.655,-201.611,40,40,0
2025-10-31T20:48:14,0.781,baseline,1856,1936,11.714,-147.040,41,41,0
2025-10-31T20:48:14,0.797,baseline,1919,2000,67.275,-81.054,42,42,0
2025-10-31T20:48:14,0.828,baseline,1957,2034,125.997,-12.649,43,43,0
2025-10-31T20:48:14,0.843,baseline,1975,2045,175.368,43.740,44,44,0
2025-10-31T20:48:14,0.859,baseline,1977,2040,210.381,80.449,45,45,0
2025-10-31T20:48:14,0.875,baseline,1968,2032,227.492,97.387,46,46,0
2025-10-31T20:48:14,0.906,baseline,1955,2001,229.466,95.406,47,47,0
2025-10-31T20:48:14,0.906,baseline,1957,1986,224.462,83.922,48,48,0
2025-10-31T20:48:14,0.937,baseline,1957,1958,216.150,65.085,49,49,0
2025-10-31T20:48:14,0.953,baseline,1955,1936,207.328,43.340,50,50,0
2025-10-31T20:48:14,0.968,baseline,1945,1937,198.582,23.827,51,51,0
2025-10-31T20:48:14,1.000,baseline,1942,1936,192.053,10.601,52,52,0
2025-10-31T20:48:14,1.015,baseline,1939,1936,184.748,0.585,53,53,0
2025-10-31T20:48:14,1.031,baseline,1950,1937,179.816,-3.545,54,54,0
2025-10-31T20:48:14,1.062,baseline,1943,1941,174.064,-2.496,55,55,0
2025-10-31T20:48:14,1.078,baseline,1936,1936,169.069,-2.646,56,56,0
2025-10-31T20:48:14,1.093,baseline,1922,1921,162.060,-5.545,57,57,0
2025-10-31T20:48:14,1.125,baseline,1902,1920,151.887,-8.592,58,58,0
2025-10-31T20:48:14,1.140,baseline,1888,1899,137.028,-15.914,59,59,0
2025-10-31T20:48:14,1.156,baseline,1869,1871,120.108,-29.407,60,60,0
2025-10-31T20:48:14,1.187,baseline,1846,1863,100.365,-43.270,61,61,0
2025-10-31T20:48:14,1.203,baseline,1822,1838,79.012,-58.882,62,62,0
2025-10-31T20:48:15,1.218,baseline,1799,1815,57.442,-78.582,63,63,0
2025-10-31T20:48:15,1.250,baseline,1783,1787,35.842,-99.363,64,64,0
2025-10-31T20:48:15,1.250,baseline,1793,1757,20.306,-120.235,65,65,0
2025-10-31T20:48:15,1.265,baseline,1808,1738,12.506,-142.976,66,66,0
2025-10-31T20:48:15,1.297,baseline,1798,1707,7.588,-166.584,67,67,0
2025-10-31T20:48:15,1.312,baseline,1791,1680,5.898,-190.660,68,68,0
2025-10-31T20:48:15,1.328,baseline,1778,1673,4.823,-210.281,69,69,0
2025-10-31T20:48:15,1.375,baseline,1750,1662,-3.727,-225.915,70,70,0
2025-10-31T20:48:15,1.375,baseline,1733,1653,-18.463,-239.397,71,71,0
2025-10-31T20:48:15,1.437,baseline,1712,1645,-35.161,-248.200,72,72,0
2025-10-31T20:48:15,1.437,baseline,1731,1680,-46.502,-244.702,73,73,0
2025-10-31T20:48:15,1.437,baseline,1762,1722,-49.010,-231.631,74,74,0
2025-10-31T20:48:15,1.500,baseline,1840,1805,-30.575,-200.233,75,75,0
2025-10-31T20:48:15,1.500,baseline,1927,1936,6.838,-141.725,76,76,0
2025-10-31T20:48:15,1.500,baseline,1977,1989,56.430,-72.051,77,77,0
2025-10-31T20:48:15,1.562,baseline,2017,2027,108.223,-2.742,78,78,0
2025-10-31T20:48:15,1.562,baseline,2062,2077,160.955,67.355,79,79,0
2025-10-31T20:48:15,1.562,baseline,2058,2054,195.888,115.928,80,80,0
2025-10-31T20:48:15,1.625,baseline,2054,2039,213.040,135.659,81,81,0
2025-10-31T20:48:15,1.625,baseline,2061,2064,222.360,150.381,82,82,0
2025-10-31T20:48:15,1.625,baseline,2043,2039,221.088,153.293,83,83,0
2025-10-31T20:48:15,1.687,baseline,2037,2029,210.709,145.016,84,84,0
2025-10-31T20:48:15,1.687,baseline,2061,2047,206.771,145.389,85,85,0
2025-10-31T20:48:15,1.687,baseline,2035,2027,199.088,144.925,86,86,0
2025-10-31T20:48:15,1.734,baseline,2016,2009,186.741,135.920,87,87,0
2025-10-31T20:48:15,1.734,baseline,2019,2031,178.957,136.096,88,88,0
2025-10-31T20:48:15,1.750,baseline,1999,2003,168.653,132.403,89,89,0
2025-10-31T20:48:15,1.797,baseline,1984,1996,150.859,123.520,90,90,0
2025-10-31T20:48:15,1.859,baseline,1984,2013,138.405,121.765,91,91,0
2025-10-31T20:48:15,1.859,baseline,1959,1973,124.891,115.392,92,92,0
2025-10-31T20:48:15,1.859,baseline,1939,1966,106.984,103.139,93,93,0
2025-10-31T20:48:15,1.859,baseline,1939,1961,93.275,95.392,94,94,0
2025-10-31T20:48:15,1.859,baseline,1910,1909,77.045,78.667,95,95,0
2025-10-31T20:48:15,1.922,baseline,1903,1879,59.792,52.723,96,96,0
2025-10-31T20:48:15,1.922,baseline,1903,1885,47.765,36.032,97,97,0
2025-10-31T20:48:15,1.922,baseline,1863,1846,31.949,13.027,98,98,0
2025-10-31T20:48:15,1.984,baseline,1823,1828,8.381,-12.459,99,99,0
2025-10-31T20:48:15,1.984,baseline,1809,1834,-12.075,-26.419,100,100,0
2025-10-31T20:48:15,1.984,baseline,1767,1799,-39.389,-41.507,101,101,0
2025-10-31T20:48:15,2.031,baseline,1742,1775,-71.464,-62.629,102,102,0
2025-10-31T20:48:15,2.047,baseline,1741,1791,-95.632,-72.939,103,103,0
2025-10-31T20:48:15,2.047,baseline,1719,1751,-116.155,-87.821,104,104,0
2025-10-31T20:48:15,2.093,baseline,1705,1730,-136.613,-108.157,105,105,0
2025-10-31T20:48:15,2.109,baseline,1696,1749,-150.496,-117.853,106,106,0
2025-10-31T20:48:15,2.109,baseline,1667,1712,-165.205,-130.293,107,107,0
2025-10-31T20:48:15,2.156,baseline,1655,1724,-182.093,-143.603,108,108,0
2025-10-31T20:48:15,2.156,baseline,1684,1782,-188.907,-137.595,109,109,0
2025-10-31T20:48:15,2.156,baseline,1728,1840,-184.397,-116.280,110,110,0
2025-10-31T20:48:16,2.218,baseline,1808,1949,-162.597,-77.653,111,111,0
2025-10-31T20:48:16,2.218,baseline,1904,2087,-116.592,-5.109,112,112,0
2025-10-31T20:48:16,2.218,baseline,1971,2157,-55.717,77.832,113,113,0
2025-10-31T20:48:16,2.281,baseline,2027,2205,9.763,157.800,114,114,0
2025-10-31T20:48:16,2.281,baseline,2078,2253,76.056,235.099,115,115,0
2025-10-31T20:48:16,2.281,baseline,2080,2239,126.619,287.699,116,116,0
2025-10-31T20:48:16,2.343,baseline,2086,2227,159.459,310.776,117,117,0
2025-10-31T20:48:16,2.343,baseline,2112,2254,184.547,325.901,118,118,0
2025-10-31T20:48:16,2.343,baseline,2102,2223,196.949,325.944,119,119,0
2025-10-31T20:48:16,2.406,baseline,2083,2199,195.872,312.245,120,120,0
2025-10-31T20:48:16,2.453,baseline,2089,2210,195.869,303.880,121,121,0
2025-10-31T20:48:16,2.453,baseline,2047,2172,186.467,290.464,122,122,0
2025-10-31T20:48:16,2.453,baseline,2033,2149,169.275,267.200,123,123,0
2025-10-31T20:48:16,2.453,baseline,2039,2160,155.403,252.272,124,124,0
2025-10-31T20:48:16,2.468,baseline,2027,2131,143.021,236.248,125,125,0
2025-10-31T20:48:16,2.515,baseline,2034,2122,130.925,216.205,126,126,0
2025-10-31T20:48:16,2.515,baseline,2047,2150,129.795,209.248,127,127,0
2025-10-31T20:48:16,2.515,baseline,2022,2117,126.445,200.243,128,128,0
2025-10-31T20:48:16,2.578,baseline,1998,2095,117.187,184.755,129,129,0
2025-10-31T20:48:16,2.578,baseline,1994,2087,109.584,173.597,130,130,0
2025-10-31T20:48:16,2.578,baseline,1951,2032,92.179,153.477,131,131,0
2025-10-31T20:48:16,2.640,baseline,1915,1983,65.272,118.363,132,132,0
2025-10-31T20:48:16,2.640,baseline,1893,1974,39.211,88.387,133,133,0
2025-10-31T20:48:16,2.640,baseline,1851,1920,9.776,52.376,134,134,0
2025-10-31T20:48:16,2.703,baseline,1823,1877,-24.200,9.739,135,135,0
2025-10-31T20:48:16,2.703,baseline,1814,1869,-51.251,-23.259,136,136,0
2025-10-31T20:48:16,2.703,baseline,1776,1813,-78.597,-57.424,137,137,0
2025-10-31T20:48:16,2.765,baseline,1753,1785,-106.045,-95.165,138,138,0
2025-10-31T20:48:16,2.765,baseline,1747,1791,-126.296,-120.861,139,139,0
2025-10-31T20:48:16,2.765,baseline,1710,1747,-148.248,-146.715,140,140,0
2025-10-31T20:48:16,2.812,baseline,1677,1732,-174.736,-173.936,141,141,0
2025-10-31T20:48:16,2.828,baseline,1659,1744,-196.976,-187.723,142,142,0
2025-10-31T20:48:16,2.828,baseline,1627,1712,-220.701,-202.475,143,143,0
2025-10-31T20:48:16,2.875,baseline,1603,1689,-247.656,-223.059,144,144,0
2025-10-31T20:48:16,2.875,baseline,1615,1706,-264.672,-231.587,145,145,0
2025-10-31T20:48:16,2.875,baseline,1623,1720,-273.544,-234.509,146,146,0
2025-10-31T20:48:16,2.937,baseline,1681,1788,-267.504,-226.515,147,147,0
2025-10-31T20:48:16,2.937,baseline,1779,1923,-236.029,-185.683,148,148,0
2025-10-31T20:48:16,2.937,baseline,1853,2013,-185.664,-122.984,149,149,0
2025-10-31T20:48:16,3.000,baseline,1935,2093,-121.912,-48.336,150,150,0
2025-10-31T20:48:16,3.000,baseline,2007,2157,-45.867,35.901,151,151,0
2025-10-31T20:48:16,3.000,baseline,2038,2144,24.533,103.907,152,152,0
2025-10-31T20:48:16,3.062,baseline,2065,2127,80.733,141.893,153,153,0
2025-10-31T20:48:16,3.062,baseline,2089,2155,127.104,168.048,154,154,0
2025-10-31T20:48:16,3.062,baseline,2071,2113,153.693,170.413,155,155,0
2025-10-31T20:48:16,3.125,baseline,2061,2096,164.077,157.016,156,156,0
2025-10-31T20:48:16,3.125,baseline,2042,2098,164.675,146.941,157,157,0
2025-10-31T20:48:16,3.125,baseline,2015,2035,154.675,127.944,158,158,0
2025-10-31T20:48:16,3.172,baseline,2006,2017,138.229,99.987,159,159,0
2025-10-31T20:48:16,3.187,baseline,2014,2030,127.144,83.232,160,160,0
2025-10-31T20:48:16,3.187,baseline,2007,1991,116.752,62.325,161,161,0
2025-10-31T20:48:17,3.234,baseline,2003,1974,109.344,37.803,162,162,0
2025-10-31T20:48:17,3.234,baseline,2019,1990,110.461,29.179,163,163,0
2025-10-31T20:48:17,3.234,baseline,1999,1958,109.296,17.843,164,164,0
2025-10-31T20:48:17,3.297,baseline,1977,1934,102.024,-0.773,165,165,0
2025-10-31T20:48:17,3.297,baseline,1965,1939,93.728,-10.488,166,166,0
2025-10-31T20:48:17,3.297,baseline,1910,1879,75.328,-28.645,167,167,0
2025-10-31T20:48:17,3.359,baseline,1870,1840,45.912,-57.576,168,168,0
2025-10-31T20:48:17,3.359,baseline,1843,1838,15.352,-80.299,169,169,0
2025-10-31T20:48:17,3.359,baseline,1791,1789,-20.909,-107.867,170,170,0
2025-10-31T20:48:17,3.422,baseline,1753,1754,-62.021,-143.299,171,171,0
2025-10-31T20:48:17,3.422,baseline,1723,1758,-97.784,-165.843,172,172,0
2025-10-31T20:48:17,3.422,baseline,1665,1718,-136.803,-188.581,173,173,0
2025-10-31T20:48:17,3.484,baseline,1619,1686,-179.333,-217.269,174,174,0
2025-10-31T20:48:17,3.484,baseline,1597,1698,-215.616,-233.715,175,175,0
2025-10-31T20:48:17,3.547,baseline,1557,1659,-252.139,-250.920,176,176,0
2025-10-31T20:48:17,3.547,baseline,1527,1633,-288.568,-274.085,177,177,0
2025-10-31T20:48:17,3.547,baseline,1523,1634,-314.144,-288.973,178,178,0
2025-10-31T20:48:17,3.547,baseline,1504,1594,-334.291,-305.421,179,179,0
2025-10-31T20:48:17,3.593,baseline,1497,1581,-351.448,-326.835,180,180,0
2025-10-31T20:48:17,3.593,baseline,1535,1648,-353.136,-327.152,181,181,0
2025-10-31T20:48:17,3.609,baseline,1609,1702,-334.443,-311.821,182,182,0
2025-10-31T20:48:17,3.656,baseline,1698,1807,-297.845,-276.331,183,183,0
2025-10-31T20:48:17,3.656,baseline,1801,1925,-237.733,-210.040,184,184,0
2025-10-31T20:48:17,3.656,baseline,1853,1980,-166.709,-130.920,185,185,0
2025-10-31T20:48:17,3.718,baseline,1894,2005,-95.744,-60.619,186,186,0
2025-10-31T20:48:17,3.718,baseline,1920,2028,-34.576,3.613,187,187,0
2025-10-31T20:48:17,3.718,baseline,1910,2002,7.069,42.280,188,188,0
2025-10-31T20:48:17,3.781,baseline,1894,1971,25.581,52.152,189,189,0
2025-10-31T20:48:17,3.781,baseline,1889,1979,33.531,53.728,190,190,0
2025-10-31T20:48:17,3.781,baseline,1855,1935,27.309,42.464,191,191,0
2025-10-31T20:48:17,3.843,baseline,1839,1904,13.389,21.104,192,192,0
2025-10-31T20:48:17,3.843,baseline,1840,1914,2.232,7.437,193,193,0
2025-10-31T20:48:17,3.843,baseline,1819,1874,-9.525,-7.723,194,194,0
2025-10-31T20:48:17,3.906,baseline,1811,1869,-21.661,-25.333,195,195,0
2025-10-31T20:48:17,3.906,baseline,1820,1893,-25.080,-29.309,196,196,0
2025-10-31T20:48:17,3.906,baseline,1797,1869,-29.891,-31.939,197,197,0
2025-10-31T20:48:17,3.953,baseline,1777,1867,-38.944,-37.123,198,198,0
2025-10-31T20:48:17,3.953,baseline,1771,1881,-45.037,-31.693,199,199,0
2025-10-31T20:48:17,3.968,baseline,1725,1831,-58.651,-35.344,200,200,0
2025-10-31T20:48:17,4.015,baseline,1698,1787,-79.285,-52.547,201,201,0
2025-10-31T20:48:17,4.015,baseline,1681,1776,-98.411,-66.960,202,202,0
2025-10-31T20:48:17,4.015,baseline,1639,1728,-121.597,-90.288,203,203,0
2025-10-31T20:48:17,4.078,baseline,1605,1697,-150.051,-122.299,204,204,0
2025-10-31T20:48:17,4.078,baseline,1599,1703,-170.256,-142.885,205,205,0
2025-10-31T20:48:17,4.078,baseline,1535,1655,-197.648,-164.160,206,206,0
2025-10-31T20:48:17,4.140,baseline,1517,1629,-225.155,-188.488,207,207,0
2025-10-31T20:48:17,4.140,baseline,1508,1637,-246.056,-201.755,208,208,0
2025-10-31T20:48:17,4.140,baseline,1472,1603,-267.395,-215.837,209,209,0
2025-10-31T20:48:17,4.203,baseline,1449,1587,-292.189,-234.571,210,210,0
2025-10-31T20:48:17,4.203,baseline,1446,1604,-304.912,-240.603,211,211,0
2025-10-31T20:48:17,4.203,baseline,1417,1557,-319.939,-251.096,212,212,0
