wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T19:28:56,0.000,none,2759,2944,0.000,0.000,1,1,1
2025-10-31T19:28:56,0.016,baseline,2544,2727,-53.750,-54.250,2,2,0
2025-10-31T19:28:56,0.047,baseline,2361,2541,-100.389,-101.611,3,3,0
2025-10-31T19:28:56,0.063,baseline,2222,2399,-137.667,-139.646,4,4,0
2025-10-31T19:28:56,0.078,baseline,2130,2320,-164.773,-164.957,5,5,0
2025-10-31T19:28:56,0.110,baseline,2065,2269,-221.140,-217.823,6,6,0
2025-10-31T19:28:56,0.125,baseline,2022,2243,-255.326,-245.895,7,7,0
2025-10-31T19:28:56,0.141,baseline,1977,2221,-273.192,-254.028,8,8,0
2025-10-31T19:28:56,0.172,baseline,1907,2171,-286.048,-254.300,9,9,0
2025-10-31T19:28:56,0.188,baseline,1821,2096,-303.368,-260.480,10,10,0
2025-10-31T19:28:56,0.203,baseline,1713,2000,-332.056,-279.086,11,11,0
2025-10-31T19:28:56,0.219,baseline,1587,1862,-377.437,-320.132,12,12,0
2025-10-31T19:28:56,0.235,baseline,1454,1714,-438.683,-383.885,13,13,0
2025-10-31T19:28:56,0.250,baseline,1328,1559,-508.756,-464.863,14,14,0
2025-10-31T19:28:56,0.281,baseline,1209,1414,-582.983,-555.710,15,15,0
2025-10-31T19:28:56,0.297,baseline,1093,1277,-656.728,-650.800,16,16,0
2025-10-31T19:28:56,0.313,baseline,979,1166,-726.579,-737.642,17,17,0
2025-10-31T19:28:56,0.344,baseline,894,1063,-786.211,-813.732,18,18,0
2025-10-31T19:28:56,0.360,baseline,841,993,-831.561,-872.385,19,19,0
2025-10-31T19:28:56,0.375,baseline,908,1058,-841.914,-890.888,20,20,0
2025-10-31T19:28:56,0.406,baseline,1131,1302,-789.724,-838.583,21,21,0
2025-10-31T19:28:56,0.422,baseline,1520,1718,-646.306,-690.570,22,22,0
2025-10-31T19:28:56,0.438,baseline,2017,2210,-400.055,-437.560,23,23,0
2025-10-31T19:28:56,0.469,baseline,2507,2683,-62.051,-93.224,24,24,0
2025-10-31T19:28:56,0.485,baseline,2928,3040,328.753,291.626,25,25,0
2025-10-31T19:28:56,0.500,baseline,3216,3280,716.001,659.806,26,26,0
2025-10-31T19:28:56,0.531,baseline,3312,3309,1032.235,939.555,27,27,0
2025-10-31T19:28:56,0.547,baseline,3219,3170,1223.947,1088.154,28,28,0
2025-10-31T19:28:56,0.563,baseline,3011,2949,1275.459,1098.768,29,29,0
2025-10-31T19:28:56,0.578,baseline,2771,2715,1199.089,996.268,30,30,0
2025-10-31T19:28:56,0.594,baseline,2538,2473,1026.154,805.422,31,31,0
2025-10-31T19:28:56,0.610,baseline,2313,2259,798.164,574.962,32,32,0
2025-10-31T19:28:56,0.641,baseline,2112,2080,557.599,344.931,33,33,0
2025-10-31T19:28:56,0.656,baseline,1965,1951,337.062,140.387,34,34,0
2025-10-31T19:28:56,0.672,baseline,1879,1885,153.522,-25.113,35,35,0
2025-10-31T19:28:56,0.703,baseline,1829,1847,11.164,-146.057,36,36,0
2025-10-31T19:28:56,0.719,baseline,1801,1836,-88.748,-224.144,37,37,0
2025-10-31T19:28:56,0.735,baseline,1750,1818,-156.737,-268.887,38,38,0
2025-10-31T19:28:56,0.766,baseline,1681,1779,-207.819,-295.102,39,39,0
2025-10-31T19:28:56,0.781,baseline,1600,1713,-256.744,-320.852,40,40,0
2025-10-31T19:28:56,0.797,baseline,1482,1617,-317.864,-357.493,41,41,0
2025-10-31T19:28:56,0.828,baseline,1355,1488,-396.987,-416.492,42,42,0
2025-10-31T19:28:56,0.844,baseline,1216,1349,-491.611,-497.947,43,43,0
2025-10-31T19:28:56,0.875,baseline,1088,1211,-595.797,-597.099,44,44,0
2025-10-31T19:28:56,0.891,baseline,960,1073,-707.072,-708.349,45,45,0
2025-10-31T19:28:57,0.906,baseline,848,941,-815.014,-824.481,46,46,0
2025-10-31T19:28:57,0.922,baseline,757,832,-913.919,-934.532,47,47,0
2025-10-31T19:28:57,0.953,baseline,679,739,-999.172,-1033.633,48,48,0
2025-10-31T19:28:57,0.953,baseline,607,667,-1072.103,-1118.175,49,49,0
2025-10-31T19:28:57,0.969,baseline,572,609,-1125.771,-1185.775,50,50,0
2025-10-31T19:28:57,1.000,baseline,595,625,-1152.359,-1223.488,51,51,0
2025-10-31T19:28:57,1.016,baseline,742,777,-1132.206,-1209.756,52,52,0
2025-10-31T19:28:57,1.031,baseline,1078,1118,-1031.653,-1111.605,53,53,0
2025-10-31T19:28:57,1.063,baseline,1556,1584,-825.456,-910.146,54,54,0
2025-10-31T19:28:57,1.078,baseline,2090,2095,-511.723,-601.095,55,55,0
2025-10-31T19:28:57,1.094,baseline,2551,2512,-117.967,-219.238,56,56,0
2025-10-31T19:28:57,1.125,baseline,2883,2802,304.893,182.667,57,57,0
2025-10-31T19:28:57,1.141,baseline,3042,2938,685.462,537.113,58,58,0
2025-10-31T19:28:57,1.156,baseline,3022,2883,961.618,783.040,59,59,0
2025-10-31T19:28:57,1.188,baseline,2870,2725,1098.373,893.379,60,60,0
2025-10-31T19:28:57,1.203,baseline,2659,2493,1100.932,874.436,61,61,0
2025-10-31T19:28:57,1.219,baseline,2414,2269,990.237,754.928,62,62,0
2025-10-31T19:28:57,1.250,baseline,2177,2035,803.709,564.786,63,63,0
2025-10-31T19:28:57,1.266,baseline,1977,1847,584.988,351.696,64,64,0
2025-10-31T19:28:57,1.281,baseline,1836,1730,372.073,150.170,65,65,0
2025-10-31T19:28:57,1.313,baseline,1748,1666,186.821,-15.066,66,66,0
2025-10-31T19:28:57,1.328,baseline,1717,1655,46.635,-135.788,67,67,0
2025-10-31T19:28:57,1.328,baseline,1703,1678,-47.465,-204.065,68,68,0
2025-10-31T19:28:57,1.360,baseline,1681,1703,-105.088,-229.389,69,69,0
2025-10-31T19:28:57,1.391,baseline,1648,1701,-140.598,-231.722,70,70,0
2025-10-31T19:28:57,1.406,baseline,1575,1635,-172.671,-234.471,71,71,0
2025-10-31T19:28:57,1.453,baseline,1456,1523,-221.681,-257.157,72,72,0
2025-10-31T19:28:57,1.453,baseline,1333,1389,-291.548,-310.550,73,73,0
2025-10-31T19:28:57,1.453,baseline,1184,1231,-385.560,-399.367,74,74,0
2025-10-31T19:28:57,1.516,baseline,1074,1104,-493.548,-511.706,75,75,0
2025-10-31T19:28:57,1.516,baseline,961,990,-605.475,-629.198,76,76,0
2025-10-31T19:28:57,1.516,baseline,851,875,-712.131,-743.405,77,77,0
2025-10-31T19:28:57,1.578,baseline,759,773,-809.667,-847.888,78,78,0
2025-10-31T19:28:57,1.578,baseline,688,694,-889.229,-933.805,79,79,0
2025-10-31T19:28:57,1.578,baseline,624,628,-957.541,-1005.083,80,80,0
2025-10-31T19:28:57,1.641,baseline,578,571,-1013.283,-1065.643,81,81,0
2025-10-31T19:28:57,1.641,baseline,561,557,-1051.043,-1106.445,82,82,0
2025-10-31T19:28:57,1.641,baseline,607,596,-1061.821,-1119.429,83,83,0
2025-10-31T19:28:57,1.703,baseline,813,802,-1018.373,-1076.309,84,84,0
2025-10-31T19:28:57,1.703,baseline,1199,1191,-887.283,-944.288,85,85,0
2025-10-31T19:28:57,1.703,baseline,1691,1667,-652.499,-709.307,86,86,0
2025-10-31T19:28:57,1.750,baseline,2209,2153,-316.269,-379.597,87,87,0
2025-10-31T19:28:57,1.813,baseline,2640,2556,90.144,16.333,88,88,0
2025-10-31T19:28:57,1.813,baseline,2912,2803,502.616,413.496,89,89,0
2025-10-31T19:28:57,1.813,baseline,3022,2882,853.395,742.331,90,90,0
2025-10-31T19:28:57,1.828,baseline,2947,2800,1085.771,954.616,91,91,0
2025-10-31T19:28:57,1.828,baseline,2761,2614,1174.253,1029.416,92,92,0
2025-10-31T19:28:57,1.875,baseline,2529,2398,1128.939,979.101,93,93,0
2025-10-31T19:28:57,1.875,baseline,2303,2183,984.349,836.531,94,94,0
2025-10-31T19:28:57,1.875,baseline,2079,1968,774.672,636.648,95,95,0
2025-10-31T19:28:58,1.938,baseline,1906,1804,548.272,423.088,96,96,0
2025-10-31T19:28:58,1.938,baseline,1806,1719,343.061,233.587,97,97,0
2025-10-31T19:28:58,1.938,baseline,1741,1681,176.347,84.656,98,98,0
2025-10-31T19:28:58,2.000,baseline,1735,1706,59.589,-10.496,99,99,0
2025-10-31T19:28:58,2.000,baseline,1744,1753,-4.288,-47.389,100,100,0
2025-10-31T19:28:58,2.000,baseline,1712,1762,-33.888,-44.296,101,101,0
2025-10-31T19:28:58,2.063,baseline,1661,1733,-48.523,-25.797,102,102,0
2025-10-31T19:28:58,2.063,baseline,1583,1679,-62.131,-7.933,103,103,0
2025-10-31T19:28:58,2.063,baseline,1455,1565,-98.048,-16.784,104,104,0
2025-10-31T19:28:58,2.110,baseline,1329,1445,-160.277,-59.080,105,105,0
2025-10-31T19:28:58,2.125,baseline,1206,1314,-241.165,-130.333,106,106,0
2025-10-31T19:28:58,2.125,baseline,1059,1169,-342.312,-226.083,107,107,0
2025-10-31T19:28:58,2.172,baseline,927,1049,-455.461,-336.259,108,108,0
2025-10-31T19:28:58,2.235,baseline,832,951,-563.139,-444.259,109,109,0
2025-10-31T19:28:58,2.235,baseline,749,849,-663.048,-549.283,110,110,0
2025-10-31T19:28:58,2.235,baseline,673,779,-754.027,-642.349,111,111,0
2025-10-31T19:28:58,2.250,baseline,609,719,-828.571,-718.344,112,112,0
2025-10-31T19:28:58,2.250,baseline,557,661,-887.093,-781.603,113,113,0
2025-10-31T19:28:58,2.297,baseline,565,679,-925.061,-821.395,114,114,0
