wall_time,elapsed_s,marker,rawL,rawR,filtL,filtR,baseLenL,baseLenR,autoBase
2025-10-31T20:17:00,0.000,none,2275,2450,0.000,0.000,1,1,1
2025-10-31T20:17:00,0.016,baseline,2354,2512,19.750,15.500,2,2,0
2025-10-31T20:17:00,0.032,baseline,2370,2546,25.500,24.778,3,3,0
2025-10-31T20:17:00,0.063,baseline,2320,2528,16.688,23.333,4,4,0
2025-10-31T20:17:00,0.079,baseline,2211,2458,-5.650,10.507,5,5,0
2025-10-31T20:17:00,0.094,baseline,2096,2367,-40.650,-11.460,6,6,0
2025-10-31T20:17:00,0.125,baseline,1987,2288,-97.236,-50.031,7,7,0
2025-10-31T20:17:00,0.141,baseline,1889,2211,-164.386,-100.498,8,8,0
2025-10-31T20:17:00,0.141,baseline,1808,2153,-229.947,-151.765,9,9,0
2025-10-31T20:17:00,0.172,baseline,1776,2128,-277.467,-190.825,10,10,0
2025-10-31T20:17:00,0.188,baseline,1757,2122,-306.394,-212.876,11,11,0
2025-10-31T20:17:00,0.204,baseline,1771,2125,-313.742,-220.305,12,12,0
2025-10-31T20:17:00,0.235,baseline,1795,2140,-301.284,-212.474,13,13,0
2025-10-31T20:17:00,0.250,baseline,1795,2133,-277.687,-197.850,14,14,0
2025-10-31T20:17:00,0.266,baseline,1775,2119,-255.887,-183.897,15,15,0
2025-10-31T20:17:00,0.297,baseline,1753,2100,-238.010,-174.629,16,16,0
2025-10-31T20:17:00,0.313,baseline,1701,2063,-235.106,-174.499,17,17,0
2025-10-31T20:17:00,0.329,baseline,1634,2006,-250.647,-188.763,18,18,0
2025-10-31T20:17:00,0.360,baseline,1565,1957,-279.333,-210.900,19,19,0
2025-10-31T20:17:00,0.375,baseline,1483,1889,-319.163,-242.783,20,20,0
2025-10-31T20:17:00,0.391,baseline,1423,1825,-365.065,-282.271,21,21,0
2025-10-31T20:17:00,0.422,baseline,1375,1776,-408.872,-322.819,22,22,0
2025-10-31T20:17:00,0.438,baseline,1315,1712,-450.239,-363.559,23,23,0
2025-10-31T20:17:00,0.454,baseline,1251,1662,-489.764,-403.430,24,24,0
2025-10-31T20:17:00,0.485,baseline,1201,1622,-522.454,-437.016,25,25,0
2025-10-31T20:17:00,0.500,baseline,1158,1584,-551.501,-465.024,26,26,0
2025-10-31T20:17:00,0.516,baseline,1115,1535,-579.365,-492.702,27,27,0
2025-10-31T20:17:00,0.532,baseline,1102,1527,-598.015,-509.314,28,28,0
2025-10-31T20:17:00,0.547,baseline,1102,1525,-604.504,-516.795,29,29,0
2025-10-31T20:17:00,0.563,baseline,1180,1582,-586.844,-505.959,30,30,0
2025-10-31T20:17:00,0.594,baseline,1356,1699,-528.147,-466.132,31,31,0
2025-10-31T20:17:01,0.610,baseline,1580,1850,-420.303,-389.449,32,32,0
2025-10-31T20:17:01,0.625,baseline,1814,2018,-268.514,-281.548,33,33,0
2025-10-31T20:17:01,0.657,baseline,2032,2177,-79.494,-146.105,34,34,0
2025-10-31T20:17:01,0.672,baseline,2176,2299,116.457,-2.336,35,35,0
2025-10-31T20:17:01,0.688,baseline,2240,2371,284.899,128.400,36,36,0
2025-10-31T20:17:01,0.719,baseline,2247,2415,406.488,234.645,37,37,0
2025-10-31T20:17:01,0.735,baseline,2197,2384,469.691,299.350,38,38,0
2025-10-31T20:17:01,0.750,baseline,2110,2318,472.110,318.680,39,39,0
2025-10-31T20:17:01,0.782,baseline,2007,2248,426.659,300.291,40,40,0
2025-10-31T20:17:01,0.797,baseline,1906,2161,350.491,251.565,41,41,0
2025-10-31T20:17:01,0.813,baseline,1803,2081,255.006,180.037,42,42,0
2025-10-31T20:17:01,0.844,baseline,1726,2042,156.757,108.821,43,43,0
2025-10-31T20:17:01,0.860,baseline,1687,2013,70.340,46.611,44,44,0
2025-10-31T20:17:01,0.875,baseline,1680,2005,4.763,-1.984,45,45,0
2025-10-31T20:17:01,0.907,baseline,1709,2032,-33.873,-27.166,46,46,0
2025-10-31T20:17:01,0.922,baseline,1718,2047,-49.740,-33.207,47,47,0
2025-10-31T20:17:01,0.922,baseline,1729,2054,-48.058,-30.124,48,48,0
2025-10-31T20:17:01,0.954,baseline,1715,2057,-41.545,-20.858,49,49,0
2025-10-31T20:17:01,0.969,baseline,1663,2026,-44.015,-16.310,50,50,0
2025-10-31T20:17:01,0.985,baseline,1605,1985,-63.514,-25.197,51,51,0
2025-10-31T20:17:01,1.016,baseline,1556,1941,-94.030,-45.492,52,52,0
2025-10-31T20:17:01,1.032,baseline,1467,1871,-143.601,-80.515,53,53,0
2025-10-31T20:17:01,1.047,baseline,1392,1806,-204.242,-128.239,54,54,0
2025-10-31T20:17:01,1.079,baseline,1329,1741,-265.972,-181.784,55,55,0
2025-10-31T20:17:01,1.094,baseline,1269,1678,-327.043,-238.720,56,56,0
2025-10-31T20:17:01,1.110,baseline,1228,1625,-385.535,-296.464,57,57,0
2025-10-31T20:17:01,1.141,baseline,1195,1586,-432.101,-347.180,58,58,0
2025-10-31T20:17:01,1.157,baseline,1139,1526,-474.250,-396.130,59,59,0
2025-10-31T20:17:01,1.172,baseline,1097,1484,-511.689,-439.834,60,60,0
2025-10-31T20:17:01,1.204,baseline,1072,1453,-541.761,-476.633,61,61,0
2025-10-31T20:17:01,1.219,baseline,1023,1413,-573.061,-510.396,62,62,0
2025-10-31T20:17:01,1.235,baseline,1015,1393,-599.083,-540.005,63,63,0
2025-10-31T20:17:01,1.266,baseline,1054,1426,-606.143,-550.973,64,64,0
2025-10-31T20:17:01,1.282,baseline,1161,1504,-583.905,-538.276,65,65,0
2025-10-31T20:17:01,1.297,baseline,1366,1654,-516.851,-490.257,66,66,0
2025-10-31T20:17:01,1.313,baseline,1655,1862,-384.363,-394.234,67,67,0
2025-10-31T20:17:01,1.329,baseline,1911,2067,-201.949,-255.424,68,68,0
2025-10-31T20:17:01,1.344,baseline,2114,2227,10.011,-93.718,69,69,0
2025-10-31T20:17:01,1.375,baseline,2235,2355,221.598,75.433,70,70,0
2025-10-31T20:17:01,1.391,baseline,2275,2413,397.613,223.996,71,71,0
2025-10-31T20:17:01,1.407,baseline,2240,2407,507.289,328.271,72,72,0
2025-10-31T20:17:01,1.469,baseline,2163,2362,549.833,381.825,73,73,0
2025-10-31T20:17:01,1.469,baseline,2013,2256,522.249,382.228,74,74,0
2025-10-31T20:17:01,1.469,baseline,1840,2117,437.131,330.012,75,75,0
2025-10-31T20:17:01,1.532,baseline,1712,2032,321.683,251.574,76,76,0
2025-10-31T20:17:01,1.532,baseline,1616,1965,197.624,163.605,77,77,0
2025-10-31T20:17:01,1.532,baseline,1529,1904,75.174,75.202,78,78,0
2025-10-31T20:17:01,1.594,baseline,1527,1910,-14.637,11.587,79,79,0
2025-10-31T20:17:02,1.657,baseline,1535,1936,-66.008,-17.288,80,80,0
2025-10-31T20:17:02,1.704,baseline,1565,1950,-85.864,-26.365,81,81,0
2025-10-31T20:17:02,1.766,baseline,1601,1991,-80.259,-14.509,82,82,0
2025-10-31T20:17:02,1.766,baseline,1615,2000,-55.965,10.197,83,83,0
2025-10-31T20:17:02,1.766,baseline,1584,1966,-38.989,25.755,84,84,0
2025-10-31T20:17:02,1.766,baseline,1566,1948,-28.456,31.600,85,85,0
2025-10-31T20:17:02,1.782,baseline,1519,1907,-34.104,25.907,86,86,0
2025-10-31T20:17:02,1.782,baseline,1453,1823,-60.333,-4.773,87,87,0
2025-10-31T20:17:02,1.782,baseline,1403,1765,-99.048,-48.416,88,88,0
2025-10-31T20:17:02,1.782,baseline,1339,1702,-143.744,-97.208,89,89,0
2025-10-31T20:17:02,1.782,baseline,1263,1622,-199.235,-157.555,90,90,0
2025-10-31T20:17:02,1.829,baseline,1235,1593,-250.179,-214.723,91,91,0
2025-10-31T20:17:02,1.829,baseline,1217,1573,-291.080,-258.589,92,92,0
2025-10-31T20:17:02,1.829,baseline,1143,1495,-336.517,-306.093,93,93,0
2025-10-31T20:17:02,1.891,baseline,1089,1456,-379.901,-348.611,94,94,0
2025-10-31T20:17:02,1.891,baseline,1046,1426,-416.885,-381.219,95,95,0
2025-10-31T20:17:02,1.891,baseline,985,1376,-460.683,-418.181,96,96,0
2025-10-31T20:17:02,1.954,baseline,980,1375,-502.117,-451.581,97,97,0
2025-10-31T20:17:02,1.954,baseline,1008,1404,-523.643,-464.123,98,98,0
