wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T20:12:54,0.375,baseline,1,6,12,6,12,120.0,120.0,0.0,0.149651,0.128353,0.857685,0.0,0.0,0.0,OK,8.7083,6.257,0.1,0,93.28957,121.084911,1.297947,,,,BAL,0.0,+,
2025-10-31T20:12:55,0.781,baseline,2,25,32,25,32,140.0,140.0,0.0,0.18749,0.191401,0.939275,0.0,0.0,0.0,OK,23.3272,27.6431,0.1,0,255.350494,276.891254,1.084358,,,,BAL,0.0,+,
2025-10-31T20:12:55,1.453,baseline,3,58,65,58,65,140.0,140.0,0.0,0.075734,0.196394,1.020865,0.0,0.0,0.0,OK,14.9825,28.5512,0.1,0,249.251507,304.795625,1.222844,,,,BAL,0.0,+,0.0
2025-10-31T20:12:56,2.063,baseline,4,89,96,89,96,140.0,140.0,0.0,0.096543,0.293414,1.807039,0.0,0.0,0.0,WARN,12.4765,33.9035,0.1,0,357.648,366.946667,1.025999,,,,BAL,0.0,+,0.0
2025-10-31T20:12:57,2.656,baseline,5,118,125,118,125,140.0,140.0,0.0,0.326243,0.207177,1.020865,0.0,0.0,0.0,OK,21.0883,40.9632,0.1,0,339.770667,328.882667,0.967955,,,,BAL,0.0,+,0.0
2025-10-31T20:12:57,3.313,baseline,6,150,157,149,156,140.0,140.0,0.0,0.329889,0.128342,1.020865,20.0,-20.0,1.0560580493007528,OK,29.796,41.1144,0.1,0,385.010667,293.293333,0.76178,1.29389,0.980768,0.758,R↓,20.0,-,7.454
2025-10-31T20:12:58,4.031,baseline,7,183,190,183,190,140.0,140.0,0.0,0.194495,0.103889,0.635037,0.0,0.0,0.4068528878771386,WARN,33.5251,38.7857,0.1,0,305.938667,339.130667,1.108492,1.0,1.112649,1.112649,BAL,0.0,+,6.999
2025-10-31T20:12:59,4.703,baseline,8,219,226,220,227,140.0,140.0,0.0,0.129157,0.184597,0.635037,20.0,20.0,0.13529096292101556,WARN,33.2931,39.4933,0.1,0,305.536,327.2,1.070905,0.999341,1.03545,1.036133,BAL,20.0,+,8.66
2025-10-31T20:12:59,5.422,baseline,9,257,264,257,264,140.0,140.0,0.0,0.232178,0.083557,0.534145,0.0,0.0,0.6357800949091825,WARN,36.3864,38.0857,0.1,0,265.861333,336.394667,1.265301,0.870147,1.028101,1.181525,BAL,0.0,+,8.315
2025-10-31T20:13:00,6.188,baseline,10,294,301,294,301,140.0,140.0,0.0,0.120932,0.0999,0.534145,0.0,0.0,0.3690390990236722,WARN,35.0451,36.6286,0.1,0,263.445333,333.242667,1.26494,0.922109,1.015856,1.101665,BAL,0.0,+,8.0
2025-10-31T20:13:01,6.906,baseline,11,329,336,330,337,140.0,140.0,0.0,0.145276,0.207996,0.826084,20.0,20.0,0.435433013488629,OK,34.5721,38.7023,0.1,0,341.176,325.922667,0.955292,1.116647,0.996096,0.892042,BAL,20.0,+,9.165
2025-10-31T20:13:02,7.578,baseline,12,365,372,365,372,140.0,140.0,0.0,0.283721,0.448079,1.429247,0.0,0.0,0.4628300016128325,OK,38.2544,48.3536,0.1,0,427.208,405.96,0.950263,1.397304,1.237527,0.885653,BAL,0.0,+,9.165
2025-10-31T20:13:02,8.297,baseline,13,400,407,399,406,140.0,140.0,0.0,0.190009,0.192238,1.011732,20.0,-20.0,0.969047474575468,OK,40.4856,57.2974,0.1,0,411.757333,343.266667,0.833663,1.345882,1.043736,0.775503,BAL,20.0,-,9.798
2025-10-31T20:13:04,10.266,baseline,14,498,505,498,505,140.0,140.0,0.0,0.400628,0.138609,1.011732,0.0,0.0,0.10438393052112727,OK,41.3701,52.296,0.1,0,465.805333,464.744,0.997722,1.442771,1.403795,0.972985,BAL,0.0,+,9.798
2025-10-31T20:13:06,11.719,baseline,15,568,575,568,575,140.0,140.0,0.0,0.397742,0.454824,1.143515,0.0,0.0,0.490412341085721,OK,82.7194,92.7041,0.1,0,259.794667,245.56,0.945208,0.849172,0.746649,0.879267,BAL,0.0,+,9.798
2025-10-31T20:13:06,12.375,baseline,16,604,611,605,612,140.0,140.0,0.0,0.108142,0.190236,1.143515,20.0,20.0,0.08092191391793187,OK,91.6553,100.3511,0.1,0,311.6,341.266667,1.095208,1.009168,1.030822,1.021458,BAL,20.0,+,9.798
2025-10-31T20:13:07,13.094,baseline,17,640,647,640,647,140.0,140.0,0.0,0.094327,0.11128,1.143515,0.0,0.0,0.36704071759484624,OK,91.9965,104.4259,0.1,0,328.482667,314.872,0.958565,1.054181,0.957399,0.908193,BAL,0.0,+,9.798
2025-10-31T20:13:08,13.813,baseline,18,675,682,676,683,140.0,140.0,0.0,0.079234,0.120581,1.179729,20.0,20.0,0.9614811783653798,OK,91.0155,110.2314,0.1,0,447.429333,359.645333,0.803804,1.398036,1.086336,0.777044,BAL,20.0,+,9.798
2025-10-31T20:13:09,14.531,baseline,19,711,718,712,719,140.0,140.0,0.0,0.030223,0.04249,1.405892,20.0,20.0,1.2725430672093017,OK,91.2057,113.4867,0.1,0,528.232,383.773333,0.726524,1.608097,1.151633,0.716147,R↓,20.0,+,10.0
2025-10-31T20:13:11,16.688,baseline,20,821,828,821,828,140.0,140.0,0.0,0.141483,0.096185,1.405892,0.0,0.0,0.7060038573627618,OK,89.5831,111.0628,0.1,0,633.421333,527.408,0.832634,1.895752,1.575205,0.830913,BAL,0.0,+,10.0
2025-10-31T20:13:11,17.422,baseline,21,856,863,856,863,140.0,140.0,0.0,0.257617,0.15936,1.179729,0.0,0.0,1.0259268661181582,OK,99.1124,116.3992,0.1,0,610.690667,461.941333,0.756424,1.797361,1.373212,0.764016,R↓,0.0,+,9.798
2025-10-31T20:13:12,18.078,baseline,22,890,897,890,897,140.0,140.0,0.0,0.319321,0.277691,0.869631,0.0,0.0,0.27064023311897634,OK,107.0232,119.4086,0.1,0,581.357333,537.197333,0.92404,1.707497,1.590458,0.931456,BAL,0.0,+,9.798
2025-10-31T20:13:13,18.797,baseline,23,923,930,924,931,140.0,140.0,0.0,0.205621,0.129642,0.679832,20.0,20.0,0.8180465345851284,OK,117.3648,125.3699,0.1,0,691.845333,554.864,0.802006,2.027825,1.636136,0.806843,BAL,20.0,+,9.798
2025-10-31T20:13:14,19.516,baseline,24,957,964,958,965,140.0,140.0,0.0,0.13188,0.089691,0.679832,20.0,20.0,0.6454647827221586,OK,125.4997,130.1549,0.1,0,853.762667,701.754667,0.821955,2.443427,2.062779,0.844216,BAL,20.0,+,10.0
2025-10-31T20:13:14,20.172,baseline,25,992,999,993,1000,140.0,140.0,0.0,0.172473,0.111241,0.64498,20.0,20.0,1.1184959262951693,WARN,131.5927,133.6353,0.1,0,1006.264,715.986667,0.71153,2.81356,2.098027,0.745684,R↓,20.0,+,9.798
2025-10-31T20:13:15,20.828,baseline,26,1027,1034,1028,1035,140.0,140.0,0.0,0.229926,0.167278,0.680091,20.0,20.0,0.776696072297971,OK,118.8201,120.3846,0.1,0,984.552,740.192,0.751806,2.651425,2.162618,0.815644,BAL,20.0,+,9.798
2025-10-31T20:13:16,21.563,baseline,27,1063,1070,1064,1071,140.0,140.0,0.0,0.28505,0.250197,0.680091,20.0,20.0,0.6239671922011157,OK,112.8803,109.3759,0.1,0,1024.144,775.216,0.75694,2.660041,2.258349,0.848991,BAL,20.0,+,9.165
2025-10-31T20:13:16,22.281,baseline,28,1099,1106,1099,1106,140.0,140.0,0.0,0.281016,0.162391,0.680091,0.0,0.0,0.34343150688893626,OK,116.2853,110.3854,0.1,0,1066.074667,859.458667,0.80619,2.675998,2.445423,0.913836,BAL,0.0,+,9.798
2025-10-31T20:13:17,23.063,baseline,29,1135,1142,1136,1143,140.0,140.0,0.0,0.248182,0.198129,0.727529,20.0,20.0,1.1756019924093626,OK,123.4228,111.1189,0.1,0,1189.376,763.133333,0.641625,2.888536,2.121905,0.734595,R↓,20.0,+,9.798
2025-10-31T20:13:18,23.719,baseline,30,1171,1178,1172,1179,140.0,140.0,0.0,0.216957,0.182562,0.798323,20.0,20.0,0.9886837172910437,OK,131.6326,112.8723,0.1,0,1285.696,859.074667,0.668179,3.064956,2.364669,0.771518,BAL,20.0,+,9.165
2025-10-31T20:13:18,24.438,baseline,31,1206,1213,1207,1214,140.0,140.0,0.0,0.167919,0.135122,0.804688,20.0,20.0,1.0706682510398189,OK,139.459,114.5329,0.1,0,1323.418667,858.352,0.648587,3.097832,2.339174,0.7551,R↓,20.0,+,8.0
