wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,DeltaTD_ms_signed,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp,PAD_ms,PAD_sign,PWTT_sigma10
2025-10-31T20:32:41,0.844,baseline,1,28,35,28,35,140.0,140.0,0.0,0.209917,0.169683,0.808332,0.0,0.0,0.811,OK,47.3833,106.3805,0.10,0,538.111769,1040.689140,1.933965,,,,L↓,0.0,+,
2025-10-31T20:32:42,1.641,baseline,2,64,71,66,73,140.0,140.0,0.0,0.120657,0.162969,1.079510,40.0,40.0,0.292,OK,42.8852,119.0514,0.10,0,714.910539,983.618780,1.375863,,,,L↓,40.0,+,
2025-10-31T20:32:43,3.016,baseline,3,136,143,136,143,140.0,140.0,0.0,0.244436,0.232086,0.949477,0.0,0.0,0.198,OK,37.8481,196.0113,0.10,0,729.525333,1068.072000,1.464064,,,,L↓,0.0,+,18.856
2025-10-31T20:32:44,3.734,baseline,4,169,176,170,177,140.0,140.0,0.0,0.490800,0.195836,0.878904,20.0,20.0,0.492,OK,77.0091,218.1955,0.10,0,968.842667,1280.024000,1.321189,,,,L↓,20.0,+,16.583
2025-10-31T20:32:45,4.516,baseline,5,204,211,205,212,140.0,140.0,0.0,0.272954,0.129401,0.808332,20.0,20.0,0.811,OK,98.5612,213.3923,0.10,0,988.306667,1344.264000,1.360169,,,,L↓,20.0,+,14.967
2025-10-31T20:32:46,5.844,baseline,6,275,282,276,283,140.0,140.0,0.0,0.102416,0.165847,0.949477,20.0,20.0,0.198,OK,238.4659,210.8347,0.10,0,969.770667,1808.565333,1.864941,1.142003,1.540453,1.348904,L↓,20.0,+,13.744
2025-10-31T20:32:47,7.219,baseline,7,346,353,347,354,140.0,140.0,0.0,0.047060,0.150172,0.949477,20.0,20.0,0.198,OK,197.9072,222.9486,0.10,0,1100.682667,1496.416000,1.359534,1.136080,1.169053,1.029024,BAL,20.0,+,12.778
2025-10-31T20:32:48,7.938,baseline,8,381,388,382,389,140.0,140.0,0.0,0.164497,0.241551,1.468422,20.0,20.0,1.464,OK,198.3498,234.9939,0.10,0,1090.160000,1430.421333,1.312121,1.124680,1.090141,0.969289,BAL,20.0,+,11.990
2025-10-31T20:32:49,8.656,baseline,9,416,423,417,424,140.0,140.0,0.0,0.151030,0.271063,1.619350,20.0,20.0,1.837,WARN,200.9272,252.0033,0.10,0,1036.040000,1448.322667,1.397941,1.068335,1.077409,1.008494,BAL,20.0,+,11.331
2025-10-31T20:32:50,9.375,baseline,10,452,459,453,460,140.0,140.0,0.0,0.143850,0.244828,1.701969,20.0,20.0,2.027,WARN,201.0528,263.8025,0.10,0,968.154667,1767.016000,1.825138,0.998812,1.273669,1.275185,BAL,20.0,+,10.770
2025-10-31T20:32:51,10.766,baseline,11,523,530,524,531,140.0,140.0,0.0,0.039267,0.078411,1.794760,20.0,20.0,2.229,WARN,204.5899,261.6901,0.10,0,1119.016000,1850.904000,1.654046,1.153898,1.293957,1.121380,BAL,20.0,+,8.944
2025-10-31T20:32:52,11.594,baseline,12,560,567,561,568,140.0,140.0,0.0,0.192397,0.298999,1.701969,20.0,20.0,2.027,WARN,220.4320,286.8997,0.10,0,1368.186667,2336.413333,1.707671,1.397480,1.623217,1.161532,BAL,20.0,+,6.000
2025-10-31T20:32:52,12.203,baseline,13,594,601,595,602,140.0,140.0,0.0,0.002576,0.084790,1.794760,20.0,20.0,2.229,WARN,221.6876,291.3580,0.10,0,814.426667,1840.477333,2.259844,0.839814,1.270765,1.513151,L↓,20.0,+,0.000
2025-10-31T20:32:53,12.859,baseline,14,627,634,626,633,140.0,140.0,0.0,0.083214,0.137616,1.701969,20.0,-20.0,2.027,WARN,230.7712,294.1427,0.10,0,1440.560000,2094.213333,1.453749,1.471403,1.422342,0.966658,BAL,-20.0,-,0.000
